# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinnikende gesig;gesig|grinnik|grinnikende gesig
👨‍🚀;manlike ruimtevaarder;manlike ruimtevaarder|ruimtevaarder
	👨🏻‍🚀;manlike ruimtevaarder: ligte velkleur;ligte velkleur|manlike ruimtevaarder|manlike ruimtevaarder: ligte velkleur|ruimtevaarder
	👨🏼‍🚀;manlike ruimtevaarder: medium-ligte velkleur;manlike ruimtevaarder|manlike ruimtevaarder: medium-ligte velkleur|medium-ligte velkleur|ruimtevaarder
	👨🏽‍🚀;manlike ruimtevaarder: medium velkleur;manlike ruimtevaarder|manlike ruimtevaarder: medium velkleur|medium velkleur|ruimtevaarder
	👨🏾‍🚀;manlike ruimtevaarder: medium-donker velkleur;manlike ruimtevaarder|manlike ruimtevaarder: medium-donker velkleur|medium-donker velkleur|ruimtevaarder
	👨🏿‍🚀;manlike ruimtevaarder: donker velkleur;donker velkleur|manlike ruimtevaarder|manlike ruimtevaarder: donker velkleur|ruimtevaarder
👩‍🚀;vroulike ruimtevaarder;ruimtevaarder|vroulike ruimtevaarder
	👩🏻‍🚀;vroulike ruimtevaarder: ligte velkleur;ligte velkleur|ruimtevaarder|vroulike ruimtevaarder|vroulike ruimtevaarder: ligte velkleur
	👩🏼‍🚀;vroulike ruimtevaarder: medium-ligte velkleur;medium-ligte velkleur|ruimtevaarder|vroulike ruimtevaarder|vroulike ruimtevaarder: medium-ligte velkleur
	👩🏽‍🚀;vroulike ruimtevaarder: medium velkleur;medium velkleur|ruimtevaarder|vroulike ruimtevaarder|vroulike ruimtevaarder: medium velkleur
	👩🏾‍🚀;vroulike ruimtevaarder: medium-donker velkleur;medium-donker velkleur|ruimtevaarder|vroulike ruimtevaarder|vroulike ruimtevaarder: medium-donker velkleur
	👩🏿‍🚀;vroulike ruimtevaarder: donker velkleur;donker velkleur|ruimtevaarder|vroulike ruimtevaarder|vroulike ruimtevaarder: donker velkleur
🧑‍🚒;brandbestryder;brandbestryder|brandweer|brandweerlorrie|brandweerman
	🧑🏻‍🚒;brandbestryder: ligte velkleur;brandbestryder|brandbestryder: ligte velkleur|brandweer|brandweerlorrie|brandweerman|ligte velkleur
	🧑🏼‍🚒;brandbestryder: medium-ligte velkleur;brandbestryder|brandbestryder: medium-ligte velkleur|brandweer|brandweerlorrie|brandweerman|medium-ligte velkleur
	🧑🏽‍🚒;brandbestryder: medium velkleur;brandbestryder|brandbestryder: medium velkleur|brandweer|brandweerlorrie|brandweerman|medium velkleur
	🧑🏾‍🚒;brandbestryder: medium-donker velkleur;brandbestryder|brandbestryder: medium-donker velkleur|brandweer|brandweerlorrie|brandweerman|medium-donker velkleur
	🧑🏿‍🚒;brandbestryder: donker velkleur;brandbestryder|brandbestryder: donker velkleur|brandweer|brandweerlorrie|brandweerman|donker velkleur
👨‍🚒;brandweerman;brandweer|brandweerman
	👨🏻‍🚒;brandweerman: ligte velkleur;brandweer|brandweerman|brandweerman: ligte velkleur|ligte velkleur
	👨🏼‍🚒;brandweerman: medium-ligte velkleur;brandweer|brandweerman|brandweerman: medium-ligte velkleur|medium-ligte velkleur
	👨🏽‍🚒;brandweerman: medium velkleur;brandweer|brandweerman|brandweerman: medium velkleur|medium velkleur
	👨🏾‍🚒;brandweerman: medium-donker velkleur;brandweer|brandweerman|brandweerman: medium-donker velkleur|medium-donker velkleur
	👨🏿‍🚒;brandweerman: donker velkleur;brandweer|brandweerman|brandweerman: donker velkleur|donker velkleur
👩‍🚒;brandweervrou;brandweer|brandweervrou
	👩🏻‍🚒;brandweervrou: ligte velkleur;brandweer|brandweervrou|brandweervrou: ligte velkleur|ligte velkleur
	👩🏼‍🚒;brandweervrou: medium-ligte velkleur;brandweer|brandweervrou|brandweervrou: medium-ligte velkleur|medium-ligte velkleur
	👩🏽‍🚒;brandweervrou: medium velkleur;brandweer|brandweervrou|brandweervrou: medium velkleur|medium velkleur
	👩🏾‍🚒;brandweervrou: medium-donker velkleur;brandweer|brandweervrou|brandweervrou: medium-donker velkleur|medium-donker velkleur
	👩🏿‍🚒;brandweervrou: donker velkleur;brandweer|brandweervrou|brandweervrou: donker velkleur|donker velkleur
👮;polisiebeampte;beampte|polisie|polisiebeampte
	👮🏻;polisiebeampte: ligte velkleur;beampte|ligte velkleur|polisie|polisiebeampte|polisiebeampte: ligte velkleur
	👮🏼;polisiebeampte: medium-ligte velkleur;beampte|medium-ligte velkleur|polisie|polisiebeampte|polisiebeampte: medium-ligte velkleur
	👮🏽;polisiebeampte: medium velkleur;beampte|medium velkleur|polisie|polisiebeampte|polisiebeampte: medium velkleur
	👮🏾;polisiebeampte: medium-donker velkleur;beampte|medium-donker velkleur|polisie|polisiebeampte|polisiebeampte: medium-donker velkleur
	👮🏿;polisiebeampte: donker velkleur;beampte|donker velkleur|polisie|polisiebeampte|polisiebeampte: donker velkleur
👮‍♂️;polisieman;polisie|polisiebeampte|polisieman
	👮🏻‍♂️;polisieman: ligte velkleur;ligte velkleur|polisie|polisiebeampte|polisieman|polisieman: ligte velkleur
	👮🏼‍♂️;polisieman: medium-ligte velkleur;medium-ligte velkleur|polisie|polisiebeampte|polisieman|polisieman: medium-ligte velkleur
	👮🏽‍♂️;polisieman: medium velkleur;medium velkleur|polisie|polisiebeampte|polisieman|polisieman: medium velkleur
	👮🏾‍♂️;polisieman: medium-donker velkleur;medium-donker velkleur|polisie|polisiebeampte|polisieman|polisieman: medium-donker velkleur
	👮🏿‍♂️;polisieman: donker velkleur;donker velkleur|polisie|polisiebeampte|polisieman|polisieman: donker velkleur
👮‍♀️;polisievrou;polisie|polisiebeampte|polisievrou
	👮🏻‍♀️;polisievrou: ligte velkleur;ligte velkleur|polisie|polisiebeampte|polisievrou|polisievrou: ligte velkleur
	👮🏼‍♀️;polisievrou: medium-ligte velkleur;medium-ligte velkleur|polisie|polisiebeampte|polisievrou|polisievrou: medium-ligte velkleur
	👮🏽‍♀️;polisievrou: medium velkleur;medium velkleur|polisie|polisiebeampte|polisievrou|polisievrou: medium velkleur
	👮🏾‍♀️;polisievrou: medium-donker velkleur;medium-donker velkleur|polisie|polisiebeampte|polisievrou|polisievrou: medium-donker velkleur
	👮🏿‍♀️;polisievrou: donker velkleur;donker velkleur|polisie|polisiebeampte|polisievrou|polisievrou: donker velkleur
🕵️;speurder;speurder|spioen
	🕵🏻;speurder: ligte velkleur;ligte velkleur|speurder|speurder: ligte velkleur|spioen
	🕵🏼;speurder: medium-ligte velkleur;medium-ligte velkleur|speurder|speurder: medium-ligte velkleur|spioen
	🕵🏽;speurder: medium velkleur;medium velkleur|speurder|speurder: medium velkleur|spioen
	🕵🏾;speurder: medium-donker velkleur;medium-donker velkleur|speurder|speurder: medium-donker velkleur|spioen
	🕵🏿;speurder: donker velkleur;donker velkleur|speurder|speurder: donker velkleur|spioen
🕵️‍♂️;manlike speurder;manlike speurder|speurder|spioen
	🕵🏻‍♂️;manlike speurder: ligte velkleur;ligte velkleur|manlike speurder|manlike speurder: ligte velkleur|speurder|spioen
	🕵🏼‍♂️;manlike speurder: medium-ligte velkleur;manlike speurder|manlike speurder: medium-ligte velkleur|medium-ligte velkleur|speurder|spioen
	🕵🏽‍♂️;manlike speurder: medium velkleur;manlike speurder|manlike speurder: medium velkleur|medium velkleur|speurder|spioen
	🕵🏾‍♂️;manlike speurder: medium-donker velkleur;manlike speurder|manlike speurder: medium-donker velkleur|medium-donker velkleur|speurder|spioen
	🕵🏿‍♂️;manlike speurder: donker velkleur;donker velkleur|manlike speurder|manlike speurder: donker velkleur|speurder|spioen
🕵️‍♀️;vroulike speurder;speurder|spioen|vroulike speurder
	🕵🏻‍♀️;vroulike speurder: ligte velkleur;ligte velkleur|speurder|spioen|vroulike speurder|vroulike speurder: ligte velkleur
	🕵🏼‍♀️;vroulike speurder: medium-ligte velkleur;medium-ligte velkleur|speurder|spioen|vroulike speurder|vroulike speurder: medium-ligte velkleur
	🕵🏽‍♀️;vroulike speurder: medium velkleur;medium velkleur|speurder|spioen|vroulike speurder|vroulike speurder: medium velkleur
	🕵🏾‍♀️;vroulike speurder: medium-donker velkleur;medium-donker velkleur|speurder|spioen|vroulike speurder|vroulike speurder: medium-donker velkleur
	🕵🏿‍♀️;vroulike speurder: donker velkleur;donker velkleur|speurder|spioen|vroulike speurder|vroulike speurder: donker velkleur
💂;gardeoffisier;gardeoffisier|wag
	💂🏻;gardeoffisier: ligte velkleur;gardeoffisier|gardeoffisier: ligte velkleur|ligte velkleur|wag
	💂🏼;gardeoffisier: medium-ligte velkleur;gardeoffisier|gardeoffisier: medium-ligte velkleur|medium-ligte velkleur|wag
	💂🏽;gardeoffisier: medium velkleur;gardeoffisier|gardeoffisier: medium velkleur|medium velkleur|wag
	💂🏾;gardeoffisier: medium-donker velkleur;gardeoffisier|gardeoffisier: medium-donker velkleur|medium-donker velkleur|wag
	💂🏿;gardeoffisier: donker velkleur;donker velkleur|gardeoffisier|gardeoffisier: donker velkleur|wag
💂‍♂️;manlike wag;manlike wag|wag
	💂🏻‍♂️;manlike wag: ligte velkleur;ligte velkleur|manlike wag|manlike wag: ligte velkleur|wag
	💂🏼‍♂️;manlike wag: medium-ligte velkleur;manlike wag|manlike wag: medium-ligte velkleur|medium-ligte velkleur|wag
	💂🏽‍♂️;manlike wag: medium velkleur;manlike wag|manlike wag: medium velkleur|medium velkleur|wag
	💂🏾‍♂️;manlike wag: medium-donker velkleur;manlike wag|manlike wag: medium-donker velkleur|medium-donker velkleur|wag
	💂🏿‍♂️;manlike wag: donker velkleur;donker velkleur|manlike wag|manlike wag: donker velkleur|wag
💂‍♀️;vroulike wag;vroulike wag|wag
	💂🏻‍♀️;vroulike wag: ligte velkleur;ligte velkleur|vroulike wag|vroulike wag: ligte velkleur|wag
	💂🏼‍♀️;vroulike wag: medium-ligte velkleur;medium-ligte velkleur|vroulike wag|vroulike wag: medium-ligte velkleur|wag
	💂🏽‍♀️;vroulike wag: medium velkleur;medium velkleur|vroulike wag|vroulike wag: medium velkleur|wag
	💂🏾‍♀️;vroulike wag: medium-donker velkleur;medium-donker velkleur|vroulike wag|vroulike wag: medium-donker velkleur|wag
	💂🏿‍♀️;vroulike wag: donker velkleur;donker velkleur|vroulike wag|vroulike wag: donker velkleur|wag
🥷;ninja;ninja|stilletjies|vegter|verberg
	🥷🏻;ninja: ligte velkleur;ligte velkleur|ninja|ninja: ligte velkleur|stilletjies|vegter|verberg
	🥷🏼;ninja: medium-ligte velkleur;medium-ligte velkleur|ninja|ninja: medium-ligte velkleur|stilletjies|vegter|verberg
	🥷🏽;ninja: medium velkleur;medium velkleur|ninja|ninja: medium velkleur|stilletjies|vegter|verberg
	🥷🏾;ninja: medium-donker velkleur;medium-donker velkleur|ninja|ninja: medium-donker velkleur|stilletjies|vegter|verberg
	🥷🏿;ninja: donker velkleur;donker velkleur|ninja|ninja: donker velkleur|stilletjies|vegter|verberg
👷;konstruksiewerker;hoed|konstruksie|konstruksiewerker|werker
	👷🏻;konstruksiewerker: ligte velkleur;hoed|konstruksie|konstruksiewerker|konstruksiewerker: ligte velkleur|ligte velkleur|werker
	👷🏼;konstruksiewerker: medium-ligte velkleur;hoed|konstruksie|konstruksiewerker|konstruksiewerker: medium-ligte velkleur|medium-ligte velkleur|werker
	👷🏽;konstruksiewerker: medium velkleur;hoed|konstruksie|konstruksiewerker|konstruksiewerker: medium velkleur|medium velkleur|werker
	👷🏾;konstruksiewerker: medium-donker velkleur;hoed|konstruksie|konstruksiewerker|konstruksiewerker: medium-donker velkleur|medium-donker velkleur|werker
	👷🏿;konstruksiewerker: donker velkleur;donker velkleur|hoed|konstruksie|konstruksiewerker|konstruksiewerker: donker velkleur|werker
👷‍♂️;manlike bouer;konstruksie|man|manlike bouer|werker
	👷🏻‍♂️;manlike bouer: ligte velkleur;konstruksie|ligte velkleur|man|manlike bouer|manlike bouer: ligte velkleur|werker
	👷🏼‍♂️;manlike bouer: medium-ligte velkleur;konstruksie|man|manlike bouer|manlike bouer: medium-ligte velkleur|medium-ligte velkleur|werker
	👷🏽‍♂️;manlike bouer: medium velkleur;konstruksie|man|manlike bouer|manlike bouer: medium velkleur|medium velkleur|werker
	👷🏾‍♂️;manlike bouer: medium-donker velkleur;konstruksie|man|manlike bouer|manlike bouer: medium-donker velkleur|medium-donker velkleur|werker
	👷🏿‍♂️;manlike bouer: donker velkleur;donker velkleur|konstruksie|man|manlike bouer|manlike bouer: donker velkleur|werker
👷‍♀️;vroulike bouer;konstruksie|vrou|vroulike bouer|werker
	👷🏻‍♀️;vroulike bouer: ligte velkleur;konstruksie|ligte velkleur|vrou|vroulike bouer|vroulike bouer: ligte velkleur|werker
	👷🏼‍♀️;vroulike bouer: medium-ligte velkleur;konstruksie|medium-ligte velkleur|vrou|vroulike bouer|vroulike bouer: medium-ligte velkleur|werker
	👷🏽‍♀️;vroulike bouer: medium velkleur;konstruksie|medium velkleur|vrou|vroulike bouer|vroulike bouer: medium velkleur|werker
	👷🏾‍♀️;vroulike bouer: medium-donker velkleur;konstruksie|medium-donker velkleur|vrou|vroulike bouer|vroulike bouer: medium-donker velkleur|werker
	👷🏿‍♀️;vroulike bouer: donker velkleur;donker velkleur|konstruksie|vrou|vroulike bouer|vroulike bouer: donker velkleur|werker
🫅;persoon met kroon;koninklik|monarg|persoon met kroon
	🫅🏻;persoon met kroon: ligte velkleur;koninklik|ligte velkleur|monarg|persoon met kroon|persoon met kroon: ligte velkleur
	🫅🏼;persoon met kroon: medium-ligte velkleur;koninklik|medium-ligte velkleur|monarg|persoon met kroon|persoon met kroon: medium-ligte velkleur
	🫅🏽;persoon met kroon: medium velkleur;koninklik|medium velkleur|monarg|persoon met kroon|persoon met kroon: medium velkleur
	🫅🏾;persoon met kroon: medium-donker velkleur;koninklik|medium-donker velkleur|monarg|persoon met kroon|persoon met kroon: medium-donker velkleur
	🫅🏿;persoon met kroon: donker velkleur;donker velkleur|koninklik|monarg|persoon met kroon|persoon met kroon: donker velkleur
🤴;prins;prins
	🤴🏻;prins: ligte velkleur;ligte velkleur|prins|prins: ligte velkleur
	🤴🏼;prins: medium-ligte velkleur;medium-ligte velkleur|prins|prins: medium-ligte velkleur
	🤴🏽;prins: medium velkleur;medium velkleur|prins|prins: medium velkleur
	🤴🏾;prins: medium-donker velkleur;medium-donker velkleur|prins|prins: medium-donker velkleur
	🤴🏿;prins: donker velkleur;donker velkleur|prins|prins: donker velkleur
👸;prinses;fantasie|prinses|sprokie
	👸🏻;prinses: ligte velkleur;fantasie|ligte velkleur|prinses|prinses: ligte velkleur|sprokie
	👸🏼;prinses: medium-ligte velkleur;fantasie|medium-ligte velkleur|prinses|prinses: medium-ligte velkleur|sprokie
	👸🏽;prinses: medium velkleur;fantasie|medium velkleur|prinses|prinses: medium velkleur|sprokie
	👸🏾;prinses: medium-donker velkleur;fantasie|medium-donker velkleur|prinses|prinses: medium-donker velkleur|sprokie
	👸🏿;prinses: donker velkleur;donker velkleur|fantasie|prinses|prinses: donker velkleur|sprokie
👳;persoon met tulband;persoon met tulband|tulband
	👳🏻;persoon met tulband: ligte velkleur;ligte velkleur|persoon met tulband|persoon met tulband: ligte velkleur|tulband
	👳🏼;persoon met tulband: medium-ligte velkleur;medium-ligte velkleur|persoon met tulband|persoon met tulband: medium-ligte velkleur|tulband
	👳🏽;persoon met tulband: medium velkleur;medium velkleur|persoon met tulband|persoon met tulband: medium velkleur|tulband
	👳🏾;persoon met tulband: medium-donker velkleur;medium-donker velkleur|persoon met tulband|persoon met tulband: medium-donker velkleur|tulband
	👳🏿;persoon met tulband: donker velkleur;donker velkleur|persoon met tulband|persoon met tulband: donker velkleur|tulband
👳‍♂️;man met tulband;man met tulband|tulband
	👳🏻‍♂️;man met tulband: ligte velkleur;ligte velkleur|man met tulband|man met tulband: ligte velkleur|tulband
	👳🏼‍♂️;man met tulband: medium-ligte velkleur;man met tulband|man met tulband: medium-ligte velkleur|medium-ligte velkleur|tulband
	👳🏽‍♂️;man met tulband: medium velkleur;man met tulband|man met tulband: medium velkleur|medium velkleur|tulband
	👳🏾‍♂️;man met tulband: medium-donker velkleur;man met tulband|man met tulband: medium-donker velkleur|medium-donker velkleur|tulband
	👳🏿‍♂️;man met tulband: donker velkleur;donker velkleur|man met tulband|man met tulband: donker velkleur|tulband
👳‍♀️;vrou met tulband;tulband|vrou met tulband
	👳🏻‍♀️;vrou met tulband: ligte velkleur;ligte velkleur|tulband|vrou met tulband|vrou met tulband: ligte velkleur
	👳🏼‍♀️;vrou met tulband: medium-ligte velkleur;medium-ligte velkleur|tulband|vrou met tulband|vrou met tulband: medium-ligte velkleur
	👳🏽‍♀️;vrou met tulband: medium velkleur;medium velkleur|tulband|vrou met tulband|vrou met tulband: medium velkleur
	👳🏾‍♀️;vrou met tulband: medium-donker velkleur;medium-donker velkleur|tulband|vrou met tulband|vrou met tulband: medium-donker velkleur
	👳🏿‍♀️;vrou met tulband: donker velkleur;donker velkleur|tulband|vrou met tulband|vrou met tulband: donker velkleur
👲;man met mus;hoed|man met mus|mus
	👲🏻;man met mus: ligte velkleur;hoed|ligte velkleur|man met mus|man met mus: ligte velkleur|mus
	👲🏼;man met mus: medium-ligte velkleur;hoed|man met mus|man met mus: medium-ligte velkleur|medium-ligte velkleur|mus
	👲🏽;man met mus: medium velkleur;hoed|man met mus|man met mus: medium velkleur|medium velkleur|mus
	👲🏾;man met mus: medium-donker velkleur;hoed|man met mus|man met mus: medium-donker velkleur|medium-donker velkleur|mus
	👲🏿;man met mus: donker velkleur;donker velkleur|hoed|man met mus|man met mus: donker velkleur|mus
🧕;vrou met kopdoek;hiijab|kopdoek|mantilla|vrou met kopdoek
	🧕🏻;vrou met kopdoek: ligte velkleur;hiijab|kopdoek|ligte velkleur|mantilla|vrou met kopdoek|vrou met kopdoek: ligte velkleur
	🧕🏼;vrou met kopdoek: medium-ligte velkleur;hiijab|kopdoek|mantilla|medium-ligte velkleur|vrou met kopdoek|vrou met kopdoek: medium-ligte velkleur
	🧕🏽;vrou met kopdoek: medium velkleur;hiijab|kopdoek|mantilla|medium velkleur|vrou met kopdoek|vrou met kopdoek: medium velkleur
	🧕🏾;vrou met kopdoek: medium-donker velkleur;hiijab|kopdoek|mantilla|medium-donker velkleur|vrou met kopdoek|vrou met kopdoek: medium-donker velkleur
	🧕🏿;vrou met kopdoek: donker velkleur;donker velkleur|hiijab|kopdoek|mantilla|vrou met kopdoek|vrou met kopdoek: donker velkleur
🤵;persoon in pak;bruidegom|persoon|persoon in pak|persoon in tuxedo|tuxedo
	🤵🏻;persoon in pak: ligte velkleur;bruidegom|ligte velkleur|persoon|persoon in pak|persoon in pak: ligte velkleur|persoon in tuxedo|tuxedo
	🤵🏼;persoon in pak: medium-ligte velkleur;bruidegom|medium-ligte velkleur|persoon|persoon in pak|persoon in pak: medium-ligte velkleur|persoon in tuxedo|tuxedo
