# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
📵;يانفون ئىشلەتمەڭ;ئىشلەتمەڭ|تېلېفون|چەكلەنگەن|كاتەك|كۆچمە|ياق|يانفون|يوق
🔞;ئون سەككىزدىن تۆۋەنلەر چەكلنىدۇ;18|ئون سەككىز|ئون سەككىزدىن تۆۋەنلەر چەكلنىدۇ|چەكلەنگەن|كىرمەڭ|ياش چېكى|ياق|يوق|يېشى توشمايدىغانلار
☢️;رادىيوئاكتىپ;بەلگە|رادىيوئاكتىپ
☣️;بىيولوگىيەلىك خەتەر;بەلگە|بىيولوگىيەلىك خەتەر
⬆️;ئۈستى كۆرسەتكۈچ;ئاساس|ئۈستى كۆرسەتكۈچ|شىمال|كۆرسەتكۈچ|يۆنىلىش
↗️;ئۈستى-ئوڭ كۆرسەتكۈچ;ئارا يۆنىلىشلىك|ئۈستى-ئوڭ كۆرسەتكۈچ|شەرقىي-شىمال|كۆرسەتكۈچ|يۆنىلىش
➡️;ئوڭ كۆرسەتكۈچ;ئاساس|ئوڭ كۆرسەتكۈچ|شەرق|كۆرسەتكۈچ|يۆنىلىش
↘️;ئاستى ئوڭ كۆرسەتكۈچ;ئارا يۆنىلىشلىك|ئاستى ئوڭ كۆرسەتكۈچ|شەرقىي-جەنۇب|كۆرسەتكۈچ|يۆنىلىش
⬇️;ئاستى كۆرسەتكۈچ;ئاساس|ئاستى|جەنۇب|كۆرسەتكۈچ|يۆنىلىش
↙️;ئاستى سول كۆرسەتكۈچ;ئارا يۆنىلىشلىك|ئاستى سول كۆرسەتكۈچ|غەربىي-شىمال|كۆرسەتكۈچ|يۆنىلىش
⬅️;سول كۆرسەتكۈچ;ئاساس|سول كۆرسەتكۈچ|غەرب|كۆرسەتكۈچ|يۆنىلىش
↖️;ئۈستى سول كۆرسەتكۈچ;ئارا يۆنىلىشلىك|ئۈستى سول كۆرسەتكۈچ|غەربىي-شىمال|كۆرسەتكۈچ|يۆنىلىش
↕️;ئاستى-ئۈستى كۆرسەتكۈچ;ئاستى-ئۈستى كۆرسەتكۈچ|كۆرسەتكۈچ
↔️;ئوڭ-سول كۆرسەتكۈچ;ئوڭ-سول كۆرسەتكۈچ|كۆرسەتكۈچ
↩️;سولغا ئېگىلگەن ئوڭ كۆرسەتكۈچ;سولغا ئېگىلگەن ئوڭ كۆرسەتكۈچ|كۆرسەتكۈچ
↪️;ئوڭغا ئېگىلگەن سول كۆرسەتكۈچ;ئوڭغا ئېگىلگەن سول كۆرسەتكۈچ|كۆرسەتكۈچ
⤴️;ئۈستىگە ئېگىلگەن ئوڭ كۆرسەتكۈچ;ئۈستىگە ئېگىلگەن ئوڭ كۆرسەتكۈچ|كۆرسەتكۈچ
⤵️;ئاستىغا ئېگىلگەن ئوڭ كۆرسەتكۈچ;ئاستى|ئاستىغا ئېگىلگەن ئوڭ كۆرسەتكۈچ|كۆرسەتكۈچ
🔃;سائەت يۆنىلىشىدىكى تىك كۆرسەتكۈچ;سائەت يۆنىلىشى|سائەت يۆنىلىشىدىكى تىك كۆرسەتكۈچ|قايتا يۈكلەش|كۆرسەتكۈچ
🔄;سائەتكە قارشى يۆنىلىشتىكى كۆرسەتكۈچ;سائەت يۆنىلىشىگە قارشى|سائەتكە قارشى|سائەتكە قارشى يۆنىلىشتىكى كۆرسەتكۈچ|قارشى|كۆرسەتكۈچ
🔙;ئارقا كۆرسەتكۈچ;ئارقا|كۆرسەتكۈچ
🔚;ئاياغ كۆرسەتكۈچ;ئاياغ|كۆرسەتكۈچ
🔛;ئوچۇق! كۆرسەتكۈچ;ئوچۇق|ئوچۇق! كۆرسەتكۈچ|بەلگە|كۆرسەتكۈچ
🔜;يېقىندا دېگەن كۆرسەتكۈچ;كۆرسەتكۈچ|يېقىندا|يېقىندا دېگەن كۆرسەتكۈچ
🔝;چوققا كۆرسەتكۈچ;ئۈستى|چوققا كۆرسەتكۈچ|كۆرسەتكۈچ|يۇقىرى
🛐;ئىبادەتخانا;ئىبادەتخانا|ئېتىقاد|دىن
⚛️;ئاتوم بەلگىسى;ئاتوم|ئاتوم بەلگىسى|ئاتېزىم
🕉️;ئوم;ئوم|دىن|ھىندى
✡️;داۋۇت يۇلتۇزى;ئىسرائىل|داۋۇت|داۋۇت يۇلتۇزى|دىن|يەھۇدى|يۇلتۇز
☸️;دارما چاقى;بۇددىست|چاق|دارما|دارما چاقى|دىن
☯️;يىن ياڭ;داۋ|داۋزىم|دىن|ياڭ|يىن
✝️;لاتىن كىرېست;خىرىستىيان|دىن|كىرېست|لاتىن كىرېست
☦️;ئورتودوكس;ئورتودوكس|خىرىستىيان|دىن|كىرېست
☪️;يۇلتۇز ۋە ھىلال ئاي;ئىسلام|دىن|مۇسۇلمان|يۇلتۇز ۋە ھىلال ئاي
☮️;تىنچلىق بەلگىسى;تىنچلىق|تىنچلىق بەلگىسى
🕎;قەندىل;دىن|قەندەل|قەندەل قويغۇچ|قەندىل
🔯;ئالتە بۇرجەكلىك يۇلتۇز;ئالتە بۇرجەكلىك يۇلتۇز|خەزىنە|يۇلتۇز
🪯;;
♈;ھەمەل;قوشقار|مۆچەل|ھەمەل
♉;ئۇي;ئۆكۈز|ئۇي|بۇقا|مۆچەل
♊;قوشكېزەك;قوشكېزەك|مۆچەل
♋;سەرەتان;سەرەتان|قىسقۇچپاقا|مۆچەل
♌;شىر;شىر|مۆچەل
♍;بۇغدايباش;بۇغدايباش|مۆچەل
♎;چەل;ئادالەت|ئۆلچەم|تەڭپۇڭ|چەل|مۆچەل
♏;ئەقرەب;ئەقرەب|ئېشەك|چايان|مۆچەل
♐;ياچاق;مۆچەل|ياچاق
♑;ئوغلاق;ئوغلاق|ئۆچكە|مۆچەل
♒;سوغلا;تۇتار|سوغلا|سۇ|مۆچەل
♓;بېلىقچى;بېلىق|بېلىقچى|مۆچەل
⛎;يىلانچى;تۇتار|مۆچەل|يىلان|يىلانچى
🔀;تاسقاش كۇنۇپكىسى;تاسقاش كۇنۇپكىسى|قايچىلانما|كۆرسەتكۈچ
🔁;قايتىلاش كۇنۇپكىسى;سائەت يۆنىلىشى|قايتىلاش|قايتىلاش كۇنۇپكىسى|كۆرسەتكۈچ
🔂;يەككە قايتىلاش كۇنۇپكىسى;بىر|سائەت يۆنىلىشى|كۆرسەتكۈچ|يەككە قايتىلاش كۇنۇپكىسى
▶️;قويۇش كۇنۇپكىسى;ئوڭ|ئۈچبۇلۇڭ|قويۇش|قويۇش كۇنۇپكىسى|كۆرسەتكۈچ
⏩;تېز سۈرۈش كۇنۇپكىسى;تېز|تېز سۈرۈش كۇنۇپكىسى|سۈرۈش|قوش|كۆرسەتكۈچ
⏭️;كېيىنكى كۇنۇپكىسى;ئۈچبۇلۇڭ|كۆرسەتكۈچ|كېيىنكى|كېيىنكى كۆرۈنۈش|كېيىنكى كۇنۇپكىسى
⏯️;قويۇش ياكى تورمۇزلاش كۇنۇپكىسى;ئوڭ|ئۈچبۇلۇڭ|تورمۇزلاش|قويۇش ياكى تورمۇزلاش كۇنۇپكىسى|كۆرسەتكۈچ
◀️;تېز قايتۇرۇش كۇنۇپكىسى;ئۈچبۇلۇڭ|تېز قايتۇرۇش كۇنۇپكىسى|سول|قايتۇرۇش|كۆرسەتكۈچ
⏪;قايتۇرۇش كۇنۇپكىسى;قايتا قويۇش|قايتۇرۇش كۇنۇپكىسى|قوش|كۆرسەتكۈچ
⏮️;ئالدىنقى كۇنۇپكىسى;ئالدىنقى|ئالدىنقى كۆرۈنۈش|ئالدىنقى كۇنۇپكىسى|ئۈچبۇلۇڭ|كۆرسەتكۈچ
🔼;ئۆرلەش كۇنۇپكىسى;ئۆرلەش كۇنۇپكىسى|قىزىل|كۆرسەتكۈچ|كۇنۇپكا
⏫;تېز ئۆرلەش كۇنۇپكىسى;تېز ئۆرلەش كۇنۇپكىسى|قوش|كۆرسەتكۈچ
🔽;تۆۋەنلەش كۇنۇپكىسى;تۆۋەنلەش|تۆۋەنلەش كۇنۇپكىسى|قىزىل|كۆرسەتكۈچ|كۇنۇپكا
⏬;تېز تۆۋەنلەش كۇنۇپكىسى;تۆۋەنلەش|تېز تۆۋەنلەش كۇنۇپكىسى|قوش|كۆرسەتكۈچ
⏸️;تورمۇزلاش كۇنۇپكىسى;بالداق|تورمۇزلاش|تورمۇزلاش كۇنۇپكىسى|تىك|قوش
⏹️;توختاش كۇنۇپكىسى;توختاش|توختاش كۇنۇپكىسى|كىۋادرات
⏺️;ئېلىش كۇنۇپكىسى;ئېلىش|ئېلىش كۇنۇپكىسى|چەمبەر
⏏️;چىقىرىش كۇنۇپكىسى;چىقىرىش|چىقىرىش كۇنۇپكىسى
🎦;كىنوخانا;فىلىم|كامېرا|كىنو|كىنوخانا
🔅;غۇۋالىق كۇنۇپكىسى;تۆۋەن|تۇتۇق|غۇۋالىق كۇنۇپكىسى|يورۇقلۇق
🔆;يورۇقلۇق كۇنۇپكىسى;يورۇق|يورۇقلۇق|يورۇقلۇق كۇنۇپكىسى
📶;ئانتېننا بالدىقى;ئانتېننا|ئانتېننا بالدىقى|بالداق|تېلېفون|سىگنال|كاتەك|كۆچمە|يانفون
🛜;;
📳;تىترەش ھالىتى;تىترەش|تىترەش ھالىتى|تېلېفون|كۆچمە|ھالەت|يان تېلېفون|يانفون
📴;يانفون ئېتىك;ئېتىك|تېلېفون|كۆچمە|يانفون
♀️;ئايال بەلگىسى;ئايال|ئايال بەلگىسى
♂️;ئەر بەلگىسى;ئەر|ئەر بەلگىسى
⚧️;;
✖️;ئېغىر كۆپەيتىش بەلگىسى;x|ئېغىر كۆپەيتىش بەلگىسى|بىكار قىلىش|كۆپەيت|كۆپەيتىش
➕;ئېغىر قوشۇش بەلگىسى;ئېغىر قوشۇش بەلگىسى|قوشۇش|ماتېماتىكا
➖;ئېغىر ئېلىش بەلگىسى;ئېغىر ئېلىش بەلگىسى|ئېلىش|ماتېماتىكا
➗;ئېغىر بۆلۈش بەلگىسى;ئېغىر بۆلۈش بەلگىسى|بۆلۈش|ماتېماتىكا
🟰;;
♾️;;
‼️;قوش ئۈندەش بەلگىسى;ئۇرۇش|ئۈندەش|بەلگە|تىنىش|قوش ئۈندەش بەلگىسى
⁉️;ئۈندەشلىك سوئال بەلگىسى;ئۈندەش|ئۈندەشلىك سوئال بەلگىسى|بەلگە|تىنىش|سوئال|سوئاللىق ئۈندەش
❓;سوئال بەلگىسى;بەلگە|تىنىش|سوئال|سوئال بەلگىسى
❔;ئاق سوئال بەلگىسى;ئاق سوئال بەلگىسى|بەلگە|تىنىش|سوئال|سىزىق
❕;ئاق ئۈندەش بەلگىسى;ئاق ئۈندەش بەلگىسى|ئۈندەش|بەلگە|تىنىش|سىزىق
❗;ئۈندەش بەلگىسى;ئۈندەش|ئۈندەش بەلگىسى|بەلگە|تىنىش
〰️;دولقۇنلۇق كۆپ چېكىت;تىنىش|چېكىت|دولقۇنلق|دولقۇنلۇق كۆپ چېكىت
💱;پۇل ئالماشتۇرۇش;ئاقچا|ئالماشتۇرۇش|بانكا|پۇل
💲;ئېغىر دوللار بەلگىسى;ئاقچا|ئېغىر دوللار بەلگىسى|پۇل|دوللار
⚕️;دورا بەلگىسى;ئاسكۇلاپىيۇس|خادىم|دورا|دورا بەلگىسى
♻️;يىغىپ ئىشلەش بەلگىسى;يىغىپ ئىشلەش|يىغىپ ئىشلەش بەلگىسى
⚜️;نەقىش;نەقىش
🔱;ئارا بەلگە;ئارا|بەلگە|قورال|كېمە|لەڭگەر
📛;ئىزنەك;ئىزنەك|نام
🔰;ياپونچە باشلانغۇچ بەلگىسى;ئاچىماق|باشلىغۇچى|سېرىق|قورال|ياپراق|ياپونچە|ياپونچە باشلانغۇچ بەلگىسى|يېشىل
⭕;چوڭ ئېغىر ھالقا;o|چوڭ ئېغىر ھالقا|ھالقا
✅;ئاق ئېغىر توغرا بەلگىسى;ئاق ئېغىر توغرا بەلگىسى|بەلگە|تاللاش
☑️;تاللانغان بېلەت ساندۇقى;بېلەت|تاللاش|تاللانغان بېلەت ساندۇقى|ساندۇق
✔️;ئېغىر توغرا بەلگىسى;ئېغىر توغرا بەلگىسى|بەلگە|تاللاش
❌;خاتا بەلگىسى;x|بەلگە|بىكار قىلىش|خاتا بەلگىسى|كۆپەيت|كۆپەيتىش
❎;خاتا بەلگە كۇنۇپكىسى;بەلگە|خاتا بەلگە كۇنۇپكىسى|كىۋادرات
➰;ئەگمە ھالقا;ئەگمە|ھالقا
➿;قوش ئەگمە ھالقا;ئەگمە|قوش|ھالقا
〽️;قىسمەن ئۆزگەرتىش بەلگىسى;بەلگە|قىسمەن|قىسمەن ئۆزگەرتىش بەلگىسى
✳️;سەككىز بۇرجەكلىك يۇلتۇز بەلگىسى;سەككىز بۇرجەكلىك يۇلتۇز بەلگىسى|يۇلتۇز بەلگىسى
✴️;سەككىز بۇرجەكلىك يۇلتۇز;سەككىز بۇرجەكلىك يۇلتۇز|يۇلتۇز
❇️;چاقناش;چاقناش
©️;نەشر ھوقۇقى;نەشر ھوقۇقى
®️;تىزىملاتقان;تىزىملاتقان
™️;سودا ماركىسى;س م|سودا ماركىسى|ماركا
#️⃣;;
*️⃣;;
0️⃣;;
1️⃣;;
2️⃣;;
3️⃣;;
4️⃣;;
5️⃣;;
6️⃣;;
7️⃣;;
8️⃣;;
9️⃣;;
🔟;;
🔠;لاتىنچە چوڭ ھەرپ;ABCD|چوڭ|كىرگۈزۈش|لاتىن|لاتىنچە چوڭ ھەرپ|ھەرپ
🔡;لاتىنچە كىچىك ھەرپ;abcd|كىچىك|كىرگۈزۈش|لاتىن|لاتىنچە كىچىك ھەرپ|ھەرپ
🔢;سان كىرگۈزۈش;1234|سان|سان كىرگۈزۈش|كىرگۈزش
🔣;بەلگە كىرگۈزۈش;〒♪&amp;%|بەلگە كىرگۈزۈش|كىرگۈزۈش
🔤;لاتىنچە ھەرپ كىرگۈزۈش;abc|ئېلىپبە|كىرگۈزۈش|لاتىن|لاتىنچە ھەرپ كىرگۈزۈش|ھەرپ
🅰️;A كۇنۇپكىسى (قان تىپى);a|A كۇنۇپكىسى (قان تىپى)|قان تىپى
🆎;AB كۇنۇپكىسى (قان تىپى);ab|AB كۇنۇپكىسى (قان تىپى)|قان تىپى
🅱️;B كۇنۇپكىسى (قان تىپى);b|B كۇنۇپكىسى (قان تىپى)|قان تىپى
🆑;CL كۇنۇپكىسى;cl|CL كۇنۇپكىسى
🆒;«بولىدىكەن» كۇنۇپكىسى;«بولىدىكەن» كۇنۇپكىسى|بولىدىكەن
🆓;«بىكار» كۇنۇپكىسى;«بىكار» كۇنۇپكىسى|بىكار
ℹ️;ئۇچۇر;i|ئۇچۇر
🆔;ID كۇنۇپكىسى;id|ID كۇنۇپكىسى|كىملىك
Ⓜ️;ھالقىلىق M;m|ھالقا|ھالقىلىق M
🆕;«يېڭى» كۇنۇپكىسى;«يېڭى» كۇنۇپكىسى|يېڭى
🆖;NG كۇنۇپكىسى;ng|NG كۇنۇپكىسى
🅾️;O كۇنۇپكىسى (قان تىپى);o|O كۇنۇپكىسى (قان تىپى)|قان تىپى
🆗;«OK» كۇنۇپكىسى;«OK» كۇنۇپكىسى|ماقۇل
🅿️;P كۇنۇپكىسى;P كۇنۇپكىسى|توختىتىش
🆘;SOS كۇنۇپكىسى;sos|SOS كۇنۇپكىسى|ياردەم
🆙;UP! كۇنۇپكىسى;UP! كۇنۇپكىسى|ئۈستى|بەلگە
🆚;VS كۇنۇپكىسى;vs|VS كۇنۇپكىسى|بەس
🈁;ياپونچە «بۇ يەر» دېگەن كۇنۇپكا;«بۇ يەر»|كاتاكانا|ياپونچە|ياپونچە «بۇ يەر» دېگەن كۇنۇپكا|ココ
🈂️;ياپونچە «مۇلازىمەت ھەققى» دېگەن كۇنۇپكا;«مۇلازىمەت ھەققى»|كاتاكانا|ياپونچە|ياپونچە «مۇلازىمەت ھەققى» دېگەن كۇنۇپكا|サ
🈷️;ياپونچە «ئايلىق» دېگەن كۇنۇپكا;«ئايلىق سومما»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ئايلىق» دېگەن كۇنۇپكا|月
🈶;ياپونچە «ھەقسىز ئەمەس» دېگەن كۇنۇپكا;«ھەقسىز ئەمەس»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ھەقسىز ئەمەس» دېگەن كۇنۇپكا|有
🈯;ياپونچە «ساقلاق» دېگەن كۇنۇپكا;«ساقلاق»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ساقلاق» دېگەن كۇنۇپكا|指
🉐;ياپونچە «سودىلىشىش» دېگەن كۇنۇپكا;«سودىلىشىش»|مەنىلىك يېزىق|ياپونچە|ياپونچە «سودىلىشىش» دېگەن كۇنۇپكا|得
🈹;ياپونچە «ئېتىبار» دېگەن كۇنۇپكا;«ئېتىبار»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ئېتىبار» دېگەن كۇنۇپكا|割
🈚;ياپونچە «ھەقسىز» دېگەن كۇنۇپكا;«ھەقسىز»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ھەقسىز» دېگەن كۇنۇپكا|無
🈲;ياپونچە «چەكلەنگەن» دېگەن كۇنۇپكا;«چەكلەش»|مەنىلىك يېزىق|ياپونچە|ياپونچە «چەكلەنگەن» دېگەن كۇنۇپكا|禁
🉑;ياپونچە «لاياقەتلىك» دېگەن كونۇپكا;«لاياقەتلىك»|مەنىلىك يېزىق|ياپونچە|ياپونچە «لاياقەتلىك» دېگەن كونۇپكا|可
🈸;ياپونچە «ئىلتىماس» كۇنۇپكىسى;«ئىلتىماس»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ئىلتىماس» كۇنۇپكىسى|申
🈴;ياپونچە «نومۇر چېكى» كۇنۇپكىسى;«نومۇر چېكى»|مەنىلىك يېزىق|ياپونچە|ياپونچە «نومۇر چېكى» كۇنۇپكىسى|合
🈳;ياپونچە «بوش» دېگەن كۇنۇپكا;«بوش»|مەنىلىك يېزىق|ياپونچە|ياپونچە «بوش» دېگەن كۇنۇپكا|空
㊗️;ياپونچە «مۇبارەك» دېگەن كۇنۇپكا;«مۇبارەك»|مەنىلىك يېزىق|ياپونچە|ياپونچە «مۇبارەك» دېگەن كۇنۇپكا|祝
㊙️;ياپونچە «مەخپىيەتلىك» دېگەن كۇنۇپكا;«سىر»|مەنىلىك يېزىق|ياپونچە|ياپونچە «مەخپىيەتلىك» دېگەن كۇنۇپكا|秘
🈺;ياپونچە «ئوچۇق» دېگەن كۇنۇپكا;«ئوچۇق»|مەنىلىك يېزىق|ياپونچە|ياپونچە «ئوچۇق» دېگەن كۇنۇپكا|営
🈵;ياپونچە «بوش ئەمەس» دېگەن كۇنۇپكا;«بوش ئەمەس»|مەنىلىك يېزىق|ياپونچە|ياپونچە «بوش ئەمەس» دېگەن كۇنۇپكا|満
🔴;قىزىل چەمبەر;چەمبەر|قىزىل|گېئومېتىرىيە
🟠;;
🟡;;
🟢;;
🔵;كۆك چەمبەر;چەمبەر|كۆك|گېئومېتىرىيە
🟣;;
🟤;;
⚫;قارا چەمبەر;چەمبەر|قارا چەمبەر|گېئومېتىرىيە
⚪;ئاق چەمبەر;ئاق چەمبەر|چەمبەر|گېئومېتىرىيە
🟥;;
🟧;;
🟨;;
🟩;;
🟦;;
🟪;;
🟫;;
⬛;قارا چوڭ كىۋادرات;قارا چوڭ كىۋادرات|كىۋادرات|گېئومېتىرىيە
⬜;ئاق چوڭ كىۋادرات;ئاق چوڭ كىۋادرات|كىۋادرات|گېئومېتىرىيە
◼️;قارا ئارا كىۋادرات;قارا ئارا كىۋادرات|كىۋادرات|گېئومېتىرىيە
◻️;ئاق ئارا كىۋادرات;ئاق ئارا كىۋادرات|كىۋادرات|گېئومېتىرىيە
◾;قارا كىچىكرەك كىۋادرات;قارا كىچىكرەك كىۋادرات|كىۋادرات|گېئومېتىرىيە
◽;ئاق كىچىكرەك كىۋادرات;ئاق كىچىكرەك كىۋادرات|كىۋادرات|گېئومېتىرىيە
▪️;قارا كىچىك كىۋادرات;قارا كىچىك كىۋادرات|كىۋادرات|گېئومېتىرىيە
▫️;ئاق كىچىك كىۋادرات;ئاق كىچىك كىۋادرات|كىۋادرات|گېئومېتىرىيە
🔶;چوڭ قىزغۇچ رومبا;چوڭ قىزغۇچ رومبا|رومبا|قىزغۇچ|گېئومېتىرىيە
🔷;چوڭ كۆك رومبا;چوڭ كۆك رومبا|رومبا|كۆك|گېئومېتىرىيە
🔸;كىچىك قىزغۇچ رومبا;رومبا|قىزغۇچ|كىچىك قىزغۇچ رومبا|گېئومېتىرىيە
🔹;كىچىك كۆك رومبا;رومبا|كۆك|كىچىك كۆك رومبا|گېئومېتىرىيە
🔺;قىزىل ئۈستى ئۈچبۇلۇڭ;قىزىل|قىزىل ئۈستى ئۈچبۇلۇڭ|گېئومېتىرىيە
🔻;قىزىل ئاستى ئۈچبۇلۇڭ;تۆۋەن|قىزىل|قىزىل ئاستى ئۈچبۇلۇڭ|گېئومېتىرىيە
💠;چېكىتلىك رومبا;ئىچكى|چېكىتلىك رومبا|رومبا|كۈلكىلىك|گېئومېتىرىيە
🔘;يۇمىلاق كۇنۇپكا;رادىيۇس|كۇنۇپكا|گېئومېتىرىيە|يۇمىلاق كۇنۇپكا
🔳;ئاق كىۋادرات كۇنۇپكىسى;ئاق كىۋادرات كۇنۇپكىسى|سىزىق|كۇنۇپكا|كىۋادرات|گېئومېتىرىيە
🔲;قارا چاسا كۇنۇپكا;قارا چاسا كۇنۇپكا|كۇنۇپكا|كىۋادرات|گېئومېتىرىيە

[flags]
🏁;كاتەكچە بايراق;چاقماقلىق|كاتەكچە|كاتەكچە بايراق|مۇسابىقە
🚩;ئۈچ بۇرجەك بايراق;ئۈچ بۇرجەك بايراق|خادا
🎌;قايچىلانما بايراقلار;تەبرىكلەش|قايچىلانما|قايچىلانما بايراقلار|ياپونچە
🏴;قارا بايراق;چۆرۈش|قارا بايراق
🏳️;ئاق بايراق;ئاق بايراق|چۆرۈش
🏳️‍🌈;ھەسەن-ھۈسەن بايراق;ھەسەن-ھۈسەن|ھەسەن-ھۈسەن بايراق
🏳️‍⚧️;;
🏴‍☠️;;
🇦🇨;;
🇦🇩;;
🇦🇪;;
🇦🇫;;
🇦🇬;;
🇦🇮;;
🇦🇱;;
