# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
🍿;ᏎᎷ ᎠᏔᏍᎩᏍᎩ;ᏎᎷ ᎠᏔᏍᎩᏍᎩ
🧈;ᎪᏢᎾ;ᎤᏅᏗᎢ|ᎪᏢᎾ
🧂;ᎠᎹ;ᎠᎹ|ᎠᏖᎸᏗ|ᏧᏓᎴᏅᏓ ᏗᏆᏲᏙᏓ ᎥᏓᏍᏓᏴᎲᏍᎬᎢ
🥫;ᎦᏟᏔᏅᎢ ᎠᎵᏍᏓᏰᏗ;ᎦᏟᏔᏅᎢ ᎠᎵᏍᏓᏰᏗ|ᏔᎷᎩᏍᎩ ᎦᏟᏙᏗ
🍱;ᏣᏱᏂᏏ ᎤᎵᏍᏓᏰᏗ;ᎤᎵᏍᏓᏰᏗ|ᏣᏱᏂᏏ
🍘;ᏓᎵᏆ ᎦᏚ ᎤᏍᏓᎬᏴᎯᏓ;ᎦᏚ ᎤᏍᏓᎬᏴᎯᏓ|ᏓᎵᏆ|ᏓᎵᏆ ᎦᏚ ᎤᏍᏓᎬᏴᎯᏓ
🍙;ᏓᎵᏆ ᏍᏆᏞᏍᏗ;ᏍᏆᏞᏍᏗ|ᏓᎵᏆ|ᏣᏱᏂᏏ
🍚;ᏓᎵᏆ ᎬᏂᏍᏔᏅᎢ;ᎬᏂᏍᏔᏅᎢ|ᏓᎵᏆ
🍛;ᏓᎵᏆ ᎤᎦᎹ;ᎤᎦᎹ|ᏓᎵᏆ
🍜;ᎠᏥᎳ ᎦᏌᏙᏯᏍᎩ ᏗᏩᎵ;ᎠᏥᎳ ᎦᏌᏙᏯᏍᎩ|ᎠᏥᎳ ᎦᏌᏙᏯᏍᎩ ᏗᏩᎵ|ᎴᎹᏂ|ᏗᎦᎸᏅᎯ|ᏗᏩᎵ
🍝;ᏍᏆᎨᏘ;ᎦᎸᏅ|ᏍᏆᎨᏘ
🍠;ᎦᏚᏅ ᏄᎾ ᎠᏂᏅᎯᏓ;ᎤᎦᎾᏍᏓ|ᎦᏚᏅ|ᎦᏚᏅ ᏄᎾ ᎠᏂᏅᎯᏓ|ᏄᎾ
🍢;ᎣᏗᏂ;ᎠᎹᎺᏉ ᏓᏳᎶᏒ ᎠᎵᏍᏓᏰᏗ|ᎣᏗᏂ|ᎦᏅᏍᏓ|ᎦᏅᏍᏗ|ᎨᏆᏆ
🍣;ᎠᏑᏴᎾ ᎠᎩᏍᏗ;ᎠᏑᏴᎾ ᎠᎩᏍᏗ
🍤;ᎬᏣᎳᏅᎢ ᏥᏅᏅ;ᎡᏆ ᏥᏅᏅ|ᎬᏣᎳᏅᎢ|ᎬᏨᏝᏅ|ᏥᏅᏅ
🍥;ᎠᏣᏗ ᎦᏚ ᎤᎦᎾᏍᏓ ᎤᏠᏯᏍᏗ ᎠᏗᏆᎸᏕᏲᎯ;ᎠᏗᏆᎸᏕᏲᎯ|ᎠᏣᏗ|ᎠᏣᏗ ᎦᏚ ᎤᎦᎾᏍᏓ ᎤᏠᏯᏍᏗ ᎠᏗᏆᎸᏕᏲᎯ|ᎦᏚ|ᎦᏚ ᎤᏂᎦᎾᏍᏓ
🥮;ᎤᏓ ᎦᏚ ᎤᎦᎾᏍᏓ;ᎤᎳᎪᎲᏍᎩ|ᎤᏓ ᎦᏚ ᎤᎦᎾᏍᏓ|ᎤᏬᏗ ᎤᏂᏍᏆᎸᎮᎲᎢ|ᏓᎶᏂᎨᏍᏛ ᏂᏓᏳᎶᏒ ᎤᏓ ᎦᏚ ᎤᎦᎾᏍᏓ
🍡;ᏕᏂᎪ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎦᏅᏍᏓ|ᏕᏂᎪ|ᏣᏱᏂᏏ|ᏴᎩ
🥟;ᎦᎸᏅᎢ;ᎡᎻᏆᎾᏓ|ᎦᎸᏅᎢ|ᎩᏲᏌ|ᏈᎶᎩ|ᏥᏯᎣᏏ|ᏧᎳᏍᎩ ᎠᎩᏍᏗ
🥠;ᏣᏂᏏ ᎦᏚ ᎤᎦᎾᏍᏓ;ᎤᏩᎫᏗᏗᏒ ᎧᏃᎮᏓ|ᏣᏂᏏ ᎦᏚ ᎤᎦᎾᏍᏓ
🥡;ᎠᏫᏛᏗ ᎧᏁᏌ;ᎠᏫᏛᏗ ᎧᏁᏌ|ᎪᎯᏅᏍᏗ
🦀;ᎤᏯᏍᎦᏬᏗ;ᎠᏓᏰᏍᎩ|ᎤᏯᏍᎦᏬᏗ|ᏃᏈᏏ ᏓᏟᎶᏍᏗᎲᎢ
🦞;ᎤᏔᎾ ᏥᏍᏛᎾ;ᎡᏉᏂ ᎡᎯ ᎠᎩᏍᏗ|ᎤᎦᎹ|ᎤᏔᎾ ᏥᏍᏛᎾ|ᏚᏑᎦᏢ
🦐;ᏥᏅᏅ;ᎠᎵᏍᏓᏴᏗ|ᎤᎾᏯᏍᎦᏟ ᎠᏣᏗ|ᎤᏍᏗ|ᏥᏅᏅ
🦑;ᏍᏈᏗ;ᎠᎵᏍᏓᏴᏗ|ᎼᎸᏍᎩ|ᏍᏈᏗ
🦪;ᎤᏔᎾ ᏓᎬᎾ;ᎠᏕᏛᏍᎦ|ᎤᏔᎾ ᏓᎬᎾ|ᏓᎬᎾ ᏅᏯ
🍦;ᎦᏁᏍᏓᎵᏗᏍᏓᏅ ᎤᏅᏗ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏗᏓ ᎠᎩᏍᏗ|ᎤᎦᏛᏢᏓ|ᎤᏁᏍᏓᎳ|ᎤᏅᏗ ᎦᏁᏍᏓᎳᏗᏍᏔᏅ|ᎦᏁᏍᏓᎵᏗᏍᏓᏅ ᎤᏅᏗ|ᏩᏂᎨ
🍧;ᎤᏁᏍᏓᎳ ᎠᏍᏙᏰᏓ;ᎠᏍᏙᏰᏓ|ᎤᎦᎾᏍᏓ|ᎤᏁᏍᏓᎳ
🍨;ᎤᏅᏗ ᎦᏁᏍᏓᎳᏗᏍᏔᏅ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎤᎦᏓᏢᏓ|ᎤᏁᏍᏓᎳ|ᎤᏅᏗ ᎦᏁᏍᏓᎳᏗᏍᏔᏅ
🍩;ᎠᏔᎴᏓ ᎦᏚ;ᎠᏔᎴᏓ ᎦᏚ|ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎦᏚ ᎤᎦᎾᏍᏓ
🍪;ᎦᏚ ᎤᎦᎾᏍᏗ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎦᏚ ᎤᎦᎾᏍᏗ
🎂;ᎤᏕᏘᏱᏍᎬᎢ ᎦᏚ ᎤᎦᎾᏍᏓ;ᎠᎾᎵᎮᎵᎬᎢ|ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎤᏍᏗ ᎨᎵᏍᎩ|ᎤᏕᏘᏱᏍᎬᎢ|ᎤᏕᏘᏱᏍᎬᎢ ᎦᏚ ᎤᎦᎾᏍᏓ|ᎦᏚ ᎤᎦᎾᏍᏓ
🍰;ᎦᏚ ᎤᎦᎾᏍᏓ;ᎠᎬᏯᎷᏴᎢ|ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎦᏚ ᎤᎦᎾᏍᏓ|ᎦᏚ ᎤᏂᎦᎾᏍᏓ
🧁;ᎤᎵᏍᏈᏗ ᎦᏚ ᎤᎦᎾᏍᏗ;ᎤᎦᎾᏍᏓ|ᎤᎵᏍᏈᏗ ᎦᏚ ᎤᎦᎾᏍᏗ|ᏧᏂᏅᏘᏱ
🥧;ᎨᎵᏍᎩ;ᎤᏍᏗ ᎨᎵᏍᎩ|ᎨᎵᏍᎩ|ᎭᏫᎾᏗᏜ
🍫;ᎤᏬᏗᎨ ᎧᎵᏎᏥ;ᎠᏯᏔᎾᎸ|ᎤᎦᎾᏍᏗ|ᎤᎦᎾᏍᏗ ᎠᎩᏍᏗ|ᎤᏬᏗᎨ ᎧᎵᏎᏥ
🍬;ᎧᎵᏎᏥ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎧᎵᏎᏥ
🍭;ᎧᎵᏎᏥ ᎦᏅᎯᏓ;ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎧᎵᏎᏥ|ᎧᎵᏎᏥ ᎦᏅᎯᏓ
🍮;ᎨᎵᏍᏔᏅ;ᎠᏑᏰᎥᎢ|ᎤᎦᎾᏍᏓ|ᎤᎦᎾᏍᏓ ᎠᎩᏍᏗ|ᎨᎵᏍᏔᏅ
🍯;ᏩᏚᎵᏏ ᎠᏟᏍᏙᏗ;ᎠᏟᏍᏙᏗ|ᎤᎦᎾᏍᏓ|ᏩᏚᎵᏏ
🍼;ᎤᏍᏗ ᎤᏍᏛᏍᏗ;ᎠᏗᏔᏍᏗ|ᎤᏅᏗ|ᎤᏍᏗ|ᎤᏍᏗ ᎤᏍᏛᏍᏗ|ᎫᎩ
🥛;ᎤᏅᏗ ᎤᎸᏌᏗ ᎠᏟᏍᏛᎢ;ᎠᏗᏔᏍᏗ|ᎤᎸᏌᏗ|ᎤᏅᏗ|ᎤᏅᏗ ᎤᎸᏌᏗ ᎠᏟᏍᏛᎢ
☕;ᎤᏗᏞᎩ ᎠᏗᏔᏍᏗ;ᎠᏔᎶᎴᎬ|ᎠᏗᏔᏍᏗ|ᎤᎦᎶᎦ|ᎤᏗᏞᎩ|ᎧᏫ
🫖;ᎠᎹ ᎠᎪᏙᏗ;ᎠᎹ ᎠᎪᏙᏗ|ᎠᏗᏔᏍᏗ|ᎤᎦᎶᎦ|ᏧᎳᏍᎩ
🍵;ᎤᎵᏍᏈᏘ ᎦᏂᏴᏙᏗ ᏄᏍᏛᎾ;ᎠᏗᏔᏍᎦ|ᎠᏗᏔᏍᏗ|ᎤᎦᎶᎦ|ᎤᎵᏍᏈᏘ|ᎤᎵᏍᏈᏘ ᎦᏂᏴᏙᏗ ᏄᏍᏛᎾ
🍶;ᎠᏗᏔᏍᏗ;ᎠᏗᏔᏍᏗ|ᎠᏯᏔᎾᎸ|ᎤᎵᏍᏈᏘ|ᎫᎩ
🍾;ᎫᎩ ᎬᏩᏠᏯᏍᏗ ᎠᏔᏍᎩᏍᎩ;ᎠᏍᏚᏙᏗ|ᎠᏔᏍᎩᏍᎬ|ᎠᏗᏔᏍᏗ|ᎠᏯᏔᎾᎸ|ᎫᎩ|ᎫᎩ ᎬᏩᏠᏯᏍᏗ ᎠᏔᏍᎩᏍᎩ
🍷;ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᎫᎩ;ᎠᏗᏔᏍᏗ|ᎠᏯᏔᎾᎸ|ᎤᎸᏌᏗ|ᎩᎦᎨ ᎠᏗᏔᏍᏗ|ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᎫᎩ
🍸;ᎠᏕᏯᏅᎢ ᎠᏗᏔᏍᏗ ᎤᎸᏌᏗ;ᎠᏕᏯᏅᎢ ᎠᏗᏔᏍᏗ ᎤᎸᏌᏗ|ᎠᏗᏔᏍᏗ|ᎠᏯᏔᎾᎸ|ᎤᎸᏌᏗ
🍹;ᏧᎦᏃᏩ ᎠᏗᏔᏍᏗ;ᎠᏗᏔᏍᏗ|ᎠᏯᏔᎾᎸ|ᎤᏗᏞᎩ|ᏧᎦᏃᏩ ᎠᏗᏔᏍᏗ
🍺;ᎠᏬᎩᏢᏍᎩ ᎠᏟᏍᏙᏗ;ᎠᏗᏔᏍᏗ|ᎠᏬᎩᏢᏍᎩ|ᎠᏬᎩᏢᏍᎩ ᎠᏟᏍᏙᏗ|ᎠᏯᏔᎾᎸ|ᎦᏓᎫᎩ
🍻;ᏓᏓᏒᏅᏍᏗᎲ ᎠᏬᎩᏢᏍᎩ ᏗᏟᏙᏗ;ᎠᏗᏔᏍᏗ|ᎠᏬᎩᏢᏍᎩ|ᎠᏯᏔᎾᎸ|ᎦᏓᎫᎩ|ᏓᏓᏒᏅᏍᏗᎲ ᎠᏬᎩᏢᏍᎩ ᏗᏟᏙᏗ|ᏓᏓᏒᏍᏗᏍᎬᎢ
🥂;ᏓᏓᏒᏅᏍᏗᎲ ᏧᎸᏌᏗ;ᎠᎵᎮᎵᏍᏗ|ᎠᏗᏔᏍᏗ|ᎤᎸᏎᏗ|ᏓᏓᏒᏅᏍᏗᎲ ᏧᎸᏌᏗ|ᏧᏓᏒᏅᏍᏔᏅ
🥃;ᎫᎩ ᎠᏟᏍᏙᏗ;ᎠᏓᏴᏍᏕᏍᏗᏍᎩ|ᎤᎸᏌᏗ|ᎫᎩ ᎠᏟᏍᏙᏗ|ᏍᏚᎩᏍᏗ|ᏫᏍᎩ
🫗;ᎠᏟᎠ;ᎠᏗᏔᏍᏗ|ᎠᏟᎠ|ᎠᏤᏩᏍᏗ|ᎤᎸᏌᏗ|ᎤᏏᏩ
🥤;ᎤᎵᏍᏈᏘ ᎾᏍᎩ ᎬᏩᏠᏯᏍᏗ ᎠᎹᏗᏙᏗ;ᎠᏗᏔᏍᏗ|ᎤᎵᏍᏈᏘ ᎾᏍᎩ ᎬᏩᏠᏯᏍᏗ ᎠᎹᏗᏙᏗ|ᎪᎸᏍᏔᏅ
🧋;ᏚᏆᎷᏒ ᎤᎦᎶᎦ;ᎤᎦᎶᎦ|ᎤᏅᏗ|ᏓᎬᎾ|ᏚᏆᎷᏒ
🧃;ᎠᏗᏔᏍᏗ ᎧᏁᏌᎢ;ᎠᏗᏔᏍᏗ ᎧᏁᏌᎢ|ᎤᏓᏁᏅᎯ ᎧᏁᏌᎢ
🧉;ᎤᎩᎶᎩ ᎠᏗᏔᏍᏗ;ᎠᏗᏔᏍᏗ|ᎤᎩᎶᎩ ᎠᏗᏔᏍᏗ
🧊;ᎤᏁᏍᏓᎳ ᏧᎾᏏᏯ ᏅᎩ;ᎤᏁᏍᏓᎳ|ᎤᏁᏍᏓᎳ ᎡᏆ|ᎤᏁᏍᏓᎳ ᏧᎾᏏᏯ ᏅᎩ|ᎤᏴᏜ
🥢;ᎦᎷᏍᏗᎦᏅᏍᏗ;ᎦᎷᏍᏗᎦᏅᏍᏗ|ᎮᏏ
🍽️;ᏴᎩ ᎠᎴ ᎠᏰᎳᏍᏗ ᏖᎵᏙᏃ;ᎠᏓᏍᏓᏴᎲᏍᎩ|ᎠᏖᎵᏙ|ᎠᏰᎳᏍᏗ|ᏴᎩ|ᏴᎩ ᎠᎴ ᎠᏰᎳᏍᏗ ᏖᎵᏙᏃ
🍴;ᏳᎩ ᎠᎴ ᎭᏰᎵᏍᏗ;ᎠᏓᏍᏓᏴᎲᏍᎩ|ᎠᏰᎳᏍᏗ|ᎭᏰᎵᏍᏗ|ᏳᎩ ᎠᎴ ᎭᏰᎵᏍᏗ|ᏴᎩ
🥄;ᎠᏗᏙᏗ;ᎠᏗᏙᏗ|ᎦᏍᎩᎶᎠᏢᏅᏗ
🔪;ᎠᏓᏍᏓᏱᏗᎢ ᎠᏰᎳᏍᏗ;ᎠᎵᏍᏕᎸᏙᏗ|ᎠᏓᏍᏓᏱᏗᎢ ᎠᏰᎳᏍᏗ|ᎠᏓᏍᏓᏴᎲᏍᎬᎢ|ᎠᏰᎳᏍᏗ|ᎬᏔᏂᏓᏍᏗ|ᎰᏦ
🫙;ᎫᎫᎢ;ᎠᏑᏍᏗ|ᎠᏓᎾᏅ|ᎤᏏᏩ|ᎪᎢ ᎠᏑᏍᏗ|ᎫᎫ|ᎫᎫᎢ
🏺;ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᏗᏟᏍᏙᏗ;ᎠᎹ ᎦᏅᏥᏙᎯ|ᎠᏓᏍᏓᏴᎲᏍᎩ|ᎠᏗᏔᏍᏗ|ᎦᏓ ᎫᎩ|ᎩᎦᎨ ᎠᏗᏔᏍᏗ ᏗᏟᏍᏙᏗ|ᏃᏈᏏ ᏓᏟᎶᏍᏗᎲᎢ

[travel_places]
🌍;ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᏳᎳᏈ-ᎬᎿᎨᏍᏛ;ᎡᎶᎯ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᏳᎳᏈ-ᎬᎿᎨᏍᏛ|ᎧᎵ ᎡᎶᎯ|ᎬᎿᎨᏍᏛᎢ|ᏳᎳᏈ
🌎;ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᎠᎹᏰᎵ;ᎠᎺᎵᎧᏏ|ᎡᎶᎯ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᎠᎹᏰᎵ|ᎧᎵ ᎡᎶᎯ
🌏;ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᏓᎶᏂᎨ-ᎡᎳᏗ;ᎡᎳᏗᏜ|ᎡᎶᎯ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᏓᎶᏂ-ᎡᎳᏗ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ ᎬᏂᎨᏒ ᏂᎬᎾ ᏓᎶᏂᎨ-ᎡᎳᏗ|ᎧᎵ ᎡᎶᎯ|ᏓᎶᏂᎨᏍᏛ
🌐;ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅᎢ ᎬᏩᏠᏯᏍᏗ ᎹᎵᏗᏂᏱᏏ;ᎡᎶᎯ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅ|ᎡᎶᎯ ᏗᏟᎶᏍᏔᏅᎢ ᎬᏩᏠᏯᏍᏗ ᎹᎵᏗᏂᏱᏏ|ᎧᎵ ᎡᎶᎯ|ᎹᎵᏗᏯᏂᎢ
🗺️;ᎧᎵ ᎡᎶᎯ ᎡᎶᎯ ᏓᏟᎶᏍᏛᎢ;ᎡᎶᎯ ᏓᏟᎶᏍᏛᎢ|ᎧᎵ ᎡᎶᎯ|ᎧᎵ ᎡᎶᎯ ᎡᎶᎯ ᏓᏟᎶᏍᏛᎢ
🗾;ᎡᎶᎯ ᏓᏟᎶᏍᏛ ᎾᎿ ᏤᏇᎾ;ᎡᎶᎯ ᏓᏟᎶᏍᏛ|ᎡᎶᎯ ᏓᏟᎶᏍᏛ ᎾᎿ ᏤᏇᎾ|ᏤᏇᎾ
🧭;ᎠᎳᏂ ᎠᎦᏙᏗ;ᎠᎳᏂ ᎠᎦᏙᏗ|ᎠᎾᏓᎪᎾᏗᏍᎬ ᎡᎶᎯ ᎠᏟᎶᎥᎢ ᎬᏔᏅᎢ|ᎠᏓᏘᏂᏙᎯ|ᏔᎷᎩᏍᎩ ᎦᏌᏁᏍᎩ
🏔️;ᎥᏃᏥ-ᏚᏭᏝᎥᎢ ᎤᏓᎳ;ᎣᏓᎳ|ᎤᏴᏝ|ᎥᏃᏥ|ᎥᏃᏥ-ᏚᏭᏝᎥᎢ ᎤᏓᎳ|ᎥᏃᏥ-ᏚᏭᏝᎥᎢ ᏚᏅᏓᏢᎢ
⛰️;ᎤᏅᏓᏢᎢ;ᎤᏅᏓᏢᎢ
🌋;ᎦᏙ ᎠᏔᎴᏒ ᎠᏔᏍᎩᏍᎩ;ᎠᏣᎷᏘᏍᎬᎢ|ᎣᏓᎳ|ᎦᏙ ᎠᏔᎴᏒ ᎠᏔᏍᎩᏍᎩ
🗻;ᏡᏥ ᎣᏓᎸ;ᎣᏓᎳ|ᏡᏥ|ᏡᏥ ᎣᏓᎸ
🏕️;ᏓᏂᎵᏦᏛᏍᎬᎢ;ᏓᏂᎵᏦᏛᏍᎬᎢ
🏖️;ᏃᏳᎯ ᎠᏓᏩᏗᏍᏙᏗ;ᎠᏓᏩᏗᏍᏙᏗ|ᏃᏳᎯ
🏜️;ᎢᎪᏛ;ᎢᎪᏛ
🏝️;ᎢᎪᏛ ᎤᎦᏚᏛᎢ;ᎢᎪᏛ|ᎤᎦᏚᏛᎢ
🏞️;ᎢᎬᎾᏕᎾ ᎠᏰᎵ ᎡᏓᏍᏗᎢ;ᎠᏰᎵ ᎡᏓᏍᏗᎢ|ᎢᎬᎾᏕᎾ ᎠᏰᎵ ᎡᏓᏍᏗᎢ
🏟️;ᎤᎾᎴᏅᏗ;ᎤᎾᎴᏅᏗ
🏛️;ᎤᏪᏘ ᎠᏓᏁᎸᎢ;ᎤᏪᏘ|ᎤᏪᏘ ᎠᏓᏁᎸᎢ
🏗️;ᏓᎣᏁᏍᎨᏍᎬᎢ ᏗᎾᏁᏍᎨᏍᎩ;ᏓᎣᏁᏍᎨᏍᎬᎢ ᏗᎾᏁᏍᎨᏍᎩ|ᏗᎾᏁᏍᎨᏍᎩ
🧱;ᏅᏯᎠᏛᏓᏔᏅᎯ;ᎤᏍᏆᎳᏘᎦ|ᎦᏓᏆᎳ|ᎧᏑᎧᏡᎢ|ᏅᏯᎠᏛᏓᏔᏅᎯ|ᏅᏯᏗᏛᏓᏅᎢ
🪨;ᏅᏯᎢ;ᎡᏆ ᏅᏯ|ᎤᏔᎾ ᏅᏯ|ᏅᏯ|ᏅᏯᎢ
🪵;ᎠᏓ;ᎠᏓ|ᎠᏙᎯ|ᏧᏯᏖᎾ|ᏩᎾᎠᏔ
🛖;ᎲᏘ;ᎦᎵᏦᏕ|ᎦᏐᏆᎳ ᎦᎵᏦᏕ|ᎲᏘ|ᏴᎵᏘ
🏘️;ᏗᎦᎵᏦᏕ;ᏗᎦᎵᏦᏕ
🏚️;ᎠᏁᏍᎦᏬᏍᎦ ᎦᎵᏦᏕ;ᎠᏁᏍᎦᏬᏍᎦ|ᎦᎵᏦᏕ
🏠;ᎦᎵᏦᏕ;ᎣᏪᏅᏒᎢ|ᎦᎵᏦᏕ
🏡;ᎦᎵᏦᏕ ᎬᏩᏠᏯᏍᏗ ᎠᏫᏒᏅᎢ;ᎠᏫᏒᏅᎢ|ᎣᏪᏅᏒᎢ|ᎦᎵᏦᏕ|ᎦᎵᏦᏕ ᎬᏩᏠᏯᏍᏗ ᎠᏫᏒᏅᎢ
🏢;ᏗᎦᎶᏫᏍᏓᏁᏗ ᎠᏓᏁᎸᎢ;ᎠᏓᏁᎸᎢ|ᏗᎦᎶᏫᏍᏓᏁᏗ ᎠᏓᏁᎸᎢ
🏣;ᏣᏩᏂᏏ ᎪᏪᎵ ᏧᏂᏍᏚᎢᏍᏗ;ᎪᏪᎵ ᏗᎦᏁᏍᏗᎢ|ᏣᏩᏂᏏ ᎪᏪᎵ ᏧᏂᏍᏚᎢᏍᏗ|ᏣᏱᏂᏏ
🏤;ᎪᏪᎵ ᏗᎦᏁᏍᏗᎢ;ᎪᏪᎵ ᏗᎦᏁᏍᏗᎢ|ᎪᏪᎵ ᏧᏂᏍᏚᎢᏍᏗ|ᏳᎳᏈ
🏥;ᏧᏂᏢᎩ;ᎦᎾᎦᏘ|ᏅᏬᏘ|ᏧᏂᏢᎩ
🏦;ᎠᏕᎳᏧᏂᏗ ᎤᎾᏕᏘᏱᏍᎬ;ᎠᏓᏁᎸᎢ|ᎠᏕᎳᏧᏂᏗ ᎤᎾᏕᏘᏱᏍᎬ
🏨;ᏧᏂᏒᏍᏗ;ᎠᏓᏁᎸᎢ|ᏧᏂᏒᏍᏗ
🏩;ᎠᏓᎸᏉᏗ ᎠᏒᏍᏗ;ᎠᏓᎸᏉᏗ ᎠᏒᏍᏗ|ᎦᎸᏉᏗ|ᏧᏂᏒᏍᏗ
🏪;ᎠᎯᏓᏃ ᏩᏓᎾᏁᏍᏗᎢ;ᎠᎯᏓᏃ|ᏩᏓᎾᏁᏍᏗᎢ
🏫;ᏗᏕᎶᏆᏍᏗ;ᎠᏓᏁᎸᎢ|ᏗᏕᎶᏆᏍᏗ
🏬;ᎤᏔᎾ ᎠᏓᏅᏅᎢ;ᎠᏓᏅᏅᎢ|ᎤᏔᎾ
🏭;ᎪᎱᏍᏗ ᎤᏃᏢᏗ;ᎠᏓᏁᎸᎢ|ᎪᎱᏍᏗ ᎤᏃᏢᏗ
🏯;ᏣᏩᏂᏏ ᎤᏂᏯᏫᏍᏗ;ᎤᏂᏯᏫᏍᏗ|ᏣᏩᏂᏏ
🏰;ᎤᏂᏯᏫᏍᏗ;ᎤᏂᏯᏫᏍᏗ|ᏳᎳᏈ
💒;ᏕᎨᎩᏨᏍᏗᎲᎢ;ᏕᎨᎩᏨᏍᏗᎲᎢ|ᏚᎾᏓᎸᏉᏛᎢ|ᏧᏂᎳᏫᏍᏗ
🗼;ᏙᎩᏲ ᎨᏛᎢ;ᎨᏛᎢ|ᏙᎩᏲ
🗽;ᎠᎴᏔᏅ ᎣᏩᏌ ᏗᎫᎪᏔᏂᏓᏍᏗ ᏓᏟᎶᏍᏛᎢ;ᎠᎴᏔᏅ|ᎠᎴᏔᏅ ᎣᏩᏌ ᏗᎫᎪᏔᏂᏓᏍᏗ ᏓᏟᎶᏍᏛᎢ|ᎣᏩᏌ ᏗᎫᎪᏔᏂᏓᏍᏗ
⛪;ᏧᏂᎳᏫᏍᏗ;ᎤᏃᎯᏳᏒᎢ|ᏓᏓᎿᏫᏍᏛ|ᏧᏁᏟᏗ|ᏧᏂᎳᏫᏍᏗ
🕌;ᏗᎦᎳᏫᏍᏗ;ᎢᏏᎳᎻ|ᎤᏃᎯᏳᏒ|ᎹᏏᎳᎻ|ᏗᎦᎳᏫᏍᏗ
🛕;ᎯᏂᏚ ᏧᏂᎳᏫᏍᏗ;ᎯᏂᏚ|ᏧᏂᎳᏫᏍᏗ
🕍;ᎠᏂᏧᏏ ᏧᏂᎳᏫᏍᏗ;ᎠᏂᏧᏏ|ᎤᏃᎯᏳᏒ|ᏧᎾᏁᏟᏗ|ᏧᏂᎳᏫᏍᏗ|ᏧᏫ
⛩️;ᏏᏂᏙᎯ ᎠᏤᎵᏍᏛᎢ;ᎠᏤᎵᏍᏛᎢ|ᎤᏃᎯᏳᏒ|ᏏᏂᏙᎯ
🕋;ᎧᏆ;ᎢᏏᎳᎻ|ᎤᏃᎯᏳᏒ|ᎧᏆ|ᎹᏏᎳᎻ
⛲;ᎠᎹ ᎤᎾᏄᎪᎢᏍᏗ;ᎠᎹ ᎤᎾᏄᎪᎢᏍᏗ
⛺;ᎦᎵᏦᏛ;ᎦᎵᏦᏛ|ᏓᏂᎵᏦᏛᏍᎬᎢ
🌁;ᎤᎬᎭᏓ;ᎤᎬᎭᏓ|ᎤᎬᎭᏗ
🌃;ᎤᏒᏗᏜ ᏃᏈᏏ;ᎤᏒᎢ|ᎤᏒᏗᏜ ᏃᏈᏏ|ᏃᏈᏏ
🏙️;ᎦᏚᎲᎢ ᎠᏍᏛᎢ;ᎦᏚᎲᎢ|ᎦᏚᎲᎢ ᎠᏍᏛᎢ
