# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;Ojú tó rẹ́rìn;fẹyín|ojú|Ojú tó rẹ́rìn
	👨🏽‍🏫;ọkùnrin olùkọ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin olùkọ́: amọ́láwọ̀ díẹ̀|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👨🏾‍🏫;ọkùnrin olùkọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin olùkọ́: adúláwọ̀ díẹ̀|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👨🏿‍🏫;ọkùnrin olùkọ́: adúláwọ̀;adúláwọ̀|ọkùnrin|ọkùnrin olùkọ́: adúláwọ̀|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
👩‍🏫;obìnrin olùkọ́;obìnrin olùkọ́|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👩🏻‍🏫;obìnrin olùkọ́: amọ́lára;amọ́lára|obìnrin olùkọ́|obìnrin olùkọ́: amọ́lára|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👩🏼‍🏫;obìnrin olùkọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|obìnrin olùkọ́|obìnrin olùkọ́: amọ́lára díẹ̀|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👩🏽‍🏫;obìnrin olùkọ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|obìnrin olùkọ́|obìnrin olùkọ́: amọ́láwọ̀ díẹ̀|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👩🏾‍🏫;obìnrin olùkọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|obìnrin olùkọ́|obìnrin olùkọ́: adúláwọ̀ díẹ̀|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
	👩🏿‍🏫;obìnrin olùkọ́: adúláwọ̀;adúláwọ̀|obìnrin olùkọ́|obìnrin olùkọ́: adúláwọ̀|obìrin|olùkọ́|olùtanisọ́nà|ọ̀mọ̀wé àgbà
🧑‍⚖️;adájọ́;adájọ́|ìdájọ́ òdodo|ìwọ̀n
	🧑🏻‍⚖️;adájọ́: amọ́lára;adájọ́|adájọ́: amọ́lára|amọ́lára|ìdájọ́ òdodo|ìwọ̀n
	🧑🏼‍⚖️;adájọ́: amọ́lára díẹ̀;adájọ́|adájọ́: amọ́lára díẹ̀|amọ́lára díẹ̀|ìdájọ́ òdodo|ìwọ̀n
	🧑🏽‍⚖️;adájọ́: amọ́láwọ̀ díẹ̀;adájọ́|adájọ́: amọ́láwọ̀ díẹ̀|amọ́láwọ̀ díẹ̀|ìdájọ́ òdodo|ìwọ̀n
	🧑🏾‍⚖️;adájọ́: adúláwọ̀ díẹ̀;adájọ́|adájọ́: adúláwọ̀ díẹ̀|adúláwọ̀ díẹ̀|ìdájọ́ òdodo|ìwọ̀n
	🧑🏿‍⚖️;adájọ́: adúláwọ̀;adájọ́|adájọ́: adúláwọ̀|adúláwọ̀|ìdájọ́ òdodo|ìwọ̀n
👨‍⚖️;ọkùnrin adájọ́;òdodo onídajọ|ọkùnrin adájọ́
	👨🏻‍⚖️;ọkùnrin adájọ́: amọ́lára;amọ́lára|òdodo onídajọ|ọkùnrin adájọ́|ọkùnrin adájọ́: amọ́lára
	👨🏼‍⚖️;ọkùnrin adájọ́: amọ́lára díẹ̀;amọ́lára díẹ̀|òdodo onídajọ|ọkùnrin adájọ́|ọkùnrin adájọ́: amọ́lára díẹ̀
	👨🏽‍⚖️;ọkùnrin adájọ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|òdodo onídajọ|ọkùnrin adájọ́|ọkùnrin adájọ́: amọ́láwọ̀ díẹ̀
	👨🏾‍⚖️;ọkùnrin adájọ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|òdodo onídajọ|ọkùnrin adájọ́|ọkùnrin adájọ́: adúláwọ̀ díẹ̀
	👨🏿‍⚖️;ọkùnrin adájọ́: adúláwọ̀;adúláwọ̀|òdodo onídajọ|ọkùnrin adájọ́|ọkùnrin adájọ́: adúláwọ̀
👩‍⚖️;obìnrin adájọ́;adájọ́|obìnrin adájọ́|obìrin síkélì
	👩🏻‍⚖️;obìnrin adájọ́: amọ́lára;adájọ́|amọ́lára|obìnrin adájọ́|obìnrin adájọ́: amọ́lára|obìrin síkélì
	👩🏼‍⚖️;obìnrin adájọ́: amọ́lára díẹ̀;adájọ́|amọ́lára díẹ̀|obìnrin adájọ́|obìnrin adájọ́: amọ́lára díẹ̀|obìrin síkélì
	👩🏽‍⚖️;obìnrin adájọ́: amọ́láwọ̀ díẹ̀;adájọ́|amọ́láwọ̀ díẹ̀|obìnrin adájọ́|obìnrin adájọ́: amọ́láwọ̀ díẹ̀|obìrin síkélì
	👩🏾‍⚖️;obìnrin adájọ́: adúláwọ̀ díẹ̀;adájọ́|adúláwọ̀ díẹ̀|obìnrin adájọ́|obìnrin adájọ́: adúláwọ̀ díẹ̀|obìrin síkélì
	👩🏿‍⚖️;obìnrin adájọ́: adúláwọ̀;adájọ́|adúláwọ̀|obìnrin adájọ́|obìnrin adájọ́: adúláwọ̀|obìrin síkélì
🧑‍🌾;àgbẹ̀;àgbẹ̀|àgbẹẹ̀|darandaran|olùtọ́jú ọgbà
	🧑🏻‍🌾;àgbẹ̀: amọ́lára;àgbẹ̀|àgbẹ̀: amọ́lára|àgbẹẹ̀|amọ́lára|darandaran|olùtọ́jú ọgbà
	🧑🏼‍🌾;àgbẹ̀: amọ́lára díẹ̀;àgbẹ̀|àgbẹ̀: amọ́lára díẹ̀|àgbẹẹ̀|amọ́lára díẹ̀|darandaran|olùtọ́jú ọgbà
	🧑🏽‍🌾;àgbẹ̀: amọ́láwọ̀ díẹ̀;àgbẹ̀|àgbẹ̀: amọ́láwọ̀ díẹ̀|àgbẹẹ̀|amọ́láwọ̀ díẹ̀|darandaran|olùtọ́jú ọgbà
	🧑🏾‍🌾;àgbẹ̀: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àgbẹ̀|àgbẹ̀: adúláwọ̀ díẹ̀|àgbẹẹ̀|darandaran|olùtọ́jú ọgbà
	🧑🏿‍🌾;àgbẹ̀: adúláwọ̀;adúláwọ̀|àgbẹ̀|àgbẹ̀: adúláwọ̀|àgbẹẹ̀|darandaran|olùtọ́jú ọgbà
👨‍🌾;ọkùnrin àgbẹ́;àgbẹ́|aṣọ́gbà|ọkùnrin|olùtọ́jú màlùú
	👨🏻‍🌾;ọkùnrin àgbẹ́: amọ́lára;àgbẹ́|amọ́lára|aṣọ́gbà|ọkùnrin|ọkùnrin àgbẹ́: amọ́lára|olùtọ́jú màlùú
	👨🏼‍🌾;ọkùnrin àgbẹ́: amọ́lára díẹ̀;àgbẹ́|amọ́lára díẹ̀|aṣọ́gbà|ọkùnrin|ọkùnrin àgbẹ́: amọ́lára díẹ̀|olùtọ́jú màlùú
	👨🏽‍🌾;ọkùnrin àgbẹ́: amọ́láwọ̀ díẹ̀;àgbẹ́|amọ́láwọ̀ díẹ̀|aṣọ́gbà|ọkùnrin|ọkùnrin àgbẹ́: amọ́láwọ̀ díẹ̀|olùtọ́jú màlùú
	👨🏾‍🌾;ọkùnrin àgbẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àgbẹ́|aṣọ́gbà|ọkùnrin|ọkùnrin àgbẹ́: adúláwọ̀ díẹ̀|olùtọ́jú màlùú
	👨🏿‍🌾;ọkùnrin àgbẹ́: adúláwọ̀;adúláwọ̀|àgbẹ́|aṣọ́gbà|ọkùnrin|ọkùnrin àgbẹ́: adúláwọ̀|olùtọ́jú màlùú
👩‍🌾;obìrinàgbẹ́;àgbẹ́|aṣọ́gbà|obìrin|obìrinàgbẹ́|olùtọ́jú màlùú
	👩🏻‍🌾;obìrinàgbẹ́: amọ́lára;àgbẹ́|amọ́lára|aṣọ́gbà|obìrin|obìrinàgbẹ́|obìrinàgbẹ́: amọ́lára|olùtọ́jú màlùú
	👩🏼‍🌾;obìrinàgbẹ́: amọ́lára díẹ̀;àgbẹ́|amọ́lára díẹ̀|aṣọ́gbà|obìrin|obìrinàgbẹ́|obìrinàgbẹ́: amọ́lára díẹ̀|olùtọ́jú màlùú
	👩🏽‍🌾;obìrinàgbẹ́: amọ́láwọ̀ díẹ̀;àgbẹ́|amọ́láwọ̀ díẹ̀|aṣọ́gbà|obìrin|obìrinàgbẹ́|obìrinàgbẹ́: amọ́láwọ̀ díẹ̀|olùtọ́jú màlùú
	👩🏾‍🌾;obìrinàgbẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|àgbẹ́|aṣọ́gbà|obìrin|obìrinàgbẹ́|obìrinàgbẹ́: adúláwọ̀ díẹ̀|olùtọ́jú màlùú
	👩🏿‍🌾;obìrinàgbẹ́: adúláwọ̀;adúláwọ̀|àgbẹ́|aṣọ́gbà|obìrin|obìrinàgbẹ́|obìrinàgbẹ́: adúláwọ̀|olùtọ́jú màlùú
🧑‍🍳;alásè;alásè|olórí alásè
	🧑🏻‍🍳;alásè: amọ́lára;alásè|alásè: amọ́lára|amọ́lára|olórí alásè
	🧑🏼‍🍳;alásè: amọ́lára díẹ̀;alásè|alásè: amọ́lára díẹ̀|amọ́lára díẹ̀|olórí alásè
	🧑🏽‍🍳;alásè: amọ́láwọ̀ díẹ̀;alásè|alásè: amọ́láwọ̀ díẹ̀|amọ́láwọ̀ díẹ̀|olórí alásè
	🧑🏾‍🍳;alásè: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|alásè|alásè: adúláwọ̀ díẹ̀|olórí alásè
	🧑🏿‍🍳;alásè: adúláwọ̀;adúláwọ̀|alásè|alásè: adúláwọ̀|olórí alásè
👨‍🍳;ọkùnrin olùse ónjẹ;ọkùnrin|ọkùnrin olùse ónjẹ|olúse ónjẹ|olùse ónjẹ
	👨🏻‍🍳;ọkùnrin olùse ónjẹ: amọ́lára;amọ́lára|ọkùnrin|ọkùnrin olùse ónjẹ|ọkùnrin olùse ónjẹ: amọ́lára|olúse ónjẹ|olùse ónjẹ
	👨🏼‍🍳;ọkùnrin olùse ónjẹ: amọ́lára díẹ̀;amọ́lára díẹ̀|ọkùnrin|ọkùnrin olùse ónjẹ|ọkùnrin olùse ónjẹ: amọ́lára díẹ̀|olúse ónjẹ|olùse ónjẹ
	👨🏽‍🍳;ọkùnrin olùse ónjẹ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ọkùnrin|ọkùnrin olùse ónjẹ|ọkùnrin olùse ónjẹ: amọ́láwọ̀ díẹ̀|olúse ónjẹ|olùse ónjẹ
	👨🏾‍🍳;ọkùnrin olùse ónjẹ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ọkùnrin|ọkùnrin olùse ónjẹ|ọkùnrin olùse ónjẹ: adúláwọ̀ díẹ̀|olúse ónjẹ|olùse ónjẹ
	👨🏿‍🍳;ọkùnrin olùse ónjẹ: adúláwọ̀;adúláwọ̀|ọkùnrin|ọkùnrin olùse ónjẹ|ọkùnrin olùse ónjẹ: adúláwọ̀|olúse ónjẹ|olùse ónjẹ
👩‍🍳;obìrin olùse ónjẹ;obìrin|obìrin olùse ónjẹ|olúse ónjẹ|olùse ónjẹ
	👩🏻‍🍳;obìrin olùse ónjẹ: amọ́lára;amọ́lára|obìrin|obìrin olùse ónjẹ|obìrin olùse ónjẹ: amọ́lára|olúse ónjẹ|olùse ónjẹ
	👩🏼‍🍳;obìrin olùse ónjẹ: amọ́lára díẹ̀;amọ́lára díẹ̀|obìrin|obìrin olùse ónjẹ|obìrin olùse ónjẹ: amọ́lára díẹ̀|olúse ónjẹ|olùse ónjẹ
	👩🏽‍🍳;obìrin olùse ónjẹ: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|obìrin|obìrin olùse ónjẹ|obìrin olùse ónjẹ: amọ́láwọ̀ díẹ̀|olúse ónjẹ|olùse ónjẹ
	👩🏾‍🍳;obìrin olùse ónjẹ: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|obìrin|obìrin olùse ónjẹ|obìrin olùse ónjẹ: adúláwọ̀ díẹ̀|olúse ónjẹ|olùse ónjẹ
	👩🏿‍🍳;obìrin olùse ónjẹ: adúláwọ̀;adúláwọ̀|obìrin|obìrin olùse ónjẹ|obìrin olùse ónjẹ: adúláwọ̀|olúse ónjẹ|olùse ónjẹ
🧑‍🔧;mẹkáníìkì;arólélópòó|mẹkáníìkì|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
	🧑🏻‍🔧;mẹkáníìkì: amọ́lára;amọ́lára|arólélópòó|mẹkáníìkì|mẹkáníìkì: amọ́lára|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
	🧑🏼‍🔧;mẹkáníìkì: amọ́lára díẹ̀;amọ́lára díẹ̀|arólélópòó|mẹkáníìkì|mẹkáníìkì: amọ́lára díẹ̀|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
	🧑🏽‍🔧;mẹkáníìkì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|arólélópòó|mẹkáníìkì|mẹkáníìkì: amọ́láwọ̀ díẹ̀|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
	🧑🏾‍🔧;mẹkáníìkì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|arólélópòó|mẹkáníìkì|mẹkáníìkì: adúláwọ̀ díẹ̀|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
	🧑🏿‍🔧;mẹkáníìkì: adúláwọ̀;adúláwọ̀|arólélópòó|mẹkáníìkì|mẹkáníìkì: adúláwọ̀|oníṣẹ́-ẹ̀lẹ́tíríìkì|oníṣẹ́-ọwọ́
👨‍🔧;ọkùnrin atún ọkọ̀ ṣe;atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|pílọ́bà
	👨🏻‍🔧;ọkùnrin atún ọkọ̀ ṣe: amọ́lára;amọ́lára|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|ọkùnrin atún ọkọ̀ ṣe: amọ́lára|pílọ́bà
	👨🏼‍🔧;ọkùnrin atún ọkọ̀ ṣe: amọ́lára díẹ̀;amọ́lára díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|ọkùnrin atún ọkọ̀ ṣe: amọ́lára díẹ̀|pílọ́bà
	👨🏽‍🔧;ọkùnrin atún ọkọ̀ ṣe: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|ọkùnrin atún ọkọ̀ ṣe: amọ́láwọ̀ díẹ̀|pílọ́bà
	👨🏾‍🔧;ọkùnrin atún ọkọ̀ ṣe: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|ọkùnrin atún ọkọ̀ ṣe: adúláwọ̀ díẹ̀|pílọ́bà
	👨🏿‍🔧;ọkùnrin atún ọkọ̀ ṣe: adúláwọ̀;adúláwọ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|ọkùnrin|ọkùnrin atún ọkọ̀ ṣe|ọkùnrin atún ọkọ̀ ṣe: adúláwọ̀|pílọ́bà
👩‍🔧;obìrin atún ọkọ̀ ṣe;atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|pílọ́bà
	👩🏻‍🔧;obìrin atún ọkọ̀ ṣe: amọ́lára;amọ́lára|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|obìrin atún ọkọ̀ ṣe: amọ́lára|pílọ́bà
	👩🏼‍🔧;obìrin atún ọkọ̀ ṣe: amọ́lára díẹ̀;amọ́lára díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|obìrin atún ọkọ̀ ṣe: amọ́lára díẹ̀|pílọ́bà
	👩🏽‍🔧;obìrin atún ọkọ̀ ṣe: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|obìrin atún ọkọ̀ ṣe: amọ́láwọ̀ díẹ̀|pílọ́bà
	👩🏾‍🔧;obìrin atún ọkọ̀ ṣe: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|obìrin atún ọkọ̀ ṣe: adúláwọ̀ díẹ̀|pílọ́bà
	👩🏿‍🔧;obìrin atún ọkọ̀ ṣe: adúláwọ̀;adúláwọ̀|atún ináṣe|atún ọkọ̀ ṣe|ẹni ṣòwò|obìrin|obìrin atún ọkọ̀ ṣe|obìrin atún ọkọ̀ ṣe: adúláwọ̀|pílọ́bà
🧑‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà;ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|ṣíṣe àtòpọ̀ ẹ̀rọ
	🧑🏻‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́lára;amọ́lára|ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́lára|ṣíṣe àtòpọ̀ ẹ̀rọ
	🧑🏼‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́lára díẹ̀;amọ́lára díẹ̀|ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́lára díẹ̀|ṣíṣe àtòpọ̀ ẹ̀rọ
	🧑🏽‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: amọ́láwọ̀ díẹ̀|ṣíṣe àtòpọ̀ ẹ̀rọ
	🧑🏾‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: adúláwọ̀ díẹ̀|ṣíṣe àtòpọ̀ ẹ̀rọ
	🧑🏿‍🏭;òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: adúláwọ̀;adúláwọ̀|ilé-iṣẹ́ aṣàgbéjáde ọjà|nípa àkójọpọ̀ àwọn ilé-iṣẹ́ oníṣòwò ọjà|òṣìṣẹ́|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà|òṣìṣẹ́ ilé-iṣẹ́ aṣàgbéjáde ọjà: adúláwọ̀|ṣíṣe àtòpọ̀ ẹ̀rọ
👨‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́;ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|òṣìṣẹ́
	👨🏻‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára;amọ́lára|ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára|òṣìṣẹ́
	👨🏼‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára díẹ̀|òṣìṣẹ́
	👨🏽‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: amọ́láwọ̀ díẹ̀|òṣìṣẹ́
	👨🏾‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀ díẹ̀|òṣìṣẹ́
	👨🏿‍🏭;ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀;adúláwọ̀|ilé iṣẹ́|ìpéjọpọ̀|ọkùnrin|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́|ọkùnrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀|òṣìṣẹ́
👩‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́;ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|òṣìṣẹ́
	👩🏻‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára;amọ́lára|ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára|òṣìṣẹ́
	👩🏼‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára díẹ̀;amọ́lára díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́lára díẹ̀|òṣìṣẹ́
	👩🏽‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|obìrin òṣìṣẹ́ ilé-iṣẹ́: amọ́láwọ̀ díẹ̀|òṣìṣẹ́
	👩🏾‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|obìrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀ díẹ̀|òṣìṣẹ́
	👩🏿‍🏭;obìrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀;adúláwọ̀|ilé iṣẹ́|ìpéjọpọ̀|obìrin|obìrin òṣìṣẹ́ ilé-iṣẹ́|obìrin òṣìṣẹ́ ilé-iṣẹ́: adúláwọ̀|òṣìṣẹ́
🧑‍💼;òṣìṣẹ́ ọ́fíìsì;ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
	🧑🏻‍💼;òṣìṣẹ́ ọ́fíìsì: amọ́lára;amọ́lára|ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|òṣìṣẹ́ ọ́fíìsì: amọ́lára|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
	🧑🏼‍💼;òṣìṣẹ́ ọ́fíìsì: amọ́lára díẹ̀;amọ́lára díẹ̀|ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|òṣìṣẹ́ ọ́fíìsì: amọ́lára díẹ̀|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
	🧑🏽‍💼;òṣìṣẹ́ ọ́fíìsì: amọ́láwọ̀ díẹ̀;amọ́láwọ̀ díẹ̀|ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|òṣìṣẹ́ ọ́fíìsì: amọ́láwọ̀ díẹ̀|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
	🧑🏾‍💼;òṣìṣẹ́ ọ́fíìsì: adúláwọ̀ díẹ̀;adúláwọ̀ díẹ̀|ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|òṣìṣẹ́ ọ́fíìsì: adúláwọ̀ díẹ̀|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
	🧑🏿‍💼;òṣìṣẹ́ ọ́fíìsì: adúláwọ̀;adúláwọ̀|ayàwòrán ilé-kíkọ́|okòwò|olùṣàkóso|òṣìṣẹ́ ọ́fíìsì|òṣìṣẹ́ ọ́fíìsì: adúláwọ̀|tó jẹ mọ́ iṣẹ́ ọ́fíìsì
👨‍💼;ọkùnrin òṣìṣẹ́ ọ́físì;alábóòjútò|iṣẹ́ ọ́físì|ọ́físì|ọkùnrin|ọkùnrin òṣìṣẹ́ ọ́físì|olùyà ilé|òwò
	👨🏻‍💼;ọkùnrin òṣìṣẹ́ ọ́físì: amọ́lára;alábóòjútò|amọ́lára|iṣẹ́ ọ́físì|ọ́físì|ọkùnrin|ọkùnrin òṣìṣẹ́ ọ́físì|ọkùnrin òṣìṣẹ́ ọ́físì: amọ́lára|olùyà ilé|òwò
	👨🏼‍💼;ọkùnrin òṣìṣẹ́ ọ́físì: amọ́lára díẹ̀;alábóòjútò|amọ́lára díẹ̀|iṣẹ́ ọ́físì|ọ́físì|ọkùnrin|ọkùnrin òṣìṣẹ́ ọ́físì|ọkùnrin òṣìṣẹ́ ọ́físì: amọ́lára díẹ̀|olùyà ilé|òwò
