# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	👩🏾‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
	👩🏿‍🦼‍➡️;мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат;атайын мүмкүндүк|аял|дөңгөлөктүү отургуч|мотору бар дөңгөлөктүү отургучтагы аял|мотору бар дөңгөлөктүү отургучтагы аял оңду карап турат
🧑‍🦽;кол менен иштеген кресло;кол менен иштеген кресло
	🧑🏻‍🦽;кол менен иштеген кресло: акжуумал;акжуумал|кол менен иштеген кресло|кол менен иштеген кресло: акжуумал
	🧑🏼‍🦽;кол менен иштеген кресло: буудай жүздүү;буудай жүздүү|кол менен иштеген кресло|кол менен иштеген кресло: буудай жүздүү
	🧑🏽‍🦽;кол менен иштеген кресло: орточо;кол менен иштеген кресло|кол менен иштеген кресло: орточо|орточо
	🧑🏾‍🦽;кол менен иштеген кресло: кара тору;кара тору|кол менен иштеген кресло|кол менен иштеген кресло: кара тору
	🧑🏿‍🦽;кол менен иштеген кресло: кара;кара|кол менен иштеген кресло|кол менен иштеген кресло: кара
🧑‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
	🧑🏻‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
	🧑🏼‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
	🧑🏽‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
	🧑🏾‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
	🧑🏿‍🦽‍➡️;кол менен иштеген кресло оңду карап турат;кол менен иштеген кресло|кол менен иштеген кресло оңду карап турат
👨‍🦽;кол менен дөңгөлөктүү отургучтагы киши;атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|кол менен дөңгөлөктүү отургучтагы киши
	👨🏻‍🦽;кол менен дөңгөлөктүү отургучтагы киши: акжуумал;акжуумал|атайын мүмкүндүк|дөңгөлөктүү отургуч|киши|кол менен дөңгөлөктүү отургучтагы киши|кол менен дөңгөлөктүү отургучтагы киши: акжуумал
