# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	🤞🏻;chakatasqa rukanakuna: chuya qara niraq;chakatasqa rukanakuna|chakatasqa rukanakuna: chuya qara niraq|chakatay|chuya qara niraq|maki|rukana|suerte
	🤞🏼;chakatasqa rukanakuna: tunpa chuya qara niraq;chakatasqa rukanakuna|chakatasqa rukanakuna: tunpa chuya qara niraq|chakatay|maki|rukana|suerte|tunpa chuya qara niraq
	🤞🏽;chakatasqa rukanakuna: tunpa qara niraq;chakatasqa rukanakuna|chakatasqa rukanakuna: tunpa qara niraq|chakatay|maki|rukana|suerte|tunpa qara niraq
	🤞🏾;chakatasqa rukanakuna: tunpa yana qara niraq;chakatasqa rukanakuna|chakatasqa rukanakuna: tunpa yana qara niraq|chakatay|maki|rukana|suerte|tunpa yana qara niraq
	🤞🏿;chakatasqa rukanakuna: yana qara niraq;chakatasqa rukanakuna|chakatasqa rukanakuna: yana qara niraq|chakatay|maki|rukana|suerte|yana qara niraq
🫰;maki chakatasqa iskay rukanawan;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu
	🫰🏻;maki chakatasqa iskay rukanawan: chuya qara niraq;chanin|chuya qara niraq|maki chakatasqa iskay rukanawan|maki chakatasqa iskay rukanawan: chuya qara niraq|munay|qullqi|sunqu
	🫰🏼;maki chakatasqa iskay rukanawan: tunpa chuya qara niraq;chanin|maki chakatasqa iskay rukanawan|maki chakatasqa iskay rukanawan: tunpa chuya qara niraq|munay|qullqi|sunqu|tunpa chuya qara niraq
	🫰🏽;maki chakatasqa iskay rukanawan: tunpa qara niraq;chanin|maki chakatasqa iskay rukanawan|maki chakatasqa iskay rukanawan: tunpa qara niraq|munay|qullqi|sunqu|tunpa qara niraq
	🫰🏾;maki chakatasqa iskay rukanawan: tunpa yana qara niraq;chanin|maki chakatasqa iskay rukanawan|maki chakatasqa iskay rukanawan: tunpa yana qara niraq|munay|qullqi|sunqu|tunpa yana qara niraq
	🫰🏿;maki chakatasqa iskay rukanawan: yana qara niraq;chanin|maki chakatasqa iskay rukanawan|maki chakatasqa iskay rukanawan: yana qara niraq|munay|qullqi|sunqu|yana qara niraq
🤟;munanki yupi;ILY|maki|munanki yupi
	🤟🏻;munanki yupi: chuya qara niraq;chuya qara niraq|ILY|maki|munanki yupi|munanki yupi: chuya qara niraq
	🤟🏼;munanki yupi: tunpa chuya qara niraq;ILY|maki|munanki yupi|munanki yupi: tunpa chuya qara niraq|tunpa chuya qara niraq
	🤟🏽;munanki yupi: tunpa qara niraq;ILY|maki|munanki yupi|munanki yupi: tunpa qara niraq|tunpa qara niraq
	🤟🏾;munanki yupi: tunpa yana qara niraq;ILY|maki|munanki yupi|munanki yupi: tunpa yana qara niraq|tunpa yana qara niraq
	🤟🏿;munanki yupi: yana qara niraq;ILY|maki|munanki yupi|munanki yupi: yana qara niraq|yana qara niraq
🤘;waqrakuna unancha;maki|rock|rukana|waqrakuna|waqrakuna unancha
	🤘🏻;waqrakuna unancha: chuya qara niraq;chuya qara niraq|maki|rock|rukana|waqrakuna|waqrakuna unancha|waqrakuna unancha: chuya qara niraq
	🤘🏼;waqrakuna unancha: tunpa chuya qara niraq;maki|rock|rukana|tunpa chuya qara niraq|waqrakuna|waqrakuna unancha|waqrakuna unancha: tunpa chuya qara niraq
	🤘🏽;waqrakuna unancha: tunpa qara niraq;maki|rock|rukana|tunpa qara niraq|waqrakuna|waqrakuna unancha|waqrakuna unancha: tunpa qara niraq
	🤘🏾;waqrakuna unancha: tunpa yana qara niraq;maki|rock|rukana|tunpa yana qara niraq|waqrakuna|waqrakuna unancha|waqrakuna unancha: tunpa yana qara niraq
	🤘🏿;waqrakuna unancha: yana qara niraq;maki|rock|rukana|waqrakuna|waqrakuna unancha|waqrakuna unancha: yana qara niraq|yana qara niraq
🤙;waqyawani maki;maki|qayana|waqyawani maki
	🤙🏻;waqyawani maki: chuya qara niraq;chuya qara niraq|maki|qayana|waqyawani maki|waqyawani maki: chuya qara niraq
	🤙🏼;waqyawani maki: tunpa chuya qara niraq;maki|qayana|tunpa chuya qara niraq|waqyawani maki|waqyawani maki: tunpa chuya qara niraq
	🤙🏽;waqyawani maki: tunpa qara niraq;maki|qayana|tunpa qara niraq|waqyawani maki|waqyawani maki: tunpa qara niraq
	🤙🏾;waqyawani maki: tunpa yana qara niraq;maki|qayana|tunpa yana qara niraq|waqyawani maki|waqyawani maki: tunpa yana qara niraq
	🤙🏿;waqyawani maki: yana qara niraq;maki|qayana|waqyawani maki|waqyawani maki: yana qara niraq|yana qara niraq
👈;tʼupsi rukʼanawan lluqʼiman chimpuy;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy
	👈🏻;tʼupsi rukʼanawan lluqʼiman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy|tʼupsi rukʼanawan lluqʼiman chimpuy: chuya qara niraq
	👈🏼;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa chuya qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy|tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa chuya qara niraq
	👈🏽;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy|tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa qara niraq
	👈🏾;tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan lluqʼiman chimpuy|tʼupsi rukʼanawan lluqʼiman chimpuy: tunpa yana qara niraq
	👈🏿;tʼupsi rukʼanawan lluqʼiman chimpuy: yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan lluqʼiman chimpuy|tʼupsi rukʼanawan lluqʼiman chimpuy: yana qara niraq|yana qara niraq
👉;tʼupsi rukʼanawan pañaman chimpuy;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy
	👉🏻;tʼupsi rukʼanawan pañaman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy|tʼupsi rukʼanawan pañaman chimpuy: chuya qara niraq
	👉🏼;tʼupsi rukʼanawan pañaman chimpuy: tunpa chuya qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan pañaman chimpuy|tʼupsi rukʼanawan pañaman chimpuy: tunpa chuya qara niraq
	👉🏽;tʼupsi rukʼanawan pañaman chimpuy: tunpa qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan pañaman chimpuy|tʼupsi rukʼanawan pañaman chimpuy: tunpa qara niraq
	👉🏾;tʼupsi rukʼanawan pañaman chimpuy: tunpa yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan pañaman chimpuy|tʼupsi rukʼanawan pañaman chimpuy: tunpa yana qara niraq
	👉🏿;tʼupsi rukʼanawan pañaman chimpuy: yana qara niraq;chimpuy|indice|jinchʼa|maki|rukana|tʼupsi rukʼanawan pañaman chimpuy|tʼupsi rukʼanawan pañaman chimpuy: yana qara niraq|yana qara niraq
👆;tʼupsi rukʼanawan hanaqman chimpuy;chimpuy|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy
	👆🏻;tʼupsi rukʼanawan hanaqman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy|tʼupsi rukʼanawan hanaqman chimpuy: chuya qara niraq
	👆🏼;tʼupsi rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan hanaqman chimpuy|tʼupsi rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq
	👆🏽;tʼupsi rukʼanawan hanaqman chimpuy: tunpa qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan hanaqman chimpuy|tʼupsi rukʼanawan hanaqman chimpuy: tunpa qara niraq
	👆🏾;tʼupsi rukʼanawan hanaqman chimpuy: tunpa yana qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan hanaqman chimpuy|tʼupsi rukʼanawan hanaqman chimpuy: tunpa yana qara niraq
	👆🏿;tʼupsi rukʼanawan hanaqman chimpuy: yana qara niraq;chimpuy|hanaq|jinchʼa|maki|rukana|tʼupsi rukʼanawan hanaqman chimpuy|tʼupsi rukʼanawan hanaqman chimpuy: yana qara niraq|yana qara niraq
🖕;chawpi rukana;chawpi rukana|maki|rukana
	🖕🏻;chawpi rukana: chuya qara niraq;chawpi rukana|chawpi rukana: chuya qara niraq|chuya qara niraq|maki|rukana
	🖕🏼;chawpi rukana: tunpa chuya qara niraq;chawpi rukana|chawpi rukana: tunpa chuya qara niraq|maki|rukana|tunpa chuya qara niraq
	🖕🏽;chawpi rukana: tunpa qara niraq;chawpi rukana|chawpi rukana: tunpa qara niraq|maki|rukana|tunpa qara niraq
	🖕🏾;chawpi rukana: tunpa yana qara niraq;chawpi rukana|chawpi rukana: tunpa yana qara niraq|maki|rukana|tunpa yana qara niraq
	🖕🏿;chawpi rukana: yana qara niraq;chawpi rukana|chawpi rukana: yana qara niraq|maki|rukana|yana qara niraq
👇;tʼupsi rukʼanawan uranman chimpuy;chimpuy|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|uran
	👇🏻;tʼupsi rukʼanawan uranman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|tʼupsi rukʼanawan uranman chimpuy: chuya qara niraq|uran
	👇🏼;tʼupsi rukʼanawan uranman chimpuy: tunpa chuya qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa chuya qara niraq|tʼupsi rukʼanawan uranman chimpuy|tʼupsi rukʼanawan uranman chimpuy: tunpa chuya qara niraq|uran
	👇🏽;tʼupsi rukʼanawan uranman chimpuy: tunpa qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa qara niraq|tʼupsi rukʼanawan uranman chimpuy|tʼupsi rukʼanawan uranman chimpuy: tunpa qara niraq|uran
	👇🏾;tʼupsi rukʼanawan uranman chimpuy: tunpa yana qara niraq;chimpuy|jinchʼa|maki|rukana|tunpa yana qara niraq|tʼupsi rukʼanawan uranman chimpuy|tʼupsi rukʼanawan uranman chimpuy: tunpa yana qara niraq|uran
	👇🏿;tʼupsi rukʼanawan uranman chimpuy: yana qara niraq;chimpuy|jinchʼa|maki|rukana|tʼupsi rukʼanawan uranman chimpuy|tʼupsi rukʼanawan uranman chimpuy: yana qara niraq|uran|yana qara niraq
☝️;rukʼanawan hanaqman chimpuy;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy
	☝🏻;rukʼanawan hanaqman chimpuy: chuya qara niraq;chimpuy|chuya qara niraq|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|rukʼanawan hanaqman chimpuy: chuya qara niraq
	☝🏼;rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|rukʼanawan hanaqman chimpuy: tunpa chuya qara niraq|tunpa chuya qara niraq
	☝🏽;rukʼanawan hanaqman chimpuy: tunpa qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|rukʼanawan hanaqman chimpuy: tunpa qara niraq|tunpa qara niraq
	☝🏾;rukʼanawan hanaqman chimpuy: tunpa yana qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|rukʼanawan hanaqman chimpuy: tunpa yana qara niraq|tunpa yana qara niraq
	☝🏿;rukʼanawan hanaqman chimpuy: yana qara niraq;chimpuy|hanaq|indice|maki|rukana|rukʼanawan hanaqman chimpuy|rukʼanawan hanaqman chimpuy: yana qara niraq|yana qara niraq
🫵;indice rukanawan chimpusqa qawaqman;chimpuy|indice rukanawan chimpusqa qawaqman|qam
	🫵🏻;indice rukanawan chimpusqa qawaqman: chuya qara niraq;chimpuy|chuya qara niraq|indice rukanawan chimpusqa qawaqman|indice rukanawan chimpusqa qawaqman: chuya qara niraq|qam
	🫵🏼;indice rukanawan chimpusqa qawaqman: tunpa chuya qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|indice rukanawan chimpusqa qawaqman: tunpa chuya qara niraq|qam|tunpa chuya qara niraq
	🫵🏽;indice rukanawan chimpusqa qawaqman: tunpa qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|indice rukanawan chimpusqa qawaqman: tunpa qara niraq|qam|tunpa qara niraq
	🫵🏾;indice rukanawan chimpusqa qawaqman: tunpa yana qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|indice rukanawan chimpusqa qawaqman: tunpa yana qara niraq|qam|tunpa yana qara niraq
	🫵🏿;indice rukanawan chimpusqa qawaqman: yana qara niraq;chimpuy|indice rukanawan chimpusqa qawaqman|indice rukanawan chimpusqa qawaqman: yana qara niraq|qam|yana qara niraq
👍;hanaqpi rukʼana;+1|hanaq|hanaqpi rukʼana|maki|rukʼana
	👍🏻;hanaqpi rukʼana: chuya qara niraq;+1|chuya qara niraq|hanaq|hanaqpi rukʼana|hanaqpi rukʼana: chuya qara niraq|maki|rukʼana
	👍🏼;hanaqpi rukʼana: tunpa chuya qara niraq;+1|hanaq|hanaqpi rukʼana|hanaqpi rukʼana: tunpa chuya qara niraq|maki|rukʼana|tunpa chuya qara niraq
	👍🏽;hanaqpi rukʼana: tunpa qara niraq;+1|hanaq|hanaqpi rukʼana|hanaqpi rukʼana: tunpa qara niraq|maki|rukʼana|tunpa qara niraq
	👍🏾;hanaqpi rukʼana: tunpa yana qara niraq;+1|hanaq|hanaqpi rukʼana|hanaqpi rukʼana: tunpa yana qara niraq|maki|rukʼana|tunpa yana qara niraq
	👍🏿;hanaqpi rukʼana: yana qara niraq;+1|hanaq|hanaqpi rukʼana|hanaqpi rukʼana: yana qara niraq|maki|rukʼana|yana qara niraq
👎;uranpi rukʼana;-1|maki|rukʼana|uran|uranpi rukʼana
	👎🏻;uranpi rukʼana: chuya qara niraq;-1|chuya qara niraq|maki|rukʼana|uran|uranpi rukʼana|uranpi rukʼana: chuya qara niraq
	👎🏼;uranpi rukʼana: tunpa chuya qara niraq;-1|maki|rukʼana|tunpa chuya qara niraq|uran|uranpi rukʼana|uranpi rukʼana: tunpa chuya qara niraq
	👎🏽;uranpi rukʼana: tunpa qara niraq;-1|maki|rukʼana|tunpa qara niraq|uran|uranpi rukʼana|uranpi rukʼana: tunpa qara niraq
	👎🏾;uranpi rukʼana: tunpa yana qara niraq;-1|maki|rukʼana|tunpa yana qara niraq|uran|uranpi rukʼana|uranpi rukʼana: tunpa yana qara niraq
	👎🏿;uranpi rukʼana: yana qara niraq;-1|maki|rukʼana|uran|uranpi rukʼana|uranpi rukʼana: yana qara niraq|yana qara niraq
✊;juqharisqa saqma;ch’uqmi|juqharisqa saqma|maki|pipuyasqa|saqma
	✊🏻;juqharisqa saqma: chuya qara niraq;ch’uqmi|chuya qara niraq|juqharisqa saqma|juqharisqa saqma: chuya qara niraq|maki|pipuyasqa|saqma
	✊🏼;juqharisqa saqma: tunpa chuya qara niraq;ch’uqmi|juqharisqa saqma|juqharisqa saqma: tunpa chuya qara niraq|maki|pipuyasqa|saqma|tunpa chuya qara niraq
	✊🏽;juqharisqa saqma: tunpa qara niraq;ch’uqmi|juqharisqa saqma|juqharisqa saqma: tunpa qara niraq|maki|pipuyasqa|saqma|tunpa qara niraq
	✊🏾;juqharisqa saqma: tunpa yana qara niraq;ch’uqmi|juqharisqa saqma|juqharisqa saqma: tunpa yana qara niraq|maki|pipuyasqa|saqma|tunpa yana qara niraq
	✊🏿;juqharisqa saqma: yana qara niraq;ch’uqmi|juqharisqa saqma|juqharisqa saqma: yana qara niraq|maki|pipuyasqa|saqma|yana qara niraq
👊;saqma unancha;ch’uqmi|juqharisqa saqma|maki|saqma unancha
	👊🏻;saqma unancha: chuya qara niraq;ch’uqmi|chuya qara niraq|juqharisqa saqma|maki|saqma unancha|saqma unancha: chuya qara niraq
	👊🏼;saqma unancha: tunpa chuya qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|saqma unancha: tunpa chuya qara niraq|tunpa chuya qara niraq
	👊🏽;saqma unancha: tunpa qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|saqma unancha: tunpa qara niraq|tunpa qara niraq
	👊🏾;saqma unancha: tunpa yana qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|saqma unancha: tunpa yana qara niraq|tunpa yana qara niraq
	👊🏿;saqma unancha: yana qara niraq;ch’uqmi|juqharisqa saqma|maki|saqma unancha|saqma unancha: yana qara niraq|yana qara niraq
🤛;lluqʼi saqma;lluq’iman|lluqʼi saqma|saqma
	🤛🏻;lluqʼi saqma: chuya qara niraq;chuya qara niraq|lluq’iman|lluqʼi saqma|lluqʼi saqma: chuya qara niraq|saqma
	🤛🏼;lluqʼi saqma: tunpa chuya qara niraq;lluq’iman|lluqʼi saqma|lluqʼi saqma: tunpa chuya qara niraq|saqma|tunpa chuya qara niraq
	🤛🏽;lluqʼi saqma: tunpa qara niraq;lluq’iman|lluqʼi saqma|lluqʼi saqma: tunpa qara niraq|saqma|tunpa qara niraq
	🤛🏾;lluqʼi saqma: tunpa yana qara niraq;lluq’iman|lluqʼi saqma|lluqʼi saqma: tunpa yana qara niraq|saqma|tunpa yana qara niraq
	🤛🏿;lluqʼi saqma: yana qara niraq;lluq’iman|lluqʼi saqma|lluqʼi saqma: yana qara niraq|saqma|yana qara niraq
🤜;paña saqma;paña saqma|pañaman|saqma
	🤜🏻;paña saqma: chuya qara niraq;chuya qara niraq|paña saqma|paña saqma: chuya qara niraq|pañaman|saqma
	🤜🏼;paña saqma: tunpa chuya qara niraq;paña saqma|paña saqma: tunpa chuya qara niraq|pañaman|saqma|tunpa chuya qara niraq
	🤜🏽;paña saqma: tunpa qara niraq;paña saqma|paña saqma: tunpa qara niraq|pañaman|saqma|tunpa qara niraq
	🤜🏾;paña saqma: tunpa yana qara niraq;paña saqma|paña saqma: tunpa yana qara niraq|pañaman|saqma|tunpa yana qara niraq
	🤜🏿;paña saqma: yana qara niraq;paña saqma|paña saqma: yana qara niraq|pañaman|saqma|yana qara niraq
👏;jayllisqa makikuna;jayllisqa makikuna|jaylliy|maki
	👏🏻;jayllisqa makikuna: chuya qara niraq;chuya qara niraq|jayllisqa makikuna|jayllisqa makikuna: chuya qara niraq|jaylliy|maki
	👏🏼;jayllisqa makikuna: tunpa chuya qara niraq;jayllisqa makikuna|jayllisqa makikuna: tunpa chuya qara niraq|jaylliy|maki|tunpa chuya qara niraq
	👏🏽;jayllisqa makikuna: tunpa qara niraq;jayllisqa makikuna|jayllisqa makikuna: tunpa qara niraq|jaylliy|maki|tunpa qara niraq
	👏🏾;jayllisqa makikuna: tunpa yana qara niraq;jayllisqa makikuna|jayllisqa makikuna: tunpa yana qara niraq|jaylliy|maki|tunpa yana qara niraq
	👏🏿;jayllisqa makikuna: yana qara niraq;jayllisqa makikuna|jayllisqa makikuna: yana qara niraq|jaylliy|maki|yana qara niraq
🙌;juqharisqa makikuna;achhalay|gesto|juqharisqa|juqharisqa makikuna|maki|raymi
	🙌🏻;juqharisqa makikuna: chuya qara niraq;achhalay|chuya qara niraq|gesto|juqharisqa|juqharisqa makikuna|juqharisqa makikuna: chuya qara niraq|maki|raymi
	🙌🏼;juqharisqa makikuna: tunpa chuya qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|juqharisqa makikuna: tunpa chuya qara niraq|maki|raymi|tunpa chuya qara niraq
	🙌🏽;juqharisqa makikuna: tunpa qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|juqharisqa makikuna: tunpa qara niraq|maki|raymi|tunpa qara niraq
	🙌🏾;juqharisqa makikuna: tunpa yana qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|juqharisqa makikuna: tunpa yana qara niraq|maki|raymi|tunpa yana qara niraq
	🙌🏿;juqharisqa makikuna: yana qara niraq;achhalay|gesto|juqharisqa|juqharisqa makikuna|juqharisqa makikuna: yana qara niraq|maki|raymi|yana qara niraq
🫶;sunqu makikunawan;munay|sunqu makikunawan
	🫶🏻;sunqu makikunawan: chuya qara niraq;chuya qara niraq|munay|sunqu makikunawan|sunqu makikunawan: chuya qara niraq
	🫶🏼;sunqu makikunawan: tunpa chuya qara niraq;munay|sunqu makikunawan|sunqu makikunawan: tunpa chuya qara niraq|tunpa chuya qara niraq
	🫶🏽;sunqu makikunawan: tunpa qara niraq;munay|sunqu makikunawan|sunqu makikunawan: tunpa qara niraq|tunpa qara niraq
	🫶🏾;sunqu makikunawan: tunpa yana qara niraq;munay|sunqu makikunawan|sunqu makikunawan: tunpa yana qara niraq|tunpa yana qara niraq
	🫶🏿;sunqu makikunawan: yana qara niraq;munay|sunqu makikunawan|sunqu makikunawan: yana qara niraq|yana qara niraq
👐;kichasqa makikuna;kichasqa makikuna|kichay|maki
	👐🏻;kichasqa makikuna: chuya qara niraq;chuya qara niraq|kichasqa makikuna|kichasqa makikuna: chuya qara niraq|kichay|maki
	👐🏼;kichasqa makikuna: tunpa chuya qara niraq;kichasqa makikuna|kichasqa makikuna: tunpa chuya qara niraq|kichay|maki|tunpa chuya qara niraq
	👐🏽;kichasqa makikuna: tunpa qara niraq;kichasqa makikuna|kichasqa makikuna: tunpa qara niraq|kichay|maki|tunpa qara niraq
	👐🏾;kichasqa makikuna: tunpa yana qara niraq;kichasqa makikuna|kichasqa makikuna: tunpa yana qara niraq|kichay|maki|tunpa yana qara niraq
	👐🏿;kichasqa makikuna: yana qara niraq;kichasqa makikuna|kichasqa makikuna: yana qara niraq|kichay|maki|yana qara niraq
🤲;makikunawan plegaria unancha;makikunawan plegaria unancha|plegaria
	🤲🏻;makikunawan plegaria unancha: chuya qara niraq;chuya qara niraq|makikunawan plegaria unancha|makikunawan plegaria unancha: chuya qara niraq|plegaria
	🤲🏼;makikunawan plegaria unancha: tunpa chuya qara niraq;makikunawan plegaria unancha|makikunawan plegaria unancha: tunpa chuya qara niraq|plegaria|tunpa chuya qara niraq
	🤲🏽;makikunawan plegaria unancha: tunpa qara niraq;makikunawan plegaria unancha|makikunawan plegaria unancha: tunpa qara niraq|plegaria|tunpa qara niraq
	🤲🏾;makikunawan plegaria unancha: tunpa yana qara niraq;makikunawan plegaria unancha|makikunawan plegaria unancha: tunpa yana qara niraq|plegaria|tunpa yana qara niraq
	🤲🏿;makikunawan plegaria unancha: yana qara niraq;makikunawan plegaria unancha|makikunawan plegaria unancha: yana qara niraq|plegaria|yana qara niraq
🤝;pipuyasqa makikunapura;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makukunapura|uyniy
	🤝🏻;pipuyasqa makikunapura: chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: chuya qara niraq|pipuyasqa makukunapura|uyniy
	🤝🏼;pipuyasqa makikunapura: tunpa chuya qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: tunpa chuya qara niraq|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🤝🏽;pipuyasqa makikunapura: tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: tunpa qara niraq|pipuyasqa makukunapura|tunpa qara niraq|uyniy
	🤝🏾;pipuyasqa makikunapura: tunpa yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: tunpa yana qara niraq|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy
	🤝🏿;pipuyasqa makikunapura: yana qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: yana qara niraq|pipuyasqa makukunapura|uyniy|yana qara niraq
	🫱🏻‍🫲🏼;pipuyasqa makikunapura: chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: chuya qara niraq, tunpa chuya qara niraq|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🫱🏻‍🫲🏽;pipuyasqa makikunapura: chuya qara niraq, tunpa qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: chuya qara niraq, tunpa qara niraq|pipuyasqa makukunapura|tunpa qara niraq|uyniy
	🫱🏻‍🫲🏾;pipuyasqa makikunapura: chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: chuya qara niraq, tunpa yana qara niraq|pipuyasqa makukunapura|tunpa yana qara niraq|uyniy
	🫱🏻‍🫲🏿;pipuyasqa makikunapura: chuya qara niraq, yana qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: chuya qara niraq, yana qara niraq|pipuyasqa makukunapura|uyniy|yana qara niraq
	🫱🏼‍🫲🏻;pipuyasqa makikunapura: tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: tunpa chuya qara niraq, chuya qara niraq|pipuyasqa makukunapura|tunpa chuya qara niraq|uyniy
	🫱🏼‍🫲🏽;pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa qara niraq;huñunakuy|maki|pipuyasqa|pipuyasqa makikunapura|pipuyasqa makikunapura: tunpa chuya qara niraq, tunpa qara niraq|pipuyasqa makukunapura|tunpa chuya qara niraq|tunpa qara niraq|uyniy
