# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	👨🏼‍🐰‍👨🏻;runa quwi ninrikunawan: tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tusuq
	👨🏼‍🐰‍👨🏽;runa quwi ninrikunawan: tunpa chuya qara niraq, tunpa qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tunpa qara niraq|tusuq
	👨🏼‍🐰‍👨🏾;runa quwi ninrikunawan: tunpa chuya qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tunpa yana qara niraq|tusuq
	👨🏼‍🐰‍👨🏿;runa quwi ninrikunawan: tunpa chuya qara niraq, yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tusuq|yana qara niraq
	👨🏽‍🐰‍👨🏻;runa quwi ninrikunawan: tunpa qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa qara niraq|tusuq
	👨🏽‍🐰‍👨🏼;runa quwi ninrikunawan: tunpa qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tunpa qara niraq|tusuq
	👨🏽‍🐰‍👨🏾;runa quwi ninrikunawan: tunpa qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa qara niraq|tunpa yana qara niraq|tusuq
	👨🏽‍🐰‍👨🏿;runa quwi ninrikunawan: tunpa qara niraq, yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa qara niraq|tusuq|yana qara niraq
	👨🏾‍🐰‍👨🏻;runa quwi ninrikunawan: tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa yana qara niraq|tusuq
	👨🏾‍🐰‍👨🏼;runa quwi ninrikunawan: tunpa yana qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tunpa yana qara niraq|tusuq
	👨🏾‍🐰‍👨🏽;runa quwi ninrikunawan: tunpa yana qara niraq, tunpa qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa qara niraq|tunpa yana qara niraq|tusuq
	👨🏾‍🐰‍👨🏿;runa quwi ninrikunawan: tunpa yana qara niraq, yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa yana qara niraq|tusuq|yana qara niraq
	👨🏿‍🐰‍👨🏻;runa quwi ninrikunawan: yana qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tusuq|yana qara niraq
	👨🏿‍🐰‍👨🏼;runa quwi ninrikunawan: yana qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa chuya qara niraq|tusuq|yana qara niraq
	👨🏿‍🐰‍👨🏽;runa quwi ninrikunawan: yana qara niraq, tunpa qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa qara niraq|tusuq|yana qara niraq
	👨🏿‍🐰‍👨🏾;runa quwi ninrikunawan: yana qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|runa quwi ninrikunawan|runakuna|tunpa yana qara niraq|tusuq|yana qara niraq
	👩🏻‍🐰‍👩🏼;warmi quwi ninrikunawan: chuya qara niraq, tunpa chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa chuya qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏻‍🐰‍👩🏽;warmi quwi ninrikunawan: chuya qara niraq, tunpa qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏻‍🐰‍👩🏾;warmi quwi ninrikunawan: chuya qara niraq, tunpa yana qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏻‍🐰‍👩🏿;warmi quwi ninrikunawan: chuya qara niraq, yana qara niraq;chuya qara niraq|quwi ninri|raymichkan|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏼‍🐰‍👩🏻;warmi quwi ninrikunawan: tunpa chuya qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa chuya qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏼‍🐰‍👩🏽;warmi quwi ninrikunawan: tunpa chuya qara niraq, tunpa qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tunpa qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏼‍🐰‍👩🏾;warmi quwi ninrikunawan: tunpa chuya qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏼‍🐰‍👩🏿;warmi quwi ninrikunawan: tunpa chuya qara niraq, yana qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏽‍🐰‍👩🏻;warmi quwi ninrikunawan: tunpa qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏽‍🐰‍👩🏼;warmi quwi ninrikunawan: tunpa qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tunpa qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏽‍🐰‍👩🏾;warmi quwi ninrikunawan: tunpa qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|tunpa qara niraq|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏽‍🐰‍👩🏿;warmi quwi ninrikunawan: tunpa qara niraq, yana qara niraq;quwi ninri|raymichkan|tunpa qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏾‍🐰‍👩🏻;warmi quwi ninrikunawan: tunpa yana qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏾‍🐰‍👩🏼;warmi quwi ninrikunawan: tunpa yana qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏾‍🐰‍👩🏽;warmi quwi ninrikunawan: tunpa yana qara niraq, tunpa qara niraq;quwi ninri|raymichkan|tunpa qara niraq|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan
	👩🏾‍🐰‍👩🏿;warmi quwi ninrikunawan: tunpa yana qara niraq, yana qara niraq;quwi ninri|raymichkan|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏿‍🐰‍👩🏻;warmi quwi ninrikunawan: yana qara niraq, chuya qara niraq;chuya qara niraq|quwi ninri|raymichkan|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏿‍🐰‍👩🏼;warmi quwi ninrikunawan: yana qara niraq, tunpa chuya qara niraq;quwi ninri|raymichkan|tunpa chuya qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏿‍🐰‍👩🏽;warmi quwi ninrikunawan: yana qara niraq, tunpa qara niraq;quwi ninri|raymichkan|tunpa qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
	👩🏿‍🐰‍👩🏾;warmi quwi ninrikunawan: yana qara niraq, tunpa yana qara niraq;quwi ninri|raymichkan|tunpa yana qara niraq|tusuq|warmi quwi ninrikunawan|yana qara niraq
🧖;runa wapsi wasipi;runa wapsi wasipi|sauna|wapsi wasi
	🧖🏻;runa wapsi wasipi: chuya qara niraq;chuya qara niraq|runa wapsi wasipi|sauna|wapsi wasi
	🧖🏼;runa wapsi wasipi: tunpa chuya qara niraq;runa wapsi wasipi|sauna|tunpa chuya qara niraq|wapsi wasi
	🧖🏽;runa wapsi wasipi: tunpa qara niraq;runa wapsi wasipi|sauna|tunpa qara niraq|wapsi wasi
	🧖🏾;runa wapsi wasipi: tunpa yana qara niraq;runa wapsi wasipi|sauna|tunpa yana qara niraq|wapsi wasi
	🧖🏿;runa wapsi wasipi: yana qara niraq;runa wapsi wasipi|sauna|wapsi wasi|yana qara niraq
🧖‍♂️;tata wapsi wasipi;sauna|tata wapsi wasipi|wapsi wasi
	🧖🏻‍♂️;tata wapsi wasipi: chuya qara niraq;chuya qara niraq|sauna|tata wapsi wasipi|wapsi wasi
	🧖🏼‍♂️;tata wapsi wasipi: tunpa chuya qara niraq;sauna|tata wapsi wasipi|tunpa chuya qara niraq|wapsi wasi
	🧖🏽‍♂️;tata wapsi wasipi: tunpa qara niraq;sauna|tata wapsi wasipi|tunpa qara niraq|wapsi wasi
	🧖🏾‍♂️;tata wapsi wasipi: tunpa yana qara niraq;sauna|tata wapsi wasipi|tunpa yana qara niraq|wapsi wasi
	🧖🏿‍♂️;tata wapsi wasipi: yana qara niraq;sauna|tata wapsi wasipi|wapsi wasi|yana qara niraq
🧖‍♀️;warmi wapsi wasipi;sauna|wapsi wasi|warmi wapsi wasipi
	🧖🏻‍♀️;warmi wapsi wasipi: chuya qara niraq;chuya qara niraq|sauna|wapsi wasi|warmi wapsi wasipi
	🧖🏼‍♀️;warmi wapsi wasipi: tunpa chuya qara niraq;sauna|tunpa chuya qara niraq|wapsi wasi|warmi wapsi wasipi
	🧖🏽‍♀️;warmi wapsi wasipi: tunpa qara niraq;sauna|tunpa qara niraq|wapsi wasi|warmi wapsi wasipi
	🧖🏾‍♀️;warmi wapsi wasipi: tunpa yana qara niraq;sauna|tunpa yana qara niraq|wapsi wasi|warmi wapsi wasipi
	🧖🏿‍♀️;warmi wapsi wasipi: yana qara niraq;sauna|wapsi wasi|warmi wapsi wasipi|yana qara niraq
🧗;wichaq runa;wichaq runa|wichay
	🧗🏻;wichaq runa: chuya qara niraq;chuya qara niraq|wichaq runa|wichay
	🧗🏼;wichaq runa: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq runa|wichay
	🧗🏽;wichaq runa: tunpa qara niraq;tunpa qara niraq|wichaq runa|wichay
	🧗🏾;wichaq runa: tunpa yana qara niraq;tunpa yana qara niraq|wichaq runa|wichay
	🧗🏿;wichaq runa: yana qara niraq;wichaq runa|wichay|yana qara niraq
🧗‍♂️;wichaq tata;wichaq tata|wichay
	🧗🏻‍♂️;wichaq tata: chuya qara niraq;chuya qara niraq|wichaq tata|wichay
	🧗🏼‍♂️;wichaq tata: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq tata|wichay
	🧗🏽‍♂️;wichaq tata: tunpa qara niraq;tunpa qara niraq|wichaq tata|wichay
	🧗🏾‍♂️;wichaq tata: tunpa yana qara niraq;tunpa yana qara niraq|wichaq tata|wichay
	🧗🏿‍♂️;wichaq tata: yana qara niraq;wichaq tata|wichay|yana qara niraq
🧗‍♀️;wichaq warmi;wichaq warmi|wichay
	🧗🏻‍♀️;wichaq warmi: chuya qara niraq;chuya qara niraq|wichaq warmi|wichay
	🧗🏼‍♀️;wichaq warmi: tunpa chuya qara niraq;tunpa chuya qara niraq|wichaq warmi|wichay
	🧗🏽‍♀️;wichaq warmi: tunpa qara niraq;tunpa qara niraq|wichaq warmi|wichay
	🧗🏾‍♀️;wichaq warmi: tunpa yana qara niraq;tunpa yana qara niraq|wichaq warmi|wichay
	🧗🏿‍♀️;wichaq warmi: yana qara niraq;wichaq warmi|wichay|yana qara niraq
🤺;runa esgrimapi;esgrima|esgrimista|espada|runa esgrimapi
🏇;atipanaku kawallukuna;atipanaku|atipanaku kawallukuna|jockey|kawallu
	🏇🏻;atipanaku kawallukuna: chuya qara niraq;atipanaku|atipanaku kawallukuna|chuya qara niraq|jockey|kawallu
	🏇🏼;atipanaku kawallukuna: tunpa chuya qara niraq;atipanaku|atipanaku kawallukuna|jockey|kawallu|tunpa chuya qara niraq
	🏇🏽;atipanaku kawallukuna: tunpa qara niraq;atipanaku|atipanaku kawallukuna|jockey|kawallu|tunpa qara niraq
	🏇🏾;atipanaku kawallukuna: tunpa yana qara niraq;atipanaku|atipanaku kawallukuna|jockey|kawallu|tunpa yana qara niraq
	🏇🏿;atipanaku kawallukuna: yana qara niraq;atipanaku|atipanaku kawallukuna|jockey|kawallu|yana qara niraq
⛷️;esquiador;esqui|esquiador|rit’i
🏂;snowboarder;esqui|rit’i|snowboarder
	🏂🏻;snowboarder: chuya qara niraq;chuya qara niraq|esqui|rit’i|snowboarder
	🏂🏼;snowboarder: tunpa chuya qara niraq;esqui|rit’i|snowboarder|tunpa chuya qara niraq
	🏂🏽;snowboarder: tunpa qara niraq;esqui|rit’i|snowboarder|tunpa qara niraq
	🏂🏾;snowboarder: tunpa yana qara niraq;esqui|rit’i|snowboarder|tunpa yana qara niraq
	🏂🏿;snowboarder: yana qara niraq;esqui|rit’i|snowboarder|yana qara niraq
🏌️;golfista;golf|golfista|p’ulu
	🏌🏻;golfista: chuya qara niraq;chuya qara niraq|golf|golfista|p’ulu
	🏌🏼;golfista: tunpa chuya qara niraq;golf|golfista|p’ulu|tunpa chuya qara niraq
	🏌🏽;golfista: tunpa qara niraq;golf|golfista|p’ulu|tunpa qara niraq
	🏌🏾;golfista: tunpa yana qara niraq;golf|golfista|p’ulu|tunpa yana qara niraq
	🏌🏿;golfista: yana qara niraq;golf|golfista|p’ulu|yana qara niraq
🏌️‍♂️;tata golfista;golf|tata|tata golfista
	🏌🏻‍♂️;tata golfista: chuya qara niraq;chuya qara niraq|golf|tata|tata golfista
	🏌🏼‍♂️;tata golfista: tunpa chuya qara niraq;golf|tata|tata golfista|tunpa chuya qara niraq
	🏌🏽‍♂️;tata golfista: tunpa qara niraq;golf|tata|tata golfista|tunpa qara niraq
	🏌🏾‍♂️;tata golfista: tunpa yana qara niraq;golf|tata|tata golfista|tunpa yana qara niraq
	🏌🏿‍♂️;tata golfista: yana qara niraq;golf|tata|tata golfista|yana qara niraq
🏌️‍♀️;warmi golfista;golf|warmi|warmi golfista
	🏌🏻‍♀️;warmi golfista: chuya qara niraq;chuya qara niraq|golf|warmi|warmi golfista
	🏌🏼‍♀️;warmi golfista: tunpa chuya qara niraq;golf|tunpa chuya qara niraq|warmi|warmi golfista
	🏌🏽‍♀️;warmi golfista: tunpa qara niraq;golf|tunpa qara niraq|warmi|warmi golfista
	🏌🏾‍♀️;warmi golfista: tunpa yana qara niraq;golf|tunpa yana qara niraq|warmi|warmi golfista
	🏌🏿‍♀️;warmi golfista: yana qara niraq;golf|warmi|warmi golfista|yana qara niraq
🏄;runa surfeando;runa surfeando|surfear
	🏄🏻;runa surfeando: chuya qara niraq;chuya qara niraq|runa surfeando|surfear
	🏄🏼;runa surfeando: tunpa chuya qara niraq;runa surfeando|surfear|tunpa chuya qara niraq
	🏄🏽;runa surfeando: tunpa qara niraq;runa surfeando|surfear|tunpa qara niraq
	🏄🏾;runa surfeando: tunpa yana qara niraq;runa surfeando|surfear|tunpa yana qara niraq
	🏄🏿;runa surfeando: yana qara niraq;runa surfeando|surfear|yana qara niraq
🏄‍♂️;tata surfeando;surfear|tata|tata surfeando
	🏄🏻‍♂️;tata surfeando: chuya qara niraq;chuya qara niraq|surfear|tata|tata surfeando
	🏄🏼‍♂️;tata surfeando: tunpa chuya qara niraq;surfear|tata|tata surfeando|tunpa chuya qara niraq
	🏄🏽‍♂️;tata surfeando: tunpa qara niraq;surfear|tata|tata surfeando|tunpa qara niraq
	🏄🏾‍♂️;tata surfeando: tunpa yana qara niraq;surfear|tata|tata surfeando|tunpa yana qara niraq
	🏄🏿‍♂️;tata surfeando: yana qara niraq;surfear|tata|tata surfeando|yana qara niraq
🏄‍♀️;warmi surfeando;surfear|warmi|warmi surfeando
	🏄🏻‍♀️;warmi surfeando: chuya qara niraq;chuya qara niraq|surfear|warmi|warmi surfeando
	🏄🏼‍♀️;warmi surfeando: tunpa chuya qara niraq;surfear|tunpa chuya qara niraq|warmi|warmi surfeando
	🏄🏽‍♀️;warmi surfeando: tunpa qara niraq;surfear|tunpa qara niraq|warmi|warmi surfeando
	🏄🏾‍♀️;warmi surfeando: tunpa yana qara niraq;surfear|tunpa yana qara niraq|warmi|warmi surfeando
	🏄🏿‍♀️;warmi surfeando: yana qara niraq;surfear|warmi|warmi surfeando|yana qara niraq
🚣;runa wampʼu rmoswan;runa wampʼu rmoswan|wamp’u|wamp’u remoswan
	🚣🏻;runa wampʼu rmoswan: chuya qara niraq;chuya qara niraq|runa wampʼu rmoswan|wamp’u|wamp’u remoswan
	🚣🏼;runa wampʼu rmoswan: tunpa chuya qara niraq;runa wampʼu rmoswan|tunpa chuya qara niraq|wamp’u|wamp’u remoswan
	🚣🏽;runa wampʼu rmoswan: tunpa qara niraq;runa wampʼu rmoswan|tunpa qara niraq|wamp’u|wamp’u remoswan
	🚣🏾;runa wampʼu rmoswan: tunpa yana qara niraq;runa wampʼu rmoswan|tunpa yana qara niraq|wamp’u|wamp’u remoswan
	🚣🏿;runa wampʼu rmoswan: yana qara niraq;runa wampʼu rmoswan|wamp’u|wamp’u remoswan|yana qara niraq
🚣‍♂️;runa wampʼu remoswan;runa wampʼu remoswan|tata|wamp’u|wamp’u remoswan
	🚣🏻‍♂️;runa wampʼu remoswan: chuya qara niraq;chuya qara niraq|runa wampʼu remoswan|tata|wamp’u|wamp’u remoswan
	🚣🏼‍♂️;runa wampʼu remoswan: tunpa chuya qara niraq;runa wampʼu remoswan|tata|tunpa chuya qara niraq|wamp’u|wamp’u remoswan
	🚣🏽‍♂️;runa wampʼu remoswan: tunpa qara niraq;runa wampʼu remoswan|tata|tunpa qara niraq|wamp’u|wamp’u remoswan
	🚣🏾‍♂️;runa wampʼu remoswan: tunpa yana qara niraq;runa wampʼu remoswan|tata|tunpa yana qara niraq|wamp’u|wamp’u remoswan
	🚣🏿‍♂️;runa wampʼu remoswan: yana qara niraq;runa wampʼu remoswan|tata|wamp’u|wamp’u remoswan|yana qara niraq
🚣‍♀️;warmi wampʼu remoswan;wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏻‍♀️;warmi wampʼu remoswan: chuya qara niraq;chuya qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏼‍♀️;warmi wampʼu remoswan: tunpa chuya qara niraq;tunpa chuya qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏽‍♀️;warmi wampʼu remoswan: tunpa qara niraq;tunpa qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏾‍♀️;warmi wampʼu remoswan: tunpa yana qara niraq;tunpa yana qara niraq|wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan
	🚣🏿‍♀️;warmi wampʼu remoswan: yana qara niraq;wamp’u|wamp’u remoswan|warmi|warmi wampʼu remoswan|yana qara niraq
🏊;runa waytʼachkan;runa waytʼachkan|wayt’ay
	🏊🏻;runa waytʼachkan: chuya qara niraq;chuya qara niraq|runa waytʼachkan|wayt’ay
	🏊🏼;runa waytʼachkan: tunpa chuya qara niraq;runa waytʼachkan|tunpa chuya qara niraq|wayt’ay
	🏊🏽;runa waytʼachkan: tunpa qara niraq;runa waytʼachkan|tunpa qara niraq|wayt’ay
	🏊🏾;runa waytʼachkan: tunpa yana qara niraq;runa waytʼachkan|tunpa yana qara niraq|wayt’ay
	🏊🏿;runa waytʼachkan: yana qara niraq;runa waytʼachkan|wayt’ay|yana qara niraq
🏊‍♂️;tata waytachkan;tata|tata waytachkan|wayt’ay
	🏊🏻‍♂️;tata waytachkan: chuya qara niraq;chuya qara niraq|tata|tata waytachkan|wayt’ay
	🏊🏼‍♂️;tata waytachkan: tunpa chuya qara niraq;tata|tata waytachkan|tunpa chuya qara niraq|wayt’ay
	🏊🏽‍♂️;tata waytachkan: tunpa qara niraq;tata|tata waytachkan|tunpa qara niraq|wayt’ay
	🏊🏾‍♂️;tata waytachkan: tunpa yana qara niraq;tata|tata waytachkan|tunpa yana qara niraq|wayt’ay
	🏊🏿‍♂️;tata waytachkan: yana qara niraq;tata|tata waytachkan|wayt’ay|yana qara niraq
🏊‍♀️;warmi waytachkan;warmi|warmi waytachkan|wayt’ay
	🏊🏻‍♀️;warmi waytachkan: chuya qara niraq;chuya qara niraq|warmi|warmi waytachkan|wayt’ay
	🏊🏼‍♀️;warmi waytachkan: tunpa chuya qara niraq;tunpa chuya qara niraq|warmi|warmi waytachkan|wayt’ay
	🏊🏽‍♀️;warmi waytachkan: tunpa qara niraq;tunpa qara niraq|warmi|warmi waytachkan|wayt’ay
	🏊🏾‍♀️;warmi waytachkan: tunpa yana qara niraq;tunpa yana qara niraq|warmi|warmi waytachkan|wayt’ay
	🏊🏿‍♀️;warmi waytachkan: yana qara niraq;warmi|warmi waytachkan|wayt’ay|yana qara niraq
⛹️;runa p’uluta chuqapachkan;p’ulu|runa p’uluta chuqapachkan
	⛹🏻;runa p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|runa p’uluta chuqapachkan
	⛹🏼;runa p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|runa p’uluta chuqapachkan|tunpa chuya qara niraq
	⛹🏽;runa p’uluta chuqapachkan: tunpa qara niraq;p’ulu|runa p’uluta chuqapachkan|tunpa qara niraq
	⛹🏾;runa p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|runa p’uluta chuqapachkan|tunpa yana qara niraq
	⛹🏿;runa p’uluta chuqapachkan: yana qara niraq;p’ulu|runa p’uluta chuqapachkan|yana qara niraq
⛹️‍♂️;tata p’uluta chuqapachkan;p’ulu|tata|tata p’uluta chuqapachkan
	⛹🏻‍♂️;tata p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|tata|tata p’uluta chuqapachkan
	⛹🏼‍♂️;tata p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tunpa chuya qara niraq
	⛹🏽‍♂️;tata p’uluta chuqapachkan: tunpa qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tunpa qara niraq
	⛹🏾‍♂️;tata p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|tunpa yana qara niraq
	⛹🏿‍♂️;tata p’uluta chuqapachkan: yana qara niraq;p’ulu|tata|tata p’uluta chuqapachkan|yana qara niraq
⛹️‍♀️;warmi p’uluta chuqapachkan;p’ulu|warmi|warmi p’uluta chuqapachkan
	⛹🏻‍♀️;warmi p’uluta chuqapachkan: chuya qara niraq;chuya qara niraq|p’ulu|warmi|warmi p’uluta chuqapachkan
	⛹🏼‍♀️;warmi p’uluta chuqapachkan: tunpa chuya qara niraq;p’ulu|tunpa chuya qara niraq|warmi|warmi p’uluta chuqapachkan
	⛹🏽‍♀️;warmi p’uluta chuqapachkan: tunpa qara niraq;p’ulu|tunpa qara niraq|warmi|warmi p’uluta chuqapachkan
	⛹🏾‍♀️;warmi p’uluta chuqapachkan: tunpa yana qara niraq;p’ulu|tunpa yana qara niraq|warmi|warmi p’uluta chuqapachkan
	⛹🏿‍♀️;warmi p’uluta chuqapachkan: yana qara niraq;p’ulu|warmi|warmi p’uluta chuqapachkan|yana qara niraq
🏋️;runa llasayninkunata jatarichichkan;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan
	🏋🏻;runa llasayninkunata jatarichichkan: chuya qara niraq;chuya qara niraq|jatarichiy|llasaynin|runa llasayninkunata jatarichichkan
	🏋🏼;runa llasayninkunata jatarichichkan: tunpa chuya qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|tunpa chuya qara niraq
	🏋🏽;runa llasayninkunata jatarichichkan: tunpa qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|tunpa qara niraq
	🏋🏾;runa llasayninkunata jatarichichkan: tunpa yana qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|tunpa yana qara niraq
	🏋🏿;runa llasayninkunata jatarichichkan: yana qara niraq;jatarichiy|llasaynin|runa llasayninkunata jatarichichkan|yana qara niraq
🏋️‍♂️;tata sayayninkunata jatarichichkan;sayaynin jatarichiy|tata|tata sayayninkunata jatarichichkan
