# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;kusisqa uya;kusi|kusisqa uya|uya
	✌🏿;yalli maki: yana qara niraq;maki|v|yalli|yana qara niraq
🤞;chakatasqa rukanakuna;chakatasqa rukanakuna|chakatay|maki|rukana|suerte
	🤞🏻;chakatasqa rukanakuna: chuya qara niraq;chakatasqa rukanakuna|chakatay|chuya qara niraq|maki|rukana|suerte
	🤞🏼;chakatasqa rukanakuna: tunpa chuya qara niraq;chakatasqa rukanakuna|chakatay|maki|rukana|suerte|tunpa chuya qara niraq
	🤞🏽;chakatasqa rukanakuna: tunpa qara niraq;chakatasqa rukanakuna|chakatay|maki|rukana|suerte|tunpa qara niraq
	🤞🏾;chakatasqa rukanakuna: tunpa yana qara niraq;chakatasqa rukanakuna|chakatay|maki|rukana|suerte|tunpa yana qara niraq
	🤞🏿;chakatasqa rukanakuna: yana qara niraq;chakatasqa rukanakuna|chakatay|maki|rukana|suerte|yana qara niraq
🫰;maki chakatasqa iskay rukanawan;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu
	🫰🏻;maki chakatasqa iskay rukanawan: chuya qara niraq;chanin|chuya qara niraq|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu
	🫰🏼;maki chakatasqa iskay rukanawan: tunpa chuya qara niraq;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu|tunpa chuya qara niraq
	🫰🏽;maki chakatasqa iskay rukanawan: tunpa qara niraq;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu|tunpa qara niraq
	🫰🏾;maki chakatasqa iskay rukanawan: tunpa yana qara niraq;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu|tunpa yana qara niraq
	🫰🏿;maki chakatasqa iskay rukanawan: yana qara niraq;chanin|maki chakatasqa iskay rukanawan|munay|qullqi|sunqu|yana qara niraq
🤟;munanki yupi;ILY|maki|munanki yupi
	🤟🏻;munanki yupi: chuya qara niraq;chuya qara niraq|ILY|maki|munanki yupi
	🤟🏼;munanki yupi: tunpa chuya qara niraq;ILY|maki|munanki yupi|tunpa chuya qara niraq
	🤟🏽;munanki yupi: tunpa qara niraq;ILY|maki|munanki yupi|tunpa qara niraq
	🤟🏾;munanki yupi: tunpa yana qara niraq;ILY|maki|munanki yupi|tunpa yana qara niraq
