# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	🤞🏻;faraha gudban; Alla bari: jidh fudud;Alla bari|faraha gudban|faraha isdhaafay|farta|gacanta|iskutallaab|jidh fudud|nasiib
	🤞🏼;faraha gudban; Alla bari: jidh fudud oo dhexe;Alla bari|faraha gudban|faraha isdhaafay|farta|gacanta|iskutallaab|jidh fudud oo dhexe|nasiib
	🤞🏽;faraha gudban; Alla bari: jidh nooc dhexe;Alla bari|faraha gudban|faraha isdhaafay|farta|gacanta|iskutallaab|jidh nooc dhexe|nasiib
	🤞🏾;faraha gudban; Alla bari: jidh nooc madaw oo dhexe;Alla bari|faraha gudban|faraha isdhaafay|farta|gacanta|iskutallaab|jidh nooc madaw oo dhexe|nasiib
	🤞🏿;faraha gudban; Alla bari: jidh madaw;Alla bari|faraha gudban|faraha isdhaafay|farta|gacanta|iskutallaab|jidh madaw|nasiib
🫰;gacanta farta caarada iyo suulka la dhaafay;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|lacag|qaali|qalbi
	🫰🏻;gacanta farta caarada iyo suulka la dhaafay: jidh fudud;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|jidh fudud|lacag|qaali|qalbi
	🫰🏼;gacanta farta caarada iyo suulka la dhaafay: jidh fudud oo dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|jidh fudud oo dhexe|lacag|qaali|qalbi
	🫰🏽;gacanta farta caarada iyo suulka la dhaafay: jidh nooc dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|jidh nooc dhexe|lacag|qaali|qalbi
	🫰🏾;gacanta farta caarada iyo suulka la dhaafay: jidh nooc madaw oo dhexe;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|jidh nooc madaw oo dhexe|lacag|qaali|qalbi
	🫰🏿;gacanta farta caarada iyo suulka la dhaafay: jidh madaw;dhaqso|gacanta farta caarada iyo suulka la dhaafay|jacayl|jidh madaw|lacag|qaali|qalbi
🤟;meedaarta waan ku jecelahay ah;gacan|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏻;meedaarta waan ku jecelahay ah: jidh fudud;gacan|jidh fudud|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏼;meedaarta waan ku jecelahay ah: jidh fudud oo dhexe;gacan|jidh fudud oo dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏽;meedaarta waan ku jecelahay ah: jidh nooc dhexe;gacan|jidh nooc dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏾;meedaarta waan ku jecelahay ah: jidh nooc madaw oo dhexe;gacan|jidh nooc madaw oo dhexe|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
	🤟🏿;meedaarta waan ku jecelahay ah: jidh madaw;gacan|jidh madaw|meedaarta waan ku jecelahay|meedaarta waan ku jecelahay ah|WKJ
🤘;calaamadda geesaha;calaamadda geesaha|far|gacan|geesaha|qirid
	🤘🏻;calaamadda geesaha: jidh fudud;calaamadda geesaha|far|gacan|geesaha|jidh fudud|qirid
	🤘🏼;calaamadda geesaha: jidh fudud oo dhexe;calaamadda geesaha|far|gacan|geesaha|jidh fudud oo dhexe|qirid
	🤘🏽;calaamadda geesaha: jidh nooc dhexe;calaamadda geesaha|far|gacan|geesaha|jidh nooc dhexe|qirid
	🤘🏾;calaamadda geesaha: jidh nooc madaw oo dhexe;calaamadda geesaha|far|gacan|geesaha|jidh nooc madaw oo dhexe|qirid
	🤘🏿;calaamadda geesaha: jidh madaw;calaamadda geesaha|far|gacan|geesaha|jidh madaw|qirid
🤙;gacanta ah isoo wac;gacan|gacanta ah isoo wac|isoo wac|wac
	🤙🏻;gacanta ah isoo wac: jidh fudud;gacan|gacanta ah isoo wac|isoo wac|jidh fudud|wac
	🤙🏼;gacanta ah isoo wac: jidh fudud oo dhexe;gacan|gacanta ah isoo wac|isoo wac|jidh fudud oo dhexe|wac
	🤙🏽;gacanta ah isoo wac: jidh nooc dhexe;gacan|gacanta ah isoo wac|isoo wac|jidh nooc dhexe|wac
	🤙🏾;gacanta ah isoo wac: jidh nooc madaw oo dhexe;gacan|gacanta ah isoo wac|isoo wac|jidh nooc madaw oo dhexe|wac
	🤙🏿;gacanta ah isoo wac: jidh madaw;gacan|gacanta ah isoo wac|isoo wac|jidh madaw|wac
👈;Gacan tilmaamaysa bidix;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|tilmaame gadaal u jeeda bidix|tusmada
	👈🏻;Gacan tilmaamaysa bidix: jidh fudud;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|jidh fudud|tilmaame gadaal u jeeda bidix|tusmada
	👈🏼;Gacan tilmaamaysa bidix: jidh fudud oo dhexe;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|jidh fudud oo dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏽;Gacan tilmaamaysa bidix: jidh nooc dhexe;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|jidh nooc dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏾;Gacan tilmaamaysa bidix: jidh nooc madaw oo dhexe;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|jidh nooc madaw oo dhexe|tilmaame gadaal u jeeda bidix|tusmada
	👈🏿;Gacan tilmaamaysa bidix: jidh madaw;dhibic|farta|Gacan tilmaamaysa bidix|gacanta|gadaal|jidh madaw|tilmaame gadaal u jeeda bidix|tusmada
👉;gacan tilmaamaysa midig;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏻;gacan tilmaamaysa midig: jidh fudud;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|jidh fudud|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏼;gacan tilmaamaysa midig: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|jidh fudud oo dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏽;gacan tilmaamaysa midig: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|jidh nooc dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏾;gacan tilmaamaysa midig: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|jidh nooc madaw oo dhexe|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
	👉🏿;gacan tilmaamaysa midig: jidh madaw;dhibic|farta|gacan tilmaamaysa midig|gacanta|gacanta gadaal|jidh madaw|tusaha gadaal u jeeda oo tilmaamaya midig|tusmada
👆;gacan tilmaamaysa kor;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏻;gacan tilmaamaysa kor: jidh fudud;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|jidh fudud|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏼;gacan tilmaamaysa kor: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|jidh fudud oo dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏽;gacan tilmaamaysa kor: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|jidh nooc dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏾;gacan tilmaamaysa kor: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|jidh nooc madaw oo dhexe|kor|tilmaame gadaal u jeeda oo tilmaamaya
	👆🏿;gacan tilmaamaysa kor: jidh madaw;dhibic|farta|gacan tilmaamaysa kor|gacanta|gadaal gacanta|jidh madaw|kor|tilmaame gadaal u jeeda oo tilmaamaya
🖕;farta dhexe;far|farta dhexe|gacan
	🖕🏻;farta dhexe: jidh fudud;far|farta dhexe|gacan|jidh fudud
	🖕🏼;farta dhexe: jidh fudud oo dhexe;far|farta dhexe|gacan|jidh fudud oo dhexe
	🖕🏽;farta dhexe: jidh nooc dhexe;far|farta dhexe|gacan|jidh nooc dhexe
	🖕🏾;farta dhexe: jidh nooc madaw oo dhexe;far|farta dhexe|gacan|jidh nooc madaw oo dhexe
	🖕🏿;farta dhexe: jidh madaw;far|farta dhexe|gacan|jidh madaw
👇;gacan tilmaamaysa hoos;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏻;gacan tilmaamaysa hoos: jidh fudud;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|jidh fudud|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏼;gacan tilmaamaysa hoos: jidh fudud oo dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|jidh fudud oo dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏽;gacan tilmaamaysa hoos: jidh nooc dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|jidh nooc dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏾;gacan tilmaamaysa hoos: jidh nooc madaw oo dhexe;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|jidh nooc madaw oo dhexe|tilmaame gadaal u jeeda hoos u tilmaamaya
	👇🏿;gacan tilmaamaysa hoos: jidh madaw;dhibic|farta|gacan tilmaamaysa hoos|gacanta|gadaal gacanta|hoos|jidh madaw|tilmaame gadaal u jeeda hoos u tilmaamaya
☝️;farta muujinta tilmaamaysa kor;far|farta muujinta tilmaamaysa kor|gacan|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏻;farta muujinta tilmaamaysa kor: jidh fudud;far|farta muujinta tilmaamaysa kor|gacan|jidh fudud|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏼;farta muujinta tilmaamaysa kor: jidh fudud oo dhexe;far|farta muujinta tilmaamaysa kor|gacan|jidh fudud oo dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏽;farta muujinta tilmaamaysa kor: jidh nooc dhexe;far|farta muujinta tilmaamaysa kor|gacan|jidh nooc dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏾;farta muujinta tilmaamaysa kor: jidh nooc madaw oo dhexe;far|farta muujinta tilmaamaysa kor|gacan|jidh nooc madaw oo dhexe|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
	☝🏿;farta muujinta tilmaamaysa kor: jidh madaw;far|farta muujinta tilmaamaysa kor|gacan|jidh madaw|kor|muujinta|muujinta tilmaamaysa kor|tilmaam
🫵;tusmo tilmaame daawadaha;adiga|tilmaam|tusmo tilmaame daawadaha
	🫵🏻;tusmo tilmaame daawadaha: jidh fudud;adiga|jidh fudud|tilmaam|tusmo tilmaame daawadaha
	🫵🏼;tusmo tilmaame daawadaha: jidh fudud oo dhexe;adiga|jidh fudud oo dhexe|tilmaam|tusmo tilmaame daawadaha
	🫵🏽;tusmo tilmaame daawadaha: jidh nooc dhexe;adiga|jidh nooc dhexe|tilmaam|tusmo tilmaame daawadaha
	🫵🏾;tusmo tilmaame daawadaha: jidh nooc madaw oo dhexe;adiga|jidh nooc madaw oo dhexe|tilmaam|tusmo tilmaame daawadaha
	🫵🏿;tusmo tilmaame daawadaha: jidh madaw;adiga|jidh madaw|tilmaam|tusmo tilmaame daawadaha
👍;suulka kor;+1|gacan|kor|suul|suulka kor
	👍🏻;suulka kor: jidh fudud;+1|gacan|jidh fudud|kor|suul|suulka kor
	👍🏼;suulka kor: jidh fudud oo dhexe;+1|gacan|jidh fudud oo dhexe|kor|suul|suulka kor
	👍🏽;suulka kor: jidh nooc dhexe;+1|gacan|jidh nooc dhexe|kor|suul|suulka kor
	👍🏾;suulka kor: jidh nooc madaw oo dhexe;+1|gacan|jidh nooc madaw oo dhexe|kor|suul|suulka kor
	👍🏿;suulka kor: jidh madaw;+1|gacan|jidh madaw|kor|suul|suulka kor
👎;suulka hoos;-1|gacan|hoos|suul|suulka hoos
	👎🏻;suulka hoos: jidh fudud;-1|gacan|hoos|jidh fudud|suul|suulka hoos
	👎🏼;suulka hoos: jidh fudud oo dhexe;-1|gacan|hoos|jidh fudud oo dhexe|suul|suulka hoos
	👎🏽;suulka hoos: jidh nooc dhexe;-1|gacan|hoos|jidh nooc dhexe|suul|suulka hoos
	👎🏾;suulka hoos: jidh nooc madaw oo dhexe;-1|gacan|hoos|jidh nooc madaw oo dhexe|suul|suulka hoos
	👎🏿;suulka hoos: jidh madaw;-1|gacan|hoos|jidh madaw|suul|suulka hoos
✊;kor u qaadid tantoonyo (feer);feer tuur|gacan|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏻;kor u qaadid tantoonyo (feer): jidh fudud;feer tuur|gacan|jidh fudud|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏼;kor u qaadid tantoonyo (feer): jidh fudud oo dhexe;feer tuur|gacan|jidh fudud oo dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏽;kor u qaadid tantoonyo (feer): jidh nooc dhexe;feer tuur|gacan|jidh nooc dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏾;kor u qaadid tantoonyo (feer): jidh nooc madaw oo dhexe;feer tuur|gacan|jidh nooc madaw oo dhexe|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
	✊🏿;kor u qaadid tantoonyo (feer): jidh madaw;feer tuur|gacan|jidh madaw|kor u qaadid tantoonyo|kor u qaadid tantoonyo (feer)|tantoonyo|xannibay
👊;feer soo socoto;feer soo socoto|feer tuuris|gacan|tantoonyo|tantoonyo soo socota|xanniban
	👊🏻;feer soo socoto: jidh fudud;feer soo socoto|feer tuuris|gacan|jidh fudud|tantoonyo|tantoonyo soo socota|xanniban
	👊🏼;feer soo socoto: jidh fudud oo dhexe;feer soo socoto|feer tuuris|gacan|jidh fudud oo dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏽;feer soo socoto: jidh nooc dhexe;feer soo socoto|feer tuuris|gacan|jidh nooc dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏾;feer soo socoto: jidh nooc madaw oo dhexe;feer soo socoto|feer tuuris|gacan|jidh nooc madaw oo dhexe|tantoonyo|tantoonyo soo socota|xanniban
	👊🏿;feer soo socoto: jidh madaw;feer soo socoto|feer tuuris|gacan|jidh madaw|tantoonyo|tantoonyo soo socota|xanniban
🤛;feerka tilmaamaysa bidix;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix
	🤛🏻;feerka tilmaamaysa bidix: jidh fudud;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|jidh fudud
	🤛🏼;feerka tilmaamaysa bidix: jidh fudud oo dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|jidh fudud oo dhexe
	🤛🏽;feerka tilmaamaysa bidix: jidh nooc dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|jidh nooc dhexe
	🤛🏾;feerka tilmaamaysa bidix: jidh nooc madaw oo dhexe;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|jidh nooc madaw oo dhexe
	🤛🏿;feerka tilmaamaysa bidix: jidh madaw;dhanka bidix|feerka|feerka tilmaamaya bidix|feerka tilmaamaysa bidix|jidh madaw
🤜;feerka tilmaamaya midig;dhanka midig|feerka|feerka tilmaamaya midig
	🤜🏻;feerka tilmaamaya midig: jidh fudud;dhanka midig|feerka|feerka tilmaamaya midig|jidh fudud
	🤜🏼;feerka tilmaamaya midig: jidh fudud oo dhexe;dhanka midig|feerka|feerka tilmaamaya midig|jidh fudud oo dhexe
	🤜🏽;feerka tilmaamaya midig: jidh nooc dhexe;dhanka midig|feerka|feerka tilmaamaya midig|jidh nooc dhexe
	🤜🏾;feerka tilmaamaya midig: jidh nooc madaw oo dhexe;dhanka midig|feerka|feerka tilmaamaya midig|jidh nooc madaw oo dhexe
	🤜🏿;feerka tilmaamaya midig: jidh madaw;dhanka midig|feerka|feerka tilmaamaya midig|jidh madaw
👏;sacabinta gacmaha;gacan|sacab|sacabinta gacmaha
	👏🏻;sacabinta gacmaha: jidh fudud;gacan|jidh fudud|sacab|sacabinta gacmaha
	👏🏼;sacabinta gacmaha: jidh fudud oo dhexe;gacan|jidh fudud oo dhexe|sacab|sacabinta gacmaha
	👏🏽;sacabinta gacmaha: jidh nooc dhexe;gacan|jidh nooc dhexe|sacab|sacabinta gacmaha
	👏🏾;sacabinta gacmaha: jidh nooc madaw oo dhexe;gacan|jidh nooc madaw oo dhexe|sacab|sacabinta gacmaha
	👏🏿;sacabinta gacmaha: jidh madaw;gacan|jidh madaw|sacab|sacabinta gacmaha
🙌;gacmo kor u taagid;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|kor u taagid|meedaar
	🙌🏻;gacmo kor u taagid: jidh fudud;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|jidh fudud|kor u taagid|meedaar
	🙌🏼;gacmo kor u taagid: jidh fudud oo dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|jidh fudud oo dhexe|kor u taagid|meedaar
	🙌🏽;gacmo kor u taagid: jidh nooc dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|jidh nooc dhexe|kor u taagid|meedaar
	🙌🏾;gacmo kor u taagid: jidh nooc madaw oo dhexe;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|jidh nooc madaw oo dhexe|kor u taagid|meedaar
	🙌🏿;gacmo kor u taagid: jidh madaw;baraawo|dabbaaldeg|gacan|gacmo kor u taagid|jidh madaw|kor u taagid|meedaar
🫶;gacanta qalbiga;gacanta qalbiga|jacayl
	🫶🏻;gacanta qalbiga: jidh fudud;gacanta qalbiga|jacayl|jidh fudud
	🫶🏼;gacanta qalbiga: jidh fudud oo dhexe;gacanta qalbiga|jacayl|jidh fudud oo dhexe
	🫶🏽;gacanta qalbiga: jidh nooc dhexe;gacanta qalbiga|jacayl|jidh nooc dhexe
	🫶🏾;gacanta qalbiga: jidh nooc madaw oo dhexe;gacanta qalbiga|jacayl|jidh nooc madaw oo dhexe
	🫶🏿;gacanta qalbiga: jidh madaw;gacanta qalbiga|jacayl|jidh madaw
👐;gacmo furan;furan|gacan|gacmo furan
	👐🏻;gacmo furan: jidh fudud;furan|gacan|gacmo furan|jidh fudud
	👐🏼;gacmo furan: jidh fudud oo dhexe;furan|gacan|gacmo furan|jidh fudud oo dhexe
	👐🏽;gacmo furan: jidh nooc dhexe;furan|gacan|gacmo furan|jidh nooc dhexe
	👐🏾;gacmo furan: jidh nooc madaw oo dhexe;furan|gacan|gacmo furan|jidh nooc madaw oo dhexe
	👐🏿;gacmo furan: jidh madaw;furan|gacan|gacmo furan|jidh madaw
🤲;calaacalaha si wadajir ah kor loogu taaggo;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco
	🤲🏻;calaacalaha si wadajir ah kor loogu taaggo: jidh fudud;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco|jidh fudud
	🤲🏼;calaacalaha si wadajir ah kor loogu taaggo: jidh fudud oo dhexe;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco|jidh fudud oo dhexe
	🤲🏽;calaacalaha si wadajir ah kor loogu taaggo: jidh nooc dhexe;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco|jidh nooc dhexe
	🤲🏾;calaacalaha si wadajir ah kor loogu taaggo: jidh nooc madaw oo dhexe;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco|jidh nooc madaw oo dhexe
	🤲🏿;calaacalaha si wadajir ah kor loogu taaggo: jidh madaw;calaacalaha si wadajir ah kor loo taaggo|calaacalaha si wadajir ah kor loogu taaggo|duco|jidh madaw
🤝;gacan-qaadka salaanta;gacan|gacan-qaadka salaanta|heshiiska|kulan|salan
	🤝🏻;gacan-qaadka salaanta: jidh fudud;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|kulan|salan
	🤝🏼;gacan-qaadka salaanta: jidh fudud oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|kulan|salan
	🤝🏽;gacan-qaadka salaanta: jidh nooc dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh nooc dhexe|kulan|salan
	🤝🏾;gacan-qaadka salaanta: jidh nooc madaw oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh nooc madaw oo dhexe|kulan|salan
	🤝🏿;gacan-qaadka salaanta: jidh madaw;gacan|gacan-qaadka salaanta|heshiiska|jidh madaw|kulan|salan
	🫱🏻‍🫲🏼;gacan-qaadka salaanta: jidh fudud, jidh fudud oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh fudud oo dhexe|kulan|salan
	🫱🏻‍🫲🏽;gacan-qaadka salaanta: jidh fudud, jidh nooc dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh nooc dhexe|kulan|salan
	🫱🏻‍🫲🏾;gacan-qaadka salaanta: jidh fudud, jidh nooc madaw oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏻‍🫲🏿;gacan-qaadka salaanta: jidh fudud, jidh madaw;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh madaw|kulan|salan
	🫱🏼‍🫲🏻;gacan-qaadka salaanta: jidh fudud oo dhexe, jidh fudud;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh fudud oo dhexe|kulan|salan
	🫱🏼‍🫲🏽;gacan-qaadka salaanta: jidh fudud oo dhexe, jidh nooc dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh nooc dhexe|kulan|salan
	🫱🏼‍🫲🏾;gacan-qaadka salaanta: jidh fudud oo dhexe, jidh nooc madaw oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏼‍🫲🏿;gacan-qaadka salaanta: jidh fudud oo dhexe, jidh madaw;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh madaw|kulan|salan
	🫱🏽‍🫲🏻;gacan-qaadka salaanta: jidh nooc dhexe, jidh fudud;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh nooc dhexe|kulan|salan
	🫱🏽‍🫲🏼;gacan-qaadka salaanta: jidh nooc dhexe, jidh fudud oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh nooc dhexe|kulan|salan
	🫱🏽‍🫲🏾;gacan-qaadka salaanta: jidh nooc dhexe, jidh nooc madaw oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh nooc dhexe|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏽‍🫲🏿;gacan-qaadka salaanta: jidh nooc dhexe, jidh madaw;gacan|gacan-qaadka salaanta|heshiiska|jidh madaw|jidh nooc dhexe|kulan|salan
	🫱🏾‍🫲🏻;gacan-qaadka salaanta: jidh nooc madaw oo dhexe, jidh fudud;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏾‍🫲🏼;gacan-qaadka salaanta: jidh nooc madaw oo dhexe, jidh fudud oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏾‍🫲🏽;gacan-qaadka salaanta: jidh nooc madaw oo dhexe, jidh nooc dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh nooc dhexe|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏾‍🫲🏿;gacan-qaadka salaanta: jidh nooc madaw oo dhexe, jidh madaw;gacan|gacan-qaadka salaanta|heshiiska|jidh madaw|jidh nooc madaw oo dhexe|kulan|salan
	🫱🏿‍🫲🏻;gacan-qaadka salaanta: jidh madaw, jidh fudud;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud|jidh madaw|kulan|salan
	🫱🏿‍🫲🏼;gacan-qaadka salaanta: jidh madaw, jidh fudud oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh fudud oo dhexe|jidh madaw|kulan|salan
	🫱🏿‍🫲🏽;gacan-qaadka salaanta: jidh madaw, jidh nooc dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh madaw|jidh nooc dhexe|kulan|salan
	🫱🏿‍🫲🏾;gacan-qaadka salaanta: jidh madaw, jidh nooc madaw oo dhexe;gacan|gacan-qaadka salaanta|heshiiska|jidh madaw|jidh nooc madaw oo dhexe|kulan|salan
🙏;gacmo laaban;duco|fadlan|gacan|gacmo laaban|mahadsanid|weydiin
	🙏🏻;gacmo laaban: jidh fudud;duco|fadlan|gacan|gacmo laaban|jidh fudud|mahadsanid|weydiin
	🙏🏼;gacmo laaban: jidh fudud oo dhexe;duco|fadlan|gacan|gacmo laaban|jidh fudud oo dhexe|mahadsanid|weydiin
	🙏🏽;gacmo laaban: jidh nooc dhexe;duco|fadlan|gacan|gacmo laaban|jidh nooc dhexe|mahadsanid|weydiin
	🙏🏾;gacmo laaban: jidh nooc madaw oo dhexe;duco|fadlan|gacan|gacmo laaban|jidh nooc madaw oo dhexe|mahadsanid|weydiin
	🙏🏿;gacmo laaban: jidh madaw;duco|fadlan|gacan|gacmo laaban|jidh madaw|mahadsanid|weydiin
✍️;gacan wax qoraysa;gacan|gacan wax qoraysa|qor
	✍🏻;gacan wax qoraysa: jidh fudud;gacan|gacan wax qoraysa|jidh fudud|qor
	✍🏼;gacan wax qoraysa: jidh fudud oo dhexe;gacan|gacan wax qoraysa|jidh fudud oo dhexe|qor
	✍🏽;gacan wax qoraysa: jidh nooc dhexe;gacan|gacan wax qoraysa|jidh nooc dhexe|qor
	✍🏾;gacan wax qoraysa: jidh nooc madaw oo dhexe;gacan|gacan wax qoraysa|jidh nooc madaw oo dhexe|qor
	✍🏿;gacan wax qoraysa: jidh madaw;gacan|gacan wax qoraysa|jidh madaw|qor
💅;dhalaalinta ciddiyaha;ciddi|daryeel|dhalaalinta|dhalaalinta ciddiyaha|qurxinta|qurxinta ciddiyaha
	💅🏻;dhalaalinta ciddiyaha: jidh fudud;ciddi|daryeel|dhalaalinta|dhalaalinta ciddiyaha|jidh fudud|qurxinta|qurxinta ciddiyaha
	💅🏼;dhalaalinta ciddiyaha: jidh fudud oo dhexe;ciddi|daryeel|dhalaalinta|dhalaalinta ciddiyaha|jidh fudud oo dhexe|qurxinta|qurxinta ciddiyaha
