# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ᎤᏤᏣᏍᏗ ᎤᎧᏛ;ᎤᎧᏛ|ᎤᏤᏣᏍᏗ ᎤᎧᏛ|ᎤᏰᏍᎩ
	🧝🏼‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏽‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏾‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏿‍♂️;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
🧝‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏻‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	🧝🏼‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏽‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏾‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
	🧝🏿‍♀️;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ ᏴᏫ ᎢᏳᏍᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏕᎵᏛ ᎬᏗ ᎠᏛᏁᎸᏗ
🧞;ᏥᎾᏱ;ᏥᎾᏱ|ᏥᏂ
🧞‍♂️;ᎠᏍᎦᏯ ᏥᎾᏱ;ᎠᏍᎦᏯ ᏥᎾᏱ|ᏥᏂ
🧞‍♀️;ᎠᎨᏯ ᏥᎾᏱ;ᎠᎨᏯ ᏥᎾᏱ|ᏥᏂ
🧟;ᎤᏲᎱᏒ ᎤᏗᏛᏓ;ᎠᎢᏒᎢ ᎤᏲᎱᏒᎢ|ᎤᏲᎱᏒ ᎤᏗᏛᏓ|ᎤᏲᎱᏒᎯ ᏂᎨᏒᎾ
🧟‍♂️;ᎠᏍᎦᏯ ᎤᏲᎱᏒ ᎤᏗᏛᏓ;ᎠᎢᏒᎢ ᎤᏲᎱᏒᎢ|ᎠᏍᎦᏯ ᎤᏲᎱᏒ ᎤᏗᏛᏓ|ᎤᏲᎱᏒᎯ ᏂᎨᏒᎾ
🧟‍♀️;ᎠᎨᏯ ᎤᏲᎱᏒ ᎤᏗᏛᏓ;ᎠᎢᏒᎢ ᎤᏲᎱᏒᎢ|ᎠᎨᏯ ᎤᏲᎱᏒ ᎤᏗᏛᏓ|ᎤᏲᎱᏒᎯ ᏂᎨᏒᎾ
🧌;ᎦᎾᏰᎩ ᏴᏫ ᎢᏳᏍᏗ;ᎦᎾᏰᎩ|ᎦᎾᏰᎩ ᏴᏫ ᎢᏳᏍᏗ|ᎧᏃᎮᎸᏍᎩ|ᏄᎵᏍᏔᏂᏙᎸ
🫈;ᎠᏍᏖᎬᎢ ᏍᎩᎵ;ᎠᏍᏖᎬᎢ|ᎡᏆ|ᎢᎾᎨᎢ|ᎤᏔᎾ|ᏌᏍᏆᏥ|ᏰᏘ
💆;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
	💆🏻;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
	💆🏼;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎧᏛ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
	💆🏽;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
	💆🏾;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
	💆🏿;ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎾᏓᏙᏚᏍᏙᏗ|ᏴᏫ ᎠᏥᏓᏍᎪᎵᏰᏍᎬᎢ
💆‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ
	💆🏻‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	💆🏼‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎧᏛ
	💆🏽‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ
	💆🏾‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ
	💆🏿‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
💆‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ
	💆🏻‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	💆🏼‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᎧᏛ
	💆🏽‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ
	💆🏾‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᎧᏛ
	💆🏿‍♀️;ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᎪᎵᏰᏍᎬᎢ|ᎠᏓᏥᏍᎪᎵᏰᏗ|ᎤᎧᏛ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
💇;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ;ᎠᎵᏍᏙᏗ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
	💇🏻;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
	💇🏼;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
	💇🏽;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
	💇🏾;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
	💇🏿;ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎤᏬᏚᎯ|ᎧᏅᏑᎸᎢ|ᏗᏓᏍᏙᏰᏍᎩ|ᏴᏫ ᎾᏛᏁᎲ ᎠᎵᏍᏙᏰᏗ
💇‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ
	💇🏻‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	💇🏼‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	💇🏽‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	💇🏾‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	💇🏿‍♂️;ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎵᏍᏙᏗ|ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
💇‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ
	💇🏻‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
	💇🏼‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
	💇🏽‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	💇🏾‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
	💇🏿‍♀️;ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏥᏍᏙᏰᏍᎬᎢ|ᎠᎵᏍᏙᏰᏗ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🚶;ᏴᏫ ᎠᏨᏏᏰ;ᎠᏨᏏᏰ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
	🚶🏻;ᏴᏫ ᎠᏨᏏᏰ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏨᏏᏰ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
	🚶🏼;ᏴᏫ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏨᏏᏰ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
	🚶🏽;ᏴᏫ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏨᏏᏰ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
	🚶🏾;ᏴᏫ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏨᏏᏰ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
	🚶🏿;ᏴᏫ ᎠᏨᏏᏰ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏨᏏᏰ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ|ᏴᏫ ᎠᏨᏏᏰ
🚶‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏻‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏼‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏽‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏾‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏿‍♂️;ᎠᏍᎦᏯ ᎠᏨᏏᏰ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ;ᎠᏍᎦᏯ|ᎠᏍᎦᏯ ᎠᏨᏏᏰ|ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
🚶‍♀️;ᎠᎨᏯ ᎠᏨᏏᏰ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏨᏏᏰ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
	🚶🏻‍♀️;ᎠᎨᏯ ᎠᏨᏏᏰ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ;ᎠᎨᏯ|ᎠᎨᏯ ᎠᏨᏏᏰ|ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ|ᎭᏨᏏᏯ|ᏓᎳᏍᎨ
