# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ырсайган бет;бет|ырсай|ырсайган бет
	👩🏿‍🎤;аял ырчы: кара;актриса|алып баруучу|аял|кара|рок|ырчы
🧑‍🎨;сүрөтчү;сүрөтчү
	🧑🏻‍🎨;сүрөтчү: акжуумал;акжуумал|сүрөтчү
	🧑🏼‍🎨;сүрөтчү: буудай жүздүү;буудай жүздүү|сүрөтчү
	🧑🏽‍🎨;сүрөтчү: орточо;орточо|сүрөтчү
	🧑🏾‍🎨;сүрөтчү: кара тору;кара тору|сүрөтчү
	🧑🏿‍🎨;сүрөтчү: кара;кара|сүрөтчү
👨‍🎨;эркек сүрөтчү;боектор|сүрөтчү|эркек
	👨🏻‍🎨;эркек сүрөтчү: акжуумал;акжуумал|боектор|сүрөтчү|эркек
	👨🏼‍🎨;эркек сүрөтчү: буудай жүздүү;боектор|буудай жүздүү|сүрөтчү|эркек
	👨🏽‍🎨;эркек сүрөтчү: орточо;боектор|орточо|сүрөтчү|эркек
	👨🏾‍🎨;эркек сүрөтчү: кара тору;боектор|кара тору|сүрөтчү|эркек
	👨🏿‍🎨;эркек сүрөтчү: кара;боектор|кара|сүрөтчү|эркек
👩‍🎨;аял сүрөтчү;аял|боектор|сүрөтчү
	👩🏻‍🎨;аял сүрөтчү: акжуумал;акжуумал|аял|боектор|сүрөтчү
	👩🏼‍🎨;аял сүрөтчү: буудай жүздүү;аял|боектор|буудай жүздүү|сүрөтчү
	👩🏽‍🎨;аял сүрөтчү: орточо;аял|боектор|орточо|сүрөтчү
	👩🏾‍🎨;аял сүрөтчү: кара тору;аял|боектор|кара тору|сүрөтчү
	👩🏿‍🎨;аял сүрөтчү: кара;аял|боектор|кара|сүрөтчү
🧑‍✈️;пилот;пилот
	🧑🏻‍✈️;пилот: акжуумал;акжуумал|пилот
	🧑🏼‍✈️;пилот: буудай жүздүү;буудай жүздүү|пилот
	🧑🏽‍✈️;пилот: орточо;орточо|пилот
	🧑🏾‍✈️;пилот: кара тору;кара тору|пилот
	🧑🏿‍✈️;пилот: кара;кара|пилот
👨‍✈️;эркек учкуч;учак|учкуч|эркек
	👨🏻‍✈️;эркек учкуч: акжуумал;акжуумал|учак|учкуч|эркек
	👨🏼‍✈️;эркек учкуч: буудай жүздүү;буудай жүздүү|учак|учкуч|эркек
	👨🏽‍✈️;эркек учкуч: орточо;орточо|учак|учкуч|эркек
	👨🏾‍✈️;эркек учкуч: кара тору;кара тору|учак|учкуч|эркек
	👨🏿‍✈️;эркек учкуч: кара;кара|учак|учкуч|эркек
👩‍✈️;аял учкуч;аял|учак|учкуч
	👩🏻‍✈️;аял учкуч: акжуумал;акжуумал|аял|учак|учкуч
	👩🏼‍✈️;аял учкуч: буудай жүздүү;аял|буудай жүздүү|учак|учкуч
	👩🏽‍✈️;аял учкуч: орточо;аял|орточо|учак|учкуч
	👩🏾‍✈️;аял учкуч: кара тору;аял|кара тору|учак|учкуч
	👩🏿‍✈️;аял учкуч: кара;аял|кара|учак|учкуч
🧑‍🚀;космонавт;космонавт
	🧑🏻‍🚀;космонавт: акжуумал;акжуумал|космонавт
	🧑🏼‍🚀;космонавт: буудай жүздүү;буудай жүздүү|космонавт
	🧑🏽‍🚀;космонавт: орточо;космонавт|орточо
	🧑🏾‍🚀;космонавт: кара тору;кара тору|космонавт
	🧑🏿‍🚀;космонавт: кара;кара|космонавт
👨‍🚀;эркек космонавт;космонавт|ракета|эркек
	👨🏻‍🚀;эркек космонавт: акжуумал;акжуумал|космонавт|ракета|эркек
	👨🏼‍🚀;эркек космонавт: буудай жүздүү;буудай жүздүү|космонавт|ракета|эркек
	👨🏽‍🚀;эркек космонавт: орточо;космонавт|орточо|ракета|эркек
	👨🏾‍🚀;эркек космонавт: кара тору;кара тору|космонавт|ракета|эркек
	👨🏿‍🚀;эркек космонавт: кара;кара|космонавт|ракета|эркек
👩‍🚀;аял космонавт;аял|космонавт|ракета
	👩🏻‍🚀;аял космонавт: акжуумал;акжуумал|аял|космонавт|ракета
	👩🏼‍🚀;аял космонавт: буудай жүздүү;аял|буудай жүздүү|космонавт|ракета
	👩🏽‍🚀;аял космонавт: орточо;аял|космонавт|орточо|ракета
	👩🏾‍🚀;аял космонавт: кара тору;аял|кара тору|космонавт|ракета
	👩🏿‍🚀;аял космонавт: кара;аял|кара|космонавт|ракета
🧑‍🚒;өрт өчүрүүчү;өрт өчүрүүчү
	🧑🏻‍🚒;өрт өчүрүүчү: акжуумал;акжуумал|өрт өчүрүүчү
	🧑🏼‍🚒;өрт өчүрүүчү: буудай жүздүү;буудай жүздүү|өрт өчүрүүчү
	🧑🏽‍🚒;өрт өчүрүүчү: орточо;орточо|өрт өчүрүүчү
	🧑🏾‍🚒;өрт өчүрүүчү: кара тору;кара тору|өрт өчүрүүчү
	🧑🏿‍🚒;өрт өчүрүүчү: кара;кара|өрт өчүрүүчү
👨‍🚒;эркек өрт өчүргүч;өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
	👨🏻‍🚒;эркек өрт өчүргүч: акжуумал;акжуумал|өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
	👨🏼‍🚒;эркек өрт өчүргүч: буудай жүздүү;буудай жүздүү|өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
	👨🏽‍🚒;эркек өрт өчүргүч: орточо;орточо|өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
	👨🏾‍🚒;эркек өрт өчүргүч: кара тору;кара тору|өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
	👨🏿‍🚒;эркек өрт өчүргүч: кара;кара|өрт өчүргүч|өрт өчүрүүчү унаа|эркек|эркек өрт өчүргүч
👩‍🚒;аял өрт өчүргүч;аял|аял өрт өчүргүч|өрт өчүргүч|өрт өчүрүүчү унаа
	👩🏻‍🚒;аял өрт өчүргүч: акжуумал;акжуумал|аял|аял өрт өчүргүч|өрт өчүргүч|өрт өчүрүүчү унаа
