[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
	👎🏽;;-1|abajo|mano|pulgar|pulgar hacia abajo|pulgar hacia abajo: tono de piel medio|tono de piel medio
	👎🏾;;-1|abajo|mano|pulgar|pulgar hacia abajo|pulgar hacia abajo: tono de piel oscuro medio|tono de piel oscuro medio
	👎🏿;;-1|abajo|mano|pulgar|pulgar hacia abajo|pulgar hacia abajo: tono de piel oscuro|tono de piel oscuro
✊;puño levantado;cerrada|mano|piedra|puño|puño levantado
	✊🏻;puño levantado: tono de piel claro;cerrada|mano|piedra|puño|puño levantado|puño levantado: tono de piel claro|tono de piel claro
	✊🏼;puño levantado: tono de piel claro medio;cerrada|mano|piedra|puño|puño levantado|puño levantado: tono de piel claro medio|tono de piel claro medio
	✊🏽;puño levantado: tono de piel medio;cerrada|mano|piedra|puño|puño levantado|puño levantado: tono de piel medio|tono de piel medio
	✊🏾;puño levantado: tono de piel oscuro medio;cerrada|mano|piedra|puño|puño levantado|puño levantado: tono de piel oscuro medio|tono de piel oscuro medio
	✊🏿;puño levantado: tono de piel oscuro;cerrada|mano|piedra|puño|puño levantado|puño levantado: tono de piel oscuro|tono de piel oscuro
👊;↑↑↑;↑↑↑
	👊🏻;;
	👊🏼;;
	👊🏽;;
	👊🏾;;
	👊🏿;;
🤛;puño a la izquierda;izquierda|puño|puño a la izquierda
	🤛🏻;puño a la izquierda: tono de piel claro;izquierda|puño|puño a la izquierda|puño a la izquierda: tono de piel claro|tono de piel claro
	🤛🏼;puño a la izquierda: tono de piel claro medio;izquierda|puño|puño a la izquierda|puño a la izquierda: tono de piel claro medio|tono de piel claro medio
	🤛🏽;puño a la izquierda: tono de piel medio;izquierda|puño|puño a la izquierda|puño a la izquierda: tono de piel medio|tono de piel medio
	🤛🏾;puño a la izquierda: tono de piel oscuro medio;izquierda|puño|puño a la izquierda|puño a la izquierda: tono de piel oscuro medio|tono de piel oscuro medio
	🤛🏿;puño a la izquierda: tono de piel oscuro;izquierda|puño|puño a la izquierda|puño a la izquierda: tono de piel oscuro|tono de piel oscuro
🤜;puño a la derecha;derecha|puño|puño a la derecha
	🤜🏻;puño a la derecha: tono de piel claro;derecha|puño|puño a la derecha|puño a la derecha: tono de piel claro|tono de piel claro
	🤜🏼;puño a la derecha: tono de piel claro medio;derecha|puño|puño a la derecha|puño a la derecha: tono de piel claro medio|tono de piel claro medio
	🤜🏽;puño a la derecha: tono de piel medio;derecha|puño|puño a la derecha|puño a la derecha: tono de piel medio|tono de piel medio
	🤜🏾;puño a la derecha: tono de piel oscuro medio;derecha|puño|puño a la derecha|puño a la derecha: tono de piel oscuro medio|tono de piel oscuro medio
