[smileys_emotion]
😀;cara feliz;cara|cara feliz|contento|divertido|sonrisa
⏬;↑↑↑;abajo|bajar|botón|doble|flecha|triángulo doble hacia abajo
⏸️;↑↑↑;barras|botón|música|pausa|verticales
⏹️;↑↑↑;botón|cuadrado|detener|música
⏺️;↑↑↑;botón|círculo|grabar|música
⏏️;↑↑↑;botón|expulsar|música
🎦;filmar;botón|cámara|cine|filmar
🔅;↑↑↑;↑↑↑
🔆;↑↑↑;↑↑↑
📶;↑↑↑;antena|barras de cobertura|celular|cobertura|teléfono
🛜;↑↑↑;↑↑↑
📳;↑↑↑;celular|modo vibración|móvil|teléfono|vibración
📴;celular apagado;apagado|celular|móvil|teléfono
♀️;↑↑↑;↑↑↑
♂️;↑↑↑;↑↑↑
⚧️;↑↑↑;↑↑↑
✖️;↑↑↑;↑↑↑
➕;suma;↑↑↑
➖;resta;↑↑↑
➗;↑↑↑;↑↑↑
🟰;↑↑↑;↑↑↑
♾️;↑↑↑;↑↑↑
‼️;↑↑↑;↑↑↑
⁉️;↑↑↑;↑↑↑
❓;signo de interrogación;↑↑↑
❔;signo de interrogación gris;?|interrogación|interrogación blanca|pregunta|puntuación|signo de interrogación gris
❕;signo de exclamación gris;!|exclamación|exclamación blanca|puntuación|signo de exclamación gris
❗;signo de exclamación;↑↑↑
〰️;línea ondulada;guion|línea ondulada|marca de sonido largo|ondulado
💱;↑↑↑;cambio|cambio de divisa|cambio de divisas|dinero|divisa
💲;↑↑↑;↑↑↑
⚕️;↑↑↑;↑↑↑
♻️;↑↑↑;↑↑↑
⚜️;↑↑↑;↑↑↑
🔱;↑↑↑;↑↑↑
📛;identificación con nombre;identificación|identificación con nombre|nombre|prendedor
🔰;símbolo japonés de principiante;amarillo|japonés|principiante|símbolo japonés de principiante|símbolo japonés para principiante|verde
⭕;↑↑↑;↑↑↑
✅;↑↑↑;↑↑↑
☑️;casilla seleccionada;✓|casilla|casilla con marca de verificación|casilla seleccionada|marca|selección|verificación
✔️;marca de verificación grande;✓|marca|marca de verificación|marca de verificación grande|selección|verificación
❌;cruz;↑↑↑
❎;cruz con recuadro;×|botón con marca de cruz|casilla|cruz|cruz con recuadro|marca|x
➰;↑↑↑;↑↑↑
➿;↑↑↑;↑↑↑
〽️;alternancia;↑↑↑
✳️;↑↑↑;↑↑↑
✴️;↑↑↑;↑↑↑
❇️;↑↑↑;↑↑↑
©️;↑↑↑;autor|copyright|derechos|signo de derechos autor
®️;↑↑↑;marca|registrada|signo de marca registrada
™️;marca comercial;marca|marca comercial|registrada|símbolo|símbolo de marca comercial|símbolo de marca registrada
#️⃣;tecla mayus: #;tecla mayus|tecla mayus: #
*️⃣;tecla mayus: *;tecla mayus|tecla mayus: *
0️⃣;tecla mayus: 0;tecla mayus|tecla mayus: 0
1️⃣;tecla mayus: 1;tecla mayus|tecla mayus: 1
2️⃣;tecla mayus: 2;tecla mayus|tecla mayus: 2
3️⃣;tecla mayus: 3;tecla mayus|tecla mayus: 3
4️⃣;tecla mayus: 4;tecla mayus|tecla mayus: 4
5️⃣;tecla mayus: 5;tecla mayus|tecla mayus: 5
6️⃣;tecla mayus: 6;tecla mayus|tecla mayus: 6
7️⃣;tecla mayus: 7;tecla mayus|tecla mayus: 7
8️⃣;tecla mayus: 8;tecla mayus|tecla mayus: 8
9️⃣;tecla mayus: 9;tecla mayus|tecla mayus: 9
🔟;tecla mayus: 10;tecla mayus|tecla mayus: 10
🔠;↑↑↑;↑↑↑
🔡;↑↑↑;↑↑↑
🔢;↑↑↑;↑↑↑
🔣;↑↑↑;↑↑↑
🔤;↑↑↑;↑↑↑
🅰️;↑↑↑;↑↑↑
🆎;↑↑↑;↑↑↑
🅱️;↑↑↑;↑↑↑
🆑;botón CL;borrar|borrar recuadrado|botón CL|CL|cuadrado
🆒;↑↑↑;botón COOL|cool|cuadrado|genial
🆓;gratis;cuadrado|free|gratis|libre
ℹ️;↑↑↑;↑↑↑
🆔;↑↑↑;↑↑↑
Ⓜ️;letra m en un círculo;letra|letra m en un círculo|M|metro
🆕;↑↑↑;↑↑↑
🆖;↑↑↑;↑↑↑
🅾️;↑↑↑;↑↑↑
🆗;↑↑↑;↑↑↑
🅿️;estacionamiento;estacionamiento|letra|P
🆘;auxilio;auxilio|ayuda|símbolo|símbolo de socorro|socorro|sos
🆙;↑↑↑;↑↑↑
🆚;↑↑↑;↑↑↑
🈁;↑↑↑;↑↑↑
🈂️;↑↑↑;↑↑↑
🈷️;↑↑↑;↑↑↑
🈶;↑↑↑;↑↑↑
🈯;↑↑↑;↑↑↑
🉐;↑↑↑;↑↑↑
🈹;↑↑↑;↑↑↑
🈚;↑↑↑;↑↑↑
🈲;↑↑↑;↑↑↑
🉑;↑↑↑;↑↑↑
🈸;↑↑↑;↑↑↑
🈴;↑↑↑;↑↑↑
🈳;↑↑↑;↑↑↑
㊗️;↑↑↑;↑↑↑
㊙️;↑↑↑;↑↑↑
🈺;↑↑↑;↑↑↑
🈵;↑↑↑;↑↑↑
🔴;↑↑↑;↑↑↑
🟠;↑↑↑;↑↑↑
🟡;↑↑↑;↑↑↑
🟢;↑↑↑;↑↑↑
🔵;↑↑↑;↑↑↑
🟣;↑↑↑;↑↑↑
🟤;↑↑↑;↑↑↑
⚫;↑↑↑;↑↑↑
⚪;↑↑↑;↑↑↑
🟥;↑↑↑;↑↑↑
🟧;↑↑↑;↑↑↑
🟨;↑↑↑;↑↑↑
🟩;↑↑↑;↑↑↑
🟦;↑↑↑;↑↑↑
🟪;↑↑↑;↑↑↑
🟫;↑↑↑;↑↑↑
⬛;↑↑↑;↑↑↑
⬜;↑↑↑;blanco|cuadrado|grande
◼️;↑↑↑;cuadrado|mediano|negro
◻️;↑↑↑;↑↑↑
◾;↑↑↑;cuadrado|cuadrado negro mediano-pequeño|mediano|negro|pequeño
◽;↑↑↑;blanco|cuadrado|cuadrado blanco mediano-pequeño|mediano|pequeño
▪️;↑↑↑;↑↑↑
▫️;↑↑↑;↑↑↑
🔶;diamante naranja grande;anaranjado|diamante|diamante naranja grande|naranja
🔷;diamante azul grande;azul|diamante|diamante azul grande
🔸;diamante naranja pequeño;anaranjado|diamante|diamante naranja pequeño|naranja
🔹;↑↑↑;azul|diamante|diamante azul pequeño|rombo azul pequeño
🔺;↑↑↑;↑↑↑
🔻;↑↑↑;↑↑↑
💠;↑↑↑;cómic|diamante|flor|pétalo de flor|rombo con pétalo
🔘;↑↑↑;botón|botón de opción|botón de radio|radio
🔳;cuadrado negro con borde blanco;blanco|borde|botón|cuadrado|cuadrado negro con borde blanco|marco|negro
🔲;cuadrado blanco con borde negro;blanco|borde|botón|cuadrado|cuadrado blanco con borde negro|marco|negro

[flags]
🏁;↑↑↑;↑↑↑
🚩;↑↑↑;bandera|bandera de ubicación|banderín|triangular|ubicación
🎌;↑↑↑;↑↑↑
🏴;↑↑↑;↑↑↑
🏳️;↑↑↑;bandera|blanca|paz
🏳️‍🌈;↑↑↑;arcoíris|bandera|bandera del arcoíris|orgullo
🏳️‍⚧️;↑↑↑;bandera|blanco|celeste|LGTB|rosa|transgénero
🏴‍☠️;↑↑↑;↑↑↑
🇦🇨;bandera: Isla Ascensión;bandera|bandera: Isla Ascensión
🇦🇩;bandera: Andorra;bandera|bandera: Andorra
🇦🇪;bandera: Emiratos Árabes Unidos;bandera|bandera: Emiratos Árabes Unidos
🇦🇫;bandera: Afganistán;bandera|bandera: Afganistán
🇦🇬;bandera: Antigua y Barbuda;bandera|bandera: Antigua y Barbuda
🇦🇮;bandera: Anguila;bandera|bandera: Anguila
🇦🇱;bandera: Albania;bandera|bandera: Albania
🇦🇲;bandera: Armenia;bandera|bandera: Armenia
🇦🇴;bandera: Angola;bandera|bandera: Angola
🇦🇶;bandera: Antártida;bandera|bandera: Antártida
🇦🇷;bandera: Argentina;bandera|bandera: Argentina
🇦🇸;bandera: Samoa Americana;bandera|bandera: Samoa Americana
🇦🇹;bandera: Austria;bandera|bandera: Austria
🇦🇺;bandera: Australia;bandera|bandera: Australia
🇦🇼;bandera: Aruba;bandera|bandera: Aruba
🇦🇽;bandera: Islas Åland;bandera|bandera: Islas Åland
🇦🇿;bandera: Azerbaiyán;bandera|bandera: Azerbaiyán
🇧🇦;bandera: Bosnia-Herzegovina;bandera|bandera: Bosnia-Herzegovina
🇧🇧;bandera: Barbados;bandera|bandera: Barbados
🇧🇩;bandera: Bangladés;bandera|bandera: Bangladés
🇧🇪;bandera: Bélgica;bandera|bandera: Bélgica
🇧🇫;bandera: Burkina Faso;bandera|bandera: Burkina Faso
🇧🇬;bandera: Bulgaria;bandera|bandera: Bulgaria
🇧🇭;bandera: Baréin;bandera|bandera: Baréin
🇧🇮;bandera: Burundi;bandera|bandera: Burundi
🇧🇯;bandera: Benín;bandera|bandera: Benín
🇧🇱;bandera: San Bartolomé;bandera|bandera: San Bartolomé
🇧🇲;bandera: Bermudas;bandera|bandera: Bermudas
🇧🇳;bandera: Brunéi;bandera|bandera: Brunéi
🇧🇴;bandera: Bolivia;bandera|bandera: Bolivia
🇧🇶;bandera: Caribe neerlandés;bandera|bandera: Caribe neerlandés
🇧🇷;bandera: Brasil;bandera|bandera: Brasil
🇧🇸;bandera: Bahamas;bandera|bandera: Bahamas
🇧🇹;bandera: Bután;bandera|bandera: Bután
🇧🇻;bandera: Isla Bouvet;bandera|bandera: Isla Bouvet
🇧🇼;bandera: Botsuana;bandera|bandera: Botsuana
🇧🇾;bandera: Bielorrusia;bandera|bandera: Bielorrusia
🇧🇿;bandera: Belice;bandera|bandera: Belice
🇨🇦;bandera: Canadá;bandera|bandera: Canadá
🇨🇨;bandera: Islas Cocos;bandera|bandera: Islas Cocos
🇨🇩;bandera: República Democrática del Congo;bandera|bandera: República Democrática del Congo
🇨🇫;bandera: República Centroafricana;bandera|bandera: República Centroafricana
🇨🇬;bandera: República del Congo;bandera|bandera: República del Congo
🇨🇭;bandera: Suiza;bandera|bandera: Suiza
🇨🇮;bandera: Costa de Marfil;bandera|bandera: Costa de Marfil
🇨🇰;bandera: Islas Cook;bandera|bandera: Islas Cook
🇨🇱;bandera: Chile;bandera|bandera: Chile
🇨🇲;bandera: Camerún;bandera|bandera: Camerún
🇨🇳;bandera: China;bandera|bandera: China
🇨🇴;bandera: Colombia;bandera|bandera: Colombia
🇨🇵;bandera: Isla Clipperton;bandera|bandera: Isla Clipperton
🇨🇷;bandera: Costa Rica;bandera|bandera: Costa Rica
🇨🇺;bandera: Cuba;bandera|bandera: Cuba
🇨🇻;bandera: Cabo Verde;bandera|bandera: Cabo Verde
🇨🇼;bandera: Curazao;bandera|bandera: Curazao
🇨🇽;bandera: Isla de Navidad;bandera|bandera: Isla de Navidad
🇨🇾;bandera: Chipre;bandera|bandera: Chipre
🇨🇿;bandera: Chequia;bandera|bandera: Chequia
🇩🇪;bandera: Alemania;bandera|bandera: Alemania
🇩🇬;bandera: Diego García;bandera|bandera: Diego García
🇩🇯;bandera: Yibuti;bandera|bandera: Yibuti
🇩🇰;bandera: Dinamarca;bandera|bandera: Dinamarca
🇩🇲;bandera: Dominica;bandera|bandera: Dominica
🇩🇴;bandera: República Dominicana;bandera|bandera: República Dominicana
🇩🇿;bandera: Argelia;bandera|bandera: Argelia
🇪🇦;bandera: Ceuta y Melilla;bandera|bandera: Ceuta y Melilla
🇪🇨;bandera: Ecuador;bandera|bandera: Ecuador
🇪🇪;bandera: Estonia;bandera|bandera: Estonia
🇪🇬;bandera: Egipto;bandera|bandera: Egipto
🇪🇭;bandera: Sáhara Occidental;bandera|bandera: Sáhara Occidental
🇪🇷;bandera: Eritrea;bandera|bandera: Eritrea
🇪🇸;bandera: España;bandera|bandera: España
🇪🇹;bandera: Etiopía;bandera|bandera: Etiopía
🇪🇺;bandera: Unión Europea;bandera|bandera: Unión Europea
🇫🇮;bandera: Finlandia;bandera|bandera: Finlandia
🇫🇯;bandera: Fiyi;bandera|bandera: Fiyi
🇫🇰;bandera: Islas Malvinas;bandera|bandera: Islas Malvinas
🇫🇲;bandera: Micronesia;bandera|bandera: Micronesia
🇫🇴;bandera: Islas Feroe;bandera|bandera: Islas Feroe
🇫🇷;bandera: Francia;bandera|bandera: Francia
🇬🇦;bandera: Gabón;bandera|bandera: Gabón
🇬🇧;bandera: Reino Unido;bandera|bandera: Reino Unido
🇬🇩;bandera: Granada;bandera|bandera: Granada
🇬🇪;bandera: Georgia;bandera|bandera: Georgia
🇬🇫;bandera: Guayana Francesa;bandera|bandera: Guayana Francesa
🇬🇬;bandera: Guernesey;bandera|bandera: Guernesey
🇬🇭;bandera: Ghana;bandera|bandera: Ghana
🇬🇮;bandera: Gibraltar;bandera|bandera: Gibraltar
🇬🇱;bandera: Groenlandia;bandera|bandera: Groenlandia
🇬🇲;bandera: Gambia;bandera|bandera: Gambia
🇬🇳;bandera: Guinea;bandera|bandera: Guinea
🇬🇵;bandera: Guadalupe;bandera|bandera: Guadalupe
🇬🇶;bandera: Guinea Ecuatorial;bandera|bandera: Guinea Ecuatorial
🇬🇷;bandera: Grecia;bandera|bandera: Grecia
🇬🇸;bandera: Islas Georgia del Sur y Sándwich del Sur;bandera|bandera: Islas Georgia del Sur y Sándwich del Sur
🇬🇹;bandera: Guatemala;bandera|bandera: Guatemala
🇬🇺;bandera: Guam;bandera|bandera: Guam
🇬🇼;bandera: Guinea-Bisáu;bandera|bandera: Guinea-Bisáu
🇬🇾;bandera: Guyana;bandera|bandera: Guyana
🇭🇰;bandera: RAE de Hong Kong (China);bandera|bandera: RAE de Hong Kong (China)
🇭🇲;bandera: Islas Heard y McDonald;bandera|bandera: Islas Heard y McDonald
🇭🇳;bandera: Honduras;bandera|bandera: Honduras
🇭🇷;bandera: Croacia;bandera|bandera: Croacia
🇭🇹;bandera: Haití;bandera|bandera: Haití
🇭🇺;bandera: Hungría;bandera|bandera: Hungría
🇮🇨;bandera: Islas Canarias;bandera|bandera: Islas Canarias
🇮🇩;bandera: Indonesia;bandera|bandera: Indonesia
🇮🇪;bandera: Irlanda;bandera|bandera: Irlanda
🇮🇱;bandera: Israel;bandera|bandera: Israel
🇮🇲;bandera: Isla de Man;bandera|bandera: Isla de Man
🇮🇳;bandera: India;bandera|bandera: India
🇮🇴;bandera: Territorio Británico del Océano Índico;bandera|bandera: Territorio Británico del Océano Índico
🇮🇶;bandera: Irak;bandera|bandera: Irak
🇮🇷;bandera: Irán;bandera|bandera: Irán
🇮🇸;bandera: Islandia;bandera|bandera: Islandia
🇮🇹;bandera: Italia;bandera|bandera: Italia
🇯🇪;bandera: Jersey;bandera|bandera: Jersey
🇯🇲;bandera: Jamaica;bandera|bandera: Jamaica
🇯🇴;bandera: Jordania;bandera|bandera: Jordania
🇯🇵;bandera: Japón;bandera|bandera: Japón
🇰🇪;bandera: Kenia;bandera|bandera: Kenia
🇰🇬;bandera: Kirguistán;bandera|bandera: Kirguistán
🇰🇭;bandera: Camboya;bandera|bandera: Camboya
🇰🇮;bandera: Kiribati;bandera|bandera: Kiribati
🇰🇲;bandera: Comoras;bandera|bandera: Comoras
🇰🇳;bandera: San Cristóbal y Nieves;bandera|bandera: San Cristóbal y Nieves
🇰🇵;bandera: Corea del Norte;bandera|bandera: Corea del Norte
🇰🇷;bandera: Corea del Sur;bandera|bandera: Corea del Sur
🇰🇼;bandera: Kuwait;bandera|bandera: Kuwait
🇰🇾;bandera: Islas Caimán;bandera|bandera: Islas Caimán
🇰🇿;bandera: Kazajistán;bandera|bandera: Kazajistán
🇱🇦;bandera: Laos;bandera|bandera: Laos
🇱🇧;bandera: Líbano;bandera|bandera: Líbano
🇱🇨;bandera: Santa Lucía;bandera|bandera: Santa Lucía
🇱🇮;bandera: Liechtenstein;bandera|bandera: Liechtenstein
🇱🇰;bandera: Sri Lanka;bandera|bandera: Sri Lanka
🇱🇷;bandera: Liberia;bandera|bandera: Liberia
🇱🇸;bandera: Lesoto;bandera|bandera: Lesoto
🇱🇹;bandera: Lituania;bandera|bandera: Lituania
🇱🇺;bandera: Luxemburgo;bandera|bandera: Luxemburgo
🇱🇻;bandera: Letonia;bandera|bandera: Letonia
🇱🇾;bandera: Libia;bandera|bandera: Libia
🇲🇦;bandera: Marruecos;bandera|bandera: Marruecos
🇲🇨;bandera: Mónaco;bandera|bandera: Mónaco
🇲🇩;bandera: Moldavia;bandera|bandera: Moldavia
🇲🇪;bandera: Montenegro;bandera|bandera: Montenegro
🇲🇫;bandera: San Martín;bandera|bandera: San Martín
🇲🇬;bandera: Madagascar;bandera|bandera: Madagascar
🇲🇭;bandera: Islas Marshall;bandera|bandera: Islas Marshall
🇲🇰;bandera: Macedonia del Norte;bandera|bandera: Macedonia del Norte
🇲🇱;bandera: Mali;bandera|bandera: Mali
🇲🇲;bandera: Myanmar (Birmania);bandera|bandera: Myanmar (Birmania)
🇲🇳;bandera: Mongolia;bandera|bandera: Mongolia
🇲🇴;bandera: RAE de Macao (China);bandera|bandera: RAE de Macao (China)
🇲🇵;bandera: Islas Marianas del Norte;bandera|bandera: Islas Marianas del Norte
🇲🇶;bandera: Martinica;bandera|bandera: Martinica
🇲🇷;bandera: Mauritania;bandera|bandera: Mauritania
🇲🇸;bandera: Montserrat;bandera|bandera: Montserrat
🇲🇹;bandera: Malta;bandera|bandera: Malta
🇲🇺;bandera: Mauricio;bandera|bandera: Mauricio
🇲🇻;bandera: Maldivas;bandera|bandera: Maldivas
🇲🇼;bandera: Malaui;bandera|bandera: Malaui
🇲🇽;bandera: México;bandera|bandera: México
🇲🇾;bandera: Malasia;bandera|bandera: Malasia
🇲🇿;bandera: Mozambique;bandera|bandera: Mozambique
🇳🇦;bandera: Namibia;bandera|bandera: Namibia
🇳🇨;bandera: Nueva Caledonia;bandera|bandera: Nueva Caledonia
🇳🇪;bandera: Níger;bandera|bandera: Níger
🇳🇫;bandera: Isla Norfolk;bandera|bandera: Isla Norfolk
🇳🇬;bandera: Nigeria;bandera|bandera: Nigeria
🇳🇮;bandera: Nicaragua;bandera|bandera: Nicaragua
🇳🇱;bandera: Países Bajos;bandera|bandera: Países Bajos
🇳🇴;bandera: Noruega;bandera|bandera: Noruega
🇳🇵;bandera: Nepal;bandera|bandera: Nepal
🇳🇷;bandera: Nauru;bandera|bandera: Nauru
🇳🇺;bandera: Niue;bandera|bandera: Niue
🇳🇿;bandera: Nueva Zelanda;bandera|bandera: Nueva Zelanda
🇴🇲;bandera: Omán;bandera|bandera: Omán
🇵🇦;bandera: Panamá;bandera|bandera: Panamá
🇵🇪;bandera: Perú;bandera|bandera: Perú
🇵🇫;bandera: Polinesia Francesa;bandera|bandera: Polinesia Francesa
🇵🇬;bandera: Papúa Nueva Guinea;bandera|bandera: Papúa Nueva Guinea
🇵🇭;bandera: Filipinas;bandera|bandera: Filipinas
🇵🇰;bandera: Pakistán;bandera|bandera: Pakistán
🇵🇱;bandera: Polonia;bandera|bandera: Polonia
🇵🇲;bandera: San Pedro y Miquelón;bandera|bandera: San Pedro y Miquelón
🇵🇳;bandera: Islas Pitcairn;bandera|bandera: Islas Pitcairn
🇵🇷;bandera: Puerto Rico;bandera|bandera: Puerto Rico
🇵🇸;bandera: Territorios Palestinos;bandera|bandera: Territorios Palestinos
🇵🇹;bandera: Portugal;bandera|bandera: Portugal
🇵🇼;bandera: Palaos;bandera|bandera: Palaos
🇵🇾;bandera: Paraguay;bandera|bandera: Paraguay
🇶🇦;bandera: Catar;bandera|bandera: Catar
🇷🇪;bandera: Reunión;bandera|bandera: Reunión
🇷🇴;bandera: Rumania;bandera|bandera: Rumania
🇷🇸;bandera: Serbia;bandera|bandera: Serbia
🇷🇺;bandera: Rusia;bandera|bandera: Rusia
🇷🇼;bandera: Ruanda;bandera|bandera: Ruanda
🇸🇦;bandera: Arabia Saudita;bandera|bandera: Arabia Saudita
🇸🇧;bandera: Islas Salomón;bandera|bandera: Islas Salomón
🇸🇨;bandera: Seychelles;bandera|bandera: Seychelles
🇸🇩;bandera: Sudán;bandera|bandera: Sudán
🇸🇪;bandera: Suecia;bandera|bandera: Suecia
🇸🇬;bandera: Singapur;bandera|bandera: Singapur
🇸🇭;bandera: Santa Elena;bandera|bandera: Santa Elena
🇸🇮;bandera: Eslovenia;bandera|bandera: Eslovenia
🇸🇯;bandera: Svalbard y Jan Mayen;bandera|bandera: Svalbard y Jan Mayen
🇸🇰;bandera: Eslovaquia;bandera|bandera: Eslovaquia
🇸🇱;bandera: Sierra Leona;bandera|bandera: Sierra Leona
🇸🇲;bandera: San Marino;bandera|bandera: San Marino
🇸🇳;bandera: Senegal;bandera|bandera: Senegal
🇸🇴;bandera: Somalia;bandera|bandera: Somalia
🇸🇷;bandera: Surinam;bandera|bandera: Surinam
🇸🇸;bandera: Sudán del Sur;bandera|bandera: Sudán del Sur
🇸🇹;bandera: Santo Tomé y Príncipe;bandera|bandera: Santo Tomé y Príncipe
🇸🇻;bandera: El Salvador;bandera|bandera: El Salvador
🇸🇽;bandera: Sint Maarten;bandera|bandera: Sint Maarten
🇸🇾;bandera: Siria;bandera|bandera: Siria
🇸🇿;bandera: Esuatini;bandera|bandera: Esuatini
🇹🇦;bandera: Tristán de Acuña;bandera|bandera: Tristán de Acuña
🇹🇨;bandera: Islas Turcas y Caicos;bandera|bandera: Islas Turcas y Caicos
🇹🇩;bandera: Chad;bandera|bandera: Chad
🇹🇫;bandera: Territorios Australes Franceses;bandera|bandera: Territorios Australes Franceses
🇹🇬;bandera: Togo;bandera|bandera: Togo
🇹🇭;bandera: Tailandia;bandera|bandera: Tailandia
🇹🇯;bandera: Tayikistán;bandera|bandera: Tayikistán
🇹🇰;bandera: Tokelau;bandera|bandera: Tokelau
🇹🇱;bandera: Timor Oriental;bandera|bandera: Timor Oriental
🇹🇲;bandera: Turkmenistán;bandera|bandera: Turkmenistán
🇹🇳;bandera: Túnez;bandera|bandera: Túnez
🇹🇴;bandera: Tonga;bandera|bandera: Tonga
🇹🇷;bandera: Turquía;bandera|bandera: Turquía
🇹🇹;bandera: Trinidad y Tobago;bandera|bandera: Trinidad y Tobago
🇹🇻;bandera: Tuvalu;bandera|bandera: Tuvalu
🇹🇼;bandera: Taiwán;bandera|bandera: Taiwán
🇹🇿;bandera: Tanzania;bandera|bandera: Tanzania
🇺🇦;bandera: Ucrania;bandera|bandera: Ucrania
🇺🇬;bandera: Uganda;bandera|bandera: Uganda
🇺🇲;bandera: Islas Ultramarinas de EE.UU.;bandera|bandera: Islas Ultramarinas de EE.UU.
🇺🇳;bandera: Naciones Unidas;bandera|bandera: Naciones Unidas
🇺🇸;bandera: Estados Unidos;bandera|bandera: Estados Unidos
🇺🇾;bandera: Uruguay;bandera|bandera: Uruguay
🇺🇿;bandera: Uzbekistán;bandera|bandera: Uzbekistán
