[smileys_emotion]
😀;wajah gembira;bahagia|gembira|muka|senang|wajah
🚜;traktor;kendaraan|traktor
🏎️;mobil balap;balapan|mobil|mobil balap
🏍️;sepeda motor;balapan|sepeda motor
🛵;motor skuter;motor|skuter|vespa
🦽;kursi roda manual;aksesibilitas|kursi roda manual
🦼;kursi roda bermotor;aksesibilitas|kursi roda bermotor
🛺;bajaj;bajaj|tuk tuk
🚲;sepeda;kendaraan|sepeda
🛴;otoped;otoped|skuter
🛹;papan luncur;papan|papan luncur
🛼;sepatu roda;roda|sepatu
🚏;halte bus;bus|halte|perhentian
🛣️;jalan raya;jalan|raya
🛤️;rel kereta;jalan|kereta|rel kereta
🛢️;drum minyak;drum|minyak
⛽;pompa bahan bakar;bahan|bakar|bensin|pompa|SPBU|stasiun
🛞;roda;ban|belok|lingkaran|roda
🚨;lampu mobil polisi;berputar|kendaraan|lampu|mobil|polisi|suar
🚥;lampu lalu lintas horizontal;lalu|lampu|lampu lalu lintas horizontal|lintas|sinyal
🚦;lampu lalu lintas vertikal;lalu|lampu|lampu lalu lintas vertikal|lintas|sinyal
🛑;rambu stop;heksagon|rambu stop|segi enam|stop|tanda
🚧;konstruksi;konstruksi|pembatas
⚓;jangkar;alat|jangkar|kapal
🛟;ban pelampung;ban pelampung|keamanan|mengapung|penyelamat|penyelamat hidup|penyelamatan
⛵;perahu layar;kapal|kendaraan|laut|perahu|perahu layar|pesiar|resor
🛶;kano;getek|kano|perahu|sampan
🚤;perahu cepat;kendaraan|perahu|perahu cepat
🛳️;kapal penumpang;kapal|kendaraan|penumpang
⛴️;kapal feri;kapal feri|perahu
🛥️;perahu bermotor;bermotor|kapal|kendaraan|perahu
🚢;kapal;kapal|kendaraan
✈️;pesawat;kendaraan|pesawat
🛩️;pesawat kecil;kendaraan|pesawat|pesawat kecil
🛫;pesawat lepas landas;check-in|keberangkatan|kedatangan|kendaraan|pesawat|pesawat lepas landas
🛬;pesawat mendarat;datang|kedatangan|kendaraan|mendarat|pesawat
🪂;parasut;hang-glide|parasail|parasut|terjun payung
💺;kursi;duduk|kursi
🚁;helikopter;helikopter|kendaraan
🚟;kereta suspensi;kendaraan|kereta suspensi|rel|suspensi
🚠;kereta gantung;gondola|gunung|kabel|kendaraan|kereta gantung
🚡;trem gantung;gondola|jalur trem|kabel|trem|trem gantung
🛰️;satelit;angkasa|kendaraan|satelit
🚀;roket;angkasa|kendaraan|roket
🛸;piring terbang;piring terbang|UFO
🛎️;bel meja;bel meja|hotel|lonceng|pelayan
🧳;koper;bepergian|berkemas|koper
⌛;jam pasir;jam pasir|pasir|pewaktu
⏳;jam pasir yang bergerak;jam|jam pasir yang bergerak|pasir|pewaktu
⌚;jam tangan;jam|jam tangan
⏰;jam weker;alarm|jam|jam weker
⏱️;stopwatch;jam|stopwatch
⏲️;penghitung waktu;jam|penghitung waktu|pewaktu
🕰️;jam perapian;jam|jam perapian
🕛;jam dua belas tepat;00|12|12.00|dua belas|jam|jam dua belas tepat|tepat
🕧;jam setengah satu;12|12.30|30|dua belas|jam|jam setengah satu|tiga puluh
🕐;jam satu tepat;00|1|1.00|jam|satu|tepat
🕜;jam setengah dua;1|1.30|30|jam|jam setengah dua|satu|tiga puluh
🕑;jam dua tepat;00|2|2.00|dua|jam|tepat
🕝;jam setengah tiga;2|2.30|30|dua|jam|jam setengah tiga|tiga puluh
🕒;jam tiga tepat;00|3|3.00|jam|tepat|tiga
🕞;jam setengah empat;3|3.30|30|jam|jam setengah empat|tiga|tiga puluh
🕓;jam empat tepat;00|4|4.00|empat|jam|tepat
🕟;jam setengah lima;30|4|4.30|empat|jam|jam setengah lima|tiga puluh
🕔;jam lima tepat;00|5|5.00|jam|lima|tepat
🕠;jam setengah enam;30|5|5.30|jam setengah enam|lima|tiga puluh
🕕;jam enam tepat;00|6|6.00|enam|jam|tepat
🕡;jam setengah tujuh;30|6|6.30|enam|jam|jam setengah tujuh|tiga puluh
🕖;jam tujuh tepat;00|7|7.00|jam|tepat|tujuh
🕢;jam setengah delapan;30|7|7.30|jam|jam setengah delapan|tiga puluh|tujuh
🕗;jam delapan tepat;00|8|8.00|delapan|jam|tepat
🕣;jam setengah sembilan;30|8|8.30|delapan|jam|jam setengah sembilan|tiga puluh
🕘;jam sembilan tepat;00|9|9.00|jam|sembilan|tepat
🕤;jam setengah sepuluh;30|9|9.30|jam|jam setengah sepuluh|sembilan|tiga puluh
🕙;jam sepuluh tepat;00|10|10.00|jam|sepuluh|tepat
🕥;jam setengah sebelas;10|10.30|30|jam|jam setengah sebelas|sepuluh|tiga puluh
🕚;jam sebelas tepat;00|11|11.00|jam|sebelas|tepat
🕦;jam setengah dua belas;11|11.30|30|jam|jam setengah dua belas|sebelas|tiga puluh
🌑;bulan baru;angkasa|bulan|bulan baru|cuaca|gelap
🌒;bulan sabit awal;angkasa|bulan|bulan sabit awal|cuaca|membesar|sabit
🌓;bulan perbani awal;angkasa|bulan|bulan perbani awal|cuaca|seperempat
🌔;bulan cembung awal;angkasa|bulan|bulan cembung awal|cembung|cuaca|membesar
🌕;bulan purnama;angkasa|bulan|cuaca|purnama
🌖;bulan cembung akhir;angkasa|bulan|bulan cembung akhir|cembung|cuaca|mengecil
🌗;bulan perbani akhir;angkasa|bulan|bulan perbani akhir|cuaca|seperempat
🌘;bulan sabit akhir;angkasa|bulan|bulan sabit akhir|cuaca|mengecil|sabit
🌙;bulan sabit;angkasa|bulan|cuaca|sabit
🌚;wajah bulan baru;angkasa|bulan|cuaca|wajah|wajah bulan baru
🌛;wajah bulan perbani awal;angkasa|bulan|cuaca|seperempat|wajah|wajah bulan perbani awal
🌜;wajah bulan perbani akhir;angkasa|bulan|cuaca|seperempat|wajah|wajah bulan perbani akhir
🌡️;termometer;cuaca|termometer
☀️;matahari;angkasa|cerah|cuaca|matahari|sinar|terang
🌝;wajah bulan purnama;angkasa|bulan|cuaca|purnama|terang|wajah
🌞;wajah matahari;angkasa|cuaca|matahari|terang|wajah
🪐;planet bercincin;planet bercincin|saturnus
⭐;bintang medium putih;bintang|bintang medium putih
🌟;bintang bersinar;berkilau|bersinar|bintang|cemerlang
🌠;bintang jatuh;angkasa|bintang|jatuh
🌌;bima sakti;bima sakti|cuaca|ruang
☁️;awan;awan|cuaca
⛅;matahari di balik awan;awan|cuaca|matahari|matahari di balik awan
⛈️;awan dengan petir dan hujan;awan|awan dengan petir dan hujan|cuaca|hujan|petir
🌤️;matahari di balik awan kecil;awan|cuaca|matahari|matahari di balik awan kecil
🌥️;matahari di balik awan besar;awan|cuaca|matahari|matahari di balik awan besar
🌦️;matahari di balik awan hujan;awan|cuaca|hujan|matahari|matahari di balik awan hujan
🌧️;awan hujan;awan|cuaca|hujan
🌨️;awan salju;awan|cuaca|dingin|salju
🌩️;awan petir;awan|awan petir|cuaca|kilat
🌪️;tornado;angin|awan|cuaca|pusaran|tornado
🌫️;kabut;awan|cuaca|kabut
🌬️;wajah tertiup angin;angin|awan|cuaca|hembusan|wajah|wajah tertiup angin
🌀;topan;berputar-putar|cuaca|pusaran|topan
🌈;pelangi;cuaca|hujan|pelangi
🌂;payung tertutup;cuaca|hujan|pakaian|payung|payung tertutup
☂️;payung;cuaca|hujan|pakaian|payung
☔;payung dengan tetesan hujan;cuaca|hujan|pakaian|payung|payung dengan tetesan hujan
⛱️;payung di tanah;cuaca|hujan|matahari|payung|payung di tanah
⚡;tegangan tinggi;bahaya|kilat|listrik|sambaran|tegangan|tegangan tinggi
❄️;serpihan salju;cuaca|dingin|salju|serpihan salju
☃️;boneka salju dengan hujan salju;boneka salju dengan hujan salju|cuaca|dingin|salju
⛄;boneka salju tanpa salju;boneka|boneka salju tanpa salju|cuaca|dingin|salju
☄️;komet;angkasa|komet
🔥;api;alat|api|kobaran
💧;tetesan air;cuaca|dingin|keringat|komik|tetesan|tetesan air
🌊;ombak;air|cuaca|lautan|ombak

[activities]
🎃;jack-o-lantern;halloween|jack|jack-o-lantern|lentera|perayaan
🎄;pohon Natal;natal|perayaan|pohon
🎆;kembang api;kembang api|perayaan
🎇;kembang api batang;api|berkilau|kembang|kembang api batang|perayaan
🧨;petasan;bahan peledak|dinamit|kembang api|petasan
✨;berkilau;*|berkilau|bintang|kilauan
🎈;balon;balon|perayaan
🎉;party popper;jreng|party popper|perayaan|popper
🎊;bola konfeti;bola|bola konfeti|confetti|perayaan
🎋;pohon tanabata;jepang|perayaan|pohon|pohon tanabata|spanduk
🎍;dekorasi pinus;bambu|dekorasi pinus|jepang|perayaan|pinus|tanaman
🎎;boneka Jepang;boneka|festival|jepang|perayaan
🎏;bendera ikan koi;bendera ikan koi|koi|panji|perayaan
🎐;lonceng angin;angin|gemerincing|lonceng|perayaan
🎑;perayaan bulan;bulan|perayaan|upacara
🧧;amplop merah;amplop merah|hadiah|hóngbāo|lai see|semoga beruntung|uang
🎀;pita;perayaan|pita
🎁;kado;bungkusan|hadiah|kado|kotak|perayaan
🎗️;pita pengingat;pengingat|perayaan|pita
🎟️;tiket masuk;masuk|tiket
🎫;tiket;masuk|tiket
🎖️;medali militer;medali|militer|perayaan
🏆;piala;hadiah|piala
🏅;medali olahraga;medali|medali olahraga
🥇;medali emas;emas|juara pertama|medali
🥈;medali perak;juara kedua|medali|perak
🥉;medali perunggu;juara ketiga|medali|perunggu
⚽;bola sepak;bola|sepak
⚾;bisbol;bisbol|bola
🥎;sofbol;bola|sarung tangan|sofbol
🏀;bola basket;bola|bola basket|loncat
🏐;bola voli;bola|bola voli|permainan
🏈;American football;American football|amerika|bola|football
🏉;sepak bola rugbi;bola|football|rugby|sepak bola rugbi
🎾;tenis;bola|raket|tenis
🥏;lempar cakram;cakram|lempar cakram
🎳;bowling;bola|bowling|game
🏏;kriket;bola|kriket|pemukul|permainan
🏑;hoki lapangan;bola|hoki|lapangan|permainan|stik
🏒;hoki es;bola karet|es|hoki|permainan|stik
🥍;lacrosse;bola|gawang|lacrosse|tongkat
🏓;ping pong;bet|bola|pemukul|permainan|ping pong|tenis meja
🏸;bulu tangkis;bulu tangkis|game|kok|raket
🥊;sarung tinju;olahraga|sarung tangan|sarung tinju|tinju
🥋;seragam beladiri;bela diri|judo|karate|seragam bela diri|seragam beladiri|seragam taekwondo
🥅;gawang;gawang|gol|jaring|olahraga
⛳;bendera di lubang golf;bendera di lubang golf|golf|lubang
⛸️;seluncur es;es|seluncur
🎣;tongkat pancing;ikan|tongkat|tongkat pancing
🤿;kacamata selam;kacamata selam|menyelam|scuba|selam|snorkel|snorkeling
🎽;kaos lari;kaos|lari|selempang
🎿;ski;salju|ski
🛷;kereta luncur;kereta luncur
🥌;batu curling;batu|batu curling|permainan
🎯;dart;anak panah|dart|lempar|mata|papan sasaran|permainan|target
🪀;yo-yo;mainan|naik-turun|yo-yo
🪁;layang-layang;layang-layang|melayang|terbang
🔫;pistol air;alat|pistol|pistol air|revolver|senjata
🎱;biliar 8 bola;8|biliar 8 bola|bola|delapan|game
🔮;bola kristal;alat|bola|dongeng|fantasi|kristal|ramalan
🪄;tongkat ajaib;penyihir pria|penyihir wanita|sihir|tongkat ajaib
🎮;video game;game|pengontrol|video game
🕹️;joystick;game|game video|joystick
🎰;mesin slot;game|mesin slot|slot
🎲;dadu;dadu|permainan
🧩;keping puzzle;keping puzzle|kepingan|petunjuk|puzzle|saling terkait
🧸;boneka beruang;boneka|boneka beruang|mainan
🪅;pinata;perayaan|pesta|pinata
🪩;bola disko;bola disko|dansa|disko|kerlip|pesta
🪆;boneka bersarang;bersarang|boneka|rusia
♠️;sekop;kartu|permainan|sekop
♥️;hati;hati|kartu|permainan
♦️;wajik;kartu|permainan|wajik
♣️;keriting;kartu|keriting|klub|permainan
♟️;pion catur;anak buah|catur|pion
🃏;joker;joker|kartu|permainan
🀄;naga merah mahyong;game|mahyong|merah|naga merah mahyong
🎴;kartu bunga;bunga|game|jepang|kartu|permainan
🎭;seni drama;seni|seni drama|tampil|teater|topeng
🖼️;bingkai bergambar;bingkai|bingkai bergambar|gambar|lukisan|museum|seni
🎨;palet pelukis;lukisan|museum|palet|palet pelukis|seni
🧵;benang;benang|gulungan|jahit|jarum
🪡;jarum jahit;jahit|jahitan|jarum|menjahit|penjahit|sulaman
🧶;gulungan benang;bola|gulungan benang|rajut|sulam
🪢;simpul;belitan|ikatan|kusut|puntiran|simpul|tali

[objects]
👓;kacamata;kaca|kacamata|mata|pakaian
🕶️;kacamata hitam;hitam|kaca|kacamata hitam|mata
🥽;kacamata renang;berenang|kacamata renang|mengelas|pelindung mata
🥼;jas laboratorium;dokter|ilmuwan|jas laboratorium|percobaan
🦺;rompi pengaman;darurat|keselamatan|pengaman|rompi
👔;dasi;dasi|pakaian
👕;kaos;kaos|kaus|pakaian|polo
👖;celana jeans;celana|celana jeans|pakaian|panjang
🧣;syal;leher|syal
🧤;sarung tangan;sarung tangan|tangan
🧥;mantel;jaket|mantel
🧦;kaus kaki;kaos kaki|kaus kaki|stocking|stoking
👗;gaun;gaun|pakaian
👘;kimono;kimono|pakaian
🥻;sari;gaun|pakaian|sari|terusan
🩱;pakaian renang one-piece;pakaian renang|pakaian renang one-piece
🩲;celana renang;baju renang|celana renang|one-piece|pakaian dalam|pakaian renang
🩳;celana pendek;baju renang|celana|celana pendek|pakaian dalam|pakaian renang
👙;bikini;bikini|pakaian|renang
👚;pakaian wanita;pakaian|wanita
🪭;kipas tangan lipat;kepakan|kipas|kipas tangan lipat|malu|panas|penyejuk|tarian
👛;dompet;dompet|koin|pakaian
👜;tas jinjing;pakaian|tas|tas jinjing
👝;kantung;kantung|pakaian|tas
🛍️;tas belanja;belanja|hotel|tas
🎒;tas sekolah;ransel|sekolah|tas
🩴;sandal jepit;sandal|sandal jepit|sandal pantai|zōri
👞;sepatu pria;pakaian|pria|sepatu
👟;sepatu lari;atletik|kets|pakaian|sepatu|sepatu lari
🥾;sepatu boot untuk mendaki;backpacking|boot|kemping|mendaki|sepatu boot untuk mendaki
🥿;sepatu flat;sandal selop|selop|sepatu balet|sepatu flat
👠;sepatu hak tinggi;hak|pakaian|sepatu|sepatu hak tinggi|wanita
👡;sandal wanita;pakaian|sandal|sepatu|wanita
🩰;sepatu balet;balet|menari|sepatu balet|tari|tarian
👢;sepatu bot wanita;bot|pakaian|sepatu bot wanita|wanita
🪮;sisir garpu;Afro|rambut|sisir|sisir garpu
👑;mahkota;mahkota|pakaian|raja|ratu
👒;topi wanita;pakaian|topi|wanita
🎩;topi tinggi;pakaian|sulap|topi|topi tinggi
🎓;topi wisuda;pakaian|perayaan|toga|topi|wisuda
🧢;topi berlidah;topi berlidah|topi bisbol
🪖;helm tentara;angkatan darat|helm|helm tentara|militer|pejuang|prajurit
⛑️;helm dengan palang putih;helm|helm dengan palang putih|muka|p3k|palang|topi|wajah
📿;tasbih;agama|doa|kalung|pakaian|tasbih
💄;lipstik;dandan|kosmetik|lipstik
💍;cincin;berlian|cincin|romantis
💎;batu permata;batu permata|berlian|permata|romantis
🔇;speaker mati;bisu|diam|senyap|speaker|speaker mati
🔈;volume speaker rendah;lembut|volume speaker rendah
🔉;volume speaker medium;medium|volume speaker medium
🔊;volume speaker tinggi;keras|volume speaker tinggi
📢;pengeras suara;keras|pengeras suara|pengumuman
📣;megafon;bersorak|megafon
📯;trompet pos;pos|trompet
🔔;lonceng;lonceng
🔕;lonceng dicoret;bisu|diam|lonceng|lonceng dicoret|senyap|terlarang
🎼;naskah musik;musik|naskah musik|skor
🎵;not musik;musik|not
🎶;not-not musik;musik|not|not-not musik
🎙️;mikrofon studio;mik|mikrofon|musik|studio
🎚️;penggeser tingkat;level|musik|penggeser|penggeser tingkat
🎛️;kenop kontrol;kenop|kontrol|musik
🎤;mikrofon;karaoke|mik|mikrofon
🎧;headphone;earbud|headphone
📻;radio;radio|video
🎷;saksofon;instrumen|musik|saksofon
🪗;akordeon;akordeon|concertina|kotak remas
🎸;gitar;gitar|instrumen|musik
🎹;keyboard musik;instrumen|keyboard|musik|piano
🎺;trompet;instrumen|musik|trompet
🎻;biola;biola|instrumen|musik
🪕;banjo;banjo|musik|senar
🥁;drum;drum|musik|stik drum
🪘;gendang;conga|dentum|gendang|irama
🪇;marakas;alat musik|gemerisik|kerincingan|marakas|musik|perkusi
🪈;seruling;alat musik tiup|musik|pipa|rekorder|seruling
📱;ponsel;ponsel|seluler|telepon
📲;telepon masuk;panah|panggilan|ponsel|seluler|telepon|telepon masuk|terima
☎️;telepon;telepon
📞;gagang telepon;gagang telepon|penerima|telepon
📟;pager;pager
📠;mesin faks;faksimili|mesin faks
🔋;baterai;baterai
🪫;baterai lemah;baterai lemah|elektronik|energi lemah
🔌;steker;listrik|steker
💻;komputer laptop;komputer|komputer laptop|PC|personal
🖥️;komputer desktop;desktop|komputer
🖨️;printer;komputer|printer
⌨️;keyboard;keyboard|komputer
🖱️;mouse komputer;komputer|mouse komputer
🖲️;trackball;komputer|trackball
💽;disk komputer;disk|disk mini|komputer|optik
💾;disket;disk|disket|komputer
💿;disk optik;cd|disk|komputer|optik
📀;dvd;blu-ray|disk|dvd|komputer|optik
🧮;sempoa;kalkulasi|sempoa
🎥;kamera film;film|kamera|sinema
🎞️;frame film;film|frame|sinema
📽️;proyektor film;film|proyektor|sinema|video
🎬;papan sutradara;film|papan sutradara
📺;televisi;televisi|tv|video
📷;kamera;kamera|video
📸;kamera dengan flash;flash|kamera|kamera dengan flash|video
📹;kamera video;kamera|video
📼;kaset video;kaset video|pita|vhs|video
🔍;kaca pembesar arah kiri;alat|kaca|kaca pembesar arah kiri|pembesar|penelusuran
🔎;kaca pembesar arah kanan;alat|kaca|kaca pembesar arah kanan|pembesar|penelusuran
🕯️;lilin;cahaya|lilin
💡;bohlam;bohlam|elektrik|ide|komik|lampu
🔦;lampu senter;alat|cahaya|lampu senter|listrik|senter
🏮;lampion merah;bar|cahaya|lampion merah|lentera|merah
🪔;lampu diya;diya|lampu|lentera|minyak
📔;buku catatan bersampul;buku|buku catatan|buku catatan bersampul|dekorasi|sampul
📕;buku tertutup;buku|tertutup
📖;buku terbuka;buku|terbuka
📗;buku hijau;buku|hijau
📘;buku biru;biru|buku
📙;buku oranye;buku|oranye
📚;buku;buku
📓;buku catatan;buku catatan
📒;buku besar;buku besar|buku catatan
📃;halaman tergulung;dokumen|gulung|halaman|halaman tergulung
📜;gulungan;gulungan|kertas
📄;halaman tampak depan;dokumen|halaman|halaman tampak depan
📰;koran;berita|kertas|koran
🗞️;gulungan koran;berita|gulungan koran|kertas|koran|tergulung
📑;penanda halaman buku;penanda|penanda halaman buku|tab|tanda
🔖;pembatas buku;pembatas buku|tanda
🏷️;label;label
💰;kantung uang;dolar|kantong|kantung uang|uang
🪙;koin;emas|harta karun|koin|logam|perak|uang
💴;uang kertas yen;mata uang|uang|uang kertas|uang kertas yen|yen
💵;uang kertas dolar;dolar|mata uang|uang|uang kertas|uang kertas dolar
💶;uang kertas euro;euro|mata uang|uang|uang kertas|uang kertas euro
💷;uang kertas pound;mata uang|pound|uang|uang kertas|uang kertas pound
💸;uang bersayap;sayap|terbang|uang|uang bersayap|uang kertas
💳;kartu kredit;kartu|kredit|uang
🧾;kuitansi;akuntansi|bukti|kuitansi|pembukuan
💹;bagan meningkat dengan yen;bagan|bagan meningkat dengan yen|grafik|pertumbuhan|uang|yen
✉️;amplop;amplop|email|surat
📧;email;email|surat
📨;amplop datang;amplop|amplop datang|email|masuk|surat|terima
📩;amplop dengan panah;amplop|amplop dengan panah|email|keluar|panah
📤;baki kotak keluar;baki|keluar|kotak|surat|terkirim
📥;baki kotak masuk;baki|baki kotak masuk|kotak|kotak masuk|surat|terima
📦;paket;kotak|paket|parsel
📫;kotak surat tertutup dengan bendera terangkat;kotak surat|kotak surat tertutup dengan bendera terangkat|surat|tertutup
📪;kotak surat tertutup dengan bendera turun;kotak surat|kotak surat tertutup dengan bendera turun|surat|tertutup|turun
📬;kotak surat terbuka dengan bendera terangkat;kotak surat|kotak surat terbuka dengan bendera terangkat|surat|terbuka
📭;kotak surat terbuka dengan bendera turun;kotak surat|kotak surat terbuka dengan bendera turun|surat|terbuka|turun
📮;kotak pos;kotak pos|kotak surat|surat
🗳️;kotak dengan surat suara;kotak|kotak dengan surat suara|surat suara
✏️;pensil;pensil
✒️;ujung pena;pena|ujung pena
🖋️;pena tinta;pena|tinta
🖊️;pena;bolpoin|pena
🖌️;kuas;kuas|lukisan
🖍️;krayon;krayon
📝;memo;memo|pensil
💼;tas kantor;tas kantor
📁;folder file;file|folder
📂;folder file terbuka;file|folder|terbuka
🗂️;pembagi indeks kartu;indeks|kartu|pembagi
📅;kalender;kalender|tanggal
📆;kalender sobek;kalender|kalender sobek
🗒️;catatan spiral;catatan|kertas|spiral
🗓️;kalender spiral;kalender|kertas|spiral
📇;indeks kartu;indeks|kartu|rolodex
📈;bagan meningkat;bagan|bagan meningkat|grafik|naik|pertumbuhan|tren
📉;bagan menurun;bagan|bagan menurun|grafik|tren|turun
📊;diagram batang;bagan|batang|diagram batang|grafik
📋;papan klip;papan klip
📌;paku penanda;paku penanda|pin
📍;paku penanda bulat;paku|paku penanda bulat|pin
📎;klip kertas;klip kertas
🖇️;klip kertas tertaut;klip kertas|klip kertas tertaut|tautan
📏;penggaris lurus;penggaris|penggaris lurus|ujung lurus
📐;penggaris segitiga;penggaris|rangkaian|segitiga
✂️;gunting;alat|gunting|potong
🗃️;kotak file kartu;file|kartu|kotak
🗄️;lemari file;file|lemari|pemberkasan
🗑️;keranjang sampah;keranjang sampah
🔒;gembok;gembok|tutup
🔓;gembok terbuka;buka|gembok|gembok terbuka|tidak digembok
🔏;gembok terkunci dengan pena;gembok|gembok terkunci dengan pena|pena|privasi|tinta|ujung pena
🔐;gembok terkunci dengan kunci;aman|gembok|gembok terkunci dengan kunci|kunci|tutup
🔑;kunci;kunci|sandi
🗝️;kunci antik;antik|gembok|kunci|petunjuk
🔨;palu;alat|palu
🪓;kapak;belah|kapak|kayu|potong
⛏️;beliung;alat|beliung|tambang
⚒️;palu dan beliung;alat|beliung|palu|palu dan beliung
🛠️;palu dan kunci inggris;alat|kunci inggris|palu|palu dan kunci inggris
🗡️;belati;belati|pisau|senjata
⚔️;pedang bersilang;pedang|pedang bersilang|senjata|silang
💣;bom;bom|komik
🪃;bumerang;australia|berbalik|bumerang|melambung
🏹;busur dan panah;busur|busur dan panah|panah|pemanah|Sagitarius|zodiak
🛡️;perisai;perisai|senjata
🪚;gergaji kayu;gergaji|kayu|perkakas|tukang kayu
🔧;kunci inggris;alat|kunci inggris
