# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
❤️‍🔥;জুইত থকা হৃদয়;কামভাৱ|জুইত থকা হৃদয়|জ্বলা|পবিত্ৰ হৃদয়|প্ৰেম|হৃদয়
❤️‍🩹;হৃদয় আৰোগ্য হোৱা;আৰোগ্য হোৱা|উদ্ধাৰ হোৱা|ঠিক হোৱা|সকাহ পোৱা|স্বাস্থ্য ঠিক হোৱা|স্বাস্থ্যকৰ|হৃদয় আৰোগ্য হোৱা
❤️;ৰঙা হৃদয়;ৰঙা হৃদয়|হাৰ্ট
🩷;গোলাপী হৃদয়;গুলপীয়া|গোলাপী হৃদয়|প্ৰেম|মৰমলগা|লাইক|হৃদয়
🧡;কমলাৰঙী হৃদয়;কমলাৰঙী|কমলাৰঙী হৃদয়
💛;হালধীয়া হৃদয়;হালধীয়া|হালধীয়া হৃদয়
💚;সেউজীয়া হৃদয়;সেউজীয়া|সেউজীয়া হৃদয়
💙;নীলা হৃদয়;নীলা|নীলা হৃদয়
🩵;পাতল নীলা হৃদয়;টীল|পাতল নীলা|পাতল নীলা হৃদয়|সেউজ নীলা|হৃদয়
💜;বেঙুণীয়া হৃদয়;বেঙুণীয়া|বেঙুণীয়া হৃদয়
🤎;মূগা হৃদয়;মূগা|হৃদয়
🖤;ক’লা হৃদয়;ক’লা|ক’লা হৃদয়|বিদ্বেষপূৰ্ণ|মন্দ
🩶;ধূসৰ নীলা;ধূসৰ|ধূসৰ নীলা|ৰূপালী|শ্লেট|হৃদয়
🤍;বগা হৃদয়ৰ ছবি;বগা|বগা হৃদয়ৰ ছবি|হৃদয়
💋;চুম্বন চিহ্ন;ওঁঠ|চুম্বন|চুম্বন চিহ্ন
💯;১০০ নম্বৰ;১০০|১০০ নম্বৰ|এশ|এশ নম্বৰ|পূৰা|স্ক’ৰ
💢;খঙৰ প্ৰতীক;কমিক|খং|খঙৰ প্ৰতীক|পাগল
💥;সংঘৰ্ষ;কমিক|গৰ্জন|সংঘৰ্ষ
💫;হতবুদ্ধি;কমিক|তৰা|হতবুদ্ধি
💦;ঘামৰ টোপাল;কমিক|ঘাম ছিটিকি পৰা|ঘামৰ টোপাল
💨;উদ্যমী;উদ্যমী|কমিক|ঠেলা-ঠেলি|দৌৰা
🕳️;ছিদ্ৰ;ছিদ্ৰ
💬;স্পিচ বেলুন;কথন|কমিক|বেলুন|সংলাপ|স্পিচ বেলুন
👁️‍🗨️;চকুৰ দৰে স্পিচ বাব’ল;চকু|চকুৰ দৰে স্পিচ বাব’ল|সাক্ষী|স্পিচ বাব’ল
🗨️;বাওঁ কথন বুৰবুৰণি;কথন|বাওঁ কথন বুৰবুৰণি|সংলাপ
🗯️;সোঁফালে খঙৰ বুৰবুৰণি;খং|পাগল|বুৰবুৰণি|বেলুন|সোঁফালে খঙৰ বুৰবুৰণি
💭;চিন্তাৰ বেলুন;কমিক|চিন্তা|চিন্তাৰ বেলুন|বুৰবুৰণি|বেলুন
💤;নিদ্ৰালু;কমিক|নিদ্ৰা|নিদ্ৰালু

[people_body]
👋;হাত লৰোৱা;লৰোৱা|লহৰ|হাত
	👋🏻;হাত লৰোৱা: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|লৰোৱা|লহৰ|হাত|হাত লৰোৱা: পাতল ছালৰ ৰং
	👋🏼;হাত লৰোৱা: মধ্যমীয়া-পাতল ছালৰ ৰং;মধ্যমীয়া-পাতল ছালৰ ৰং|লৰোৱা|লহৰ|হাত|হাত লৰোৱা: মধ্যমীয়া-পাতল ছালৰ ৰং
	👋🏽;হাত লৰোৱা: মধ্যমীয়া ছালৰ ৰং;মধ্যমীয়া ছালৰ ৰং|লৰোৱা|লহৰ|হাত|হাত লৰোৱা: মধ্যমীয়া ছালৰ ৰং
	👋🏾;হাত লৰোৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং;মধ্যমীয়া-ক’লা ছালৰ ৰং|লৰোৱা|লহৰ|হাত|হাত লৰোৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং
	👋🏿;হাত লৰোৱা: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|লৰোৱা|লহৰ|হাত|হাত লৰোৱা: ক’লা ছালৰ ৰং
🤚;হাতৰ পিছফাল;হাত তোলা|হাত দঙা|হাতৰ পিছফাল
	🤚🏻;হাতৰ পিছফাল: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|হাত তোলা|হাত দঙা|হাতৰ পিছফাল|হাতৰ পিছফাল: পাতল ছালৰ ৰং
	🤚🏼;হাতৰ পিছফাল: মধ্যমীয়া-পাতল ছালৰ ৰং;মধ্যমীয়া-পাতল ছালৰ ৰং|হাত তোলা|হাত দঙা|হাতৰ পিছফাল|হাতৰ পিছফাল: মধ্যমীয়া-পাতল ছালৰ ৰং
	🤚🏽;হাতৰ পিছফাল: মধ্যমীয়া ছালৰ ৰং;মধ্যমীয়া ছালৰ ৰং|হাত তোলা|হাত দঙা|হাতৰ পিছফাল|হাতৰ পিছফাল: মধ্যমীয়া ছালৰ ৰং
	🤚🏾;হাতৰ পিছফাল: মধ্যমীয়া-ক’লা ছালৰ ৰং;মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত তোলা|হাত দঙা|হাতৰ পিছফাল|হাতৰ পিছফাল: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🤚🏿;হাতৰ পিছফাল: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|হাত তোলা|হাত দঙা|হাতৰ পিছফাল|হাতৰ পিছফাল: ক’লা ছালৰ ৰং
🖐️;আঙুলি প্ৰসাৰিত কৰি হাত মেলা;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|প্ৰসাৰিত|হাত
	🖐🏻;আঙুলি প্ৰসাৰিত কৰি হাত মেলা: পাতল ছালৰ ৰং;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|আঙুলি প্ৰসাৰিত কৰি হাত মেলা: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|প্ৰসাৰিত|হাত
	🖐🏼;আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-পাতল ছালৰ ৰং;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-পাতল ছালৰ ৰং|প্ৰসাৰিত|মধ্যমীয়া-পাতল ছালৰ ৰং|হাত
	🖐🏽;আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া ছালৰ ৰং;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া ছালৰ ৰং|প্ৰসাৰিত|মধ্যমীয়া ছালৰ ৰং|হাত
	🖐🏾;আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-ক’লা ছালৰ ৰং;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|আঙুলি প্ৰসাৰিত কৰি হাত মেলা: মধ্যমীয়া-ক’লা ছালৰ ৰং|প্ৰসাৰিত|মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত
