# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;হাস্য মুখী;মুখ|হাস্য মুখী|হাঁহি
	🖐🏿;আঙুলি প্ৰসাৰিত কৰি হাত মেলা: ক’লা ছালৰ ৰং;আঙুলি|আঙুলি প্ৰসাৰিত কৰি হাত মেলা|আঙুলি প্ৰসাৰিত কৰি হাত মেলা: ক’লা ছালৰ ৰং|ক’লা ছালৰ ৰং|প্ৰসাৰিত|হাত
✋;অনুগ্ৰহ কৰি ৰখক;অনুগ্ৰহ কৰি ৰখক|হাত
	✋🏻;অনুগ্ৰহ কৰি ৰখক: পাতল ছালৰ ৰং;অনুগ্ৰহ কৰি ৰখক|অনুগ্ৰহ কৰি ৰখক: পাতল ছালৰ ৰং|পাতল ছালৰ ৰং|হাত
	✋🏼;অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-পাতল ছালৰ ৰং;অনুগ্ৰহ কৰি ৰখক|অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|হাত
	✋🏽;অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া ছালৰ ৰং;অনুগ্ৰহ কৰি ৰখক|অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|হাত
	✋🏾;অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-ক’লা ছালৰ ৰং;অনুগ্ৰহ কৰি ৰখক|অনুগ্ৰহ কৰি ৰখক: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত
	✋🏿;অনুগ্ৰহ কৰি ৰখক: ক’লা ছালৰ ৰং;অনুগ্ৰহ কৰি ৰখক|অনুগ্ৰহ কৰি ৰখক: ক’লা ছালৰ ৰং|ক’লা ছালৰ ৰং|হাত
🖖;ভল্কান ছেলুট;আঙুলি|ভল্কান|ভল্কান ছেলুট|স্প’ক|হাত
	🖖🏻;ভল্কান ছেলুট: পাতল ছালৰ ৰং;আঙুলি|পাতল ছালৰ ৰং|ভল্কান|ভল্কান ছেলুট|ভল্কান ছেলুট: পাতল ছালৰ ৰং|স্প’ক|হাত
	🖖🏼;ভল্কান ছেলুট: মধ্যমীয়া-পাতল ছালৰ ৰং;আঙুলি|ভল্কান|ভল্কান ছেলুট|ভল্কান ছেলুট: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|স্প’ক|হাত
	🖖🏽;ভল্কান ছেলুট: মধ্যমীয়া ছালৰ ৰং;আঙুলি|ভল্কান|ভল্কান ছেলুট|ভল্কান ছেলুট: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|স্প’ক|হাত
	🖖🏾;ভল্কান ছেলুট: মধ্যমীয়া-ক’লা ছালৰ ৰং;আঙুলি|ভল্কান|ভল্কান ছেলুট|ভল্কান ছেলুট: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|স্প’ক|হাত
	🖖🏿;ভল্কান ছেলুট: ক’লা ছালৰ ৰং;আঙুলি|ক’লা ছালৰ ৰং|ভল্কান|ভল্কান ছেলুট|ভল্কান ছেলুট: ক’লা ছালৰ ৰং|স্প’ক|হাত
🫱;সোঁফালে মুখ কৰা হাত;সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|হাত
	🫱🏻;সোঁফালে মুখ কৰা হাত: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|সোঁফালে মুখ কৰা হাত: পাতল ছালৰ ৰং|হাত
	🫱🏼;সোঁফালে মুখ কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;মধ্যমীয়া-পাতল ছালৰ ৰং|সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|সোঁফালে মুখ কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং|হাত
	🫱🏽;সোঁফালে মুখ কৰা হাত: মধ্যমীয়া ছালৰ ৰং;মধ্যমীয়া ছালৰ ৰং|সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|সোঁফালে মুখ কৰা হাত: মধ্যমীয়া ছালৰ ৰং|হাত
	🫱🏾;সোঁফালে মুখ কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;মধ্যমীয়া-ক’লা ছালৰ ৰং|সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|সোঁফালে মুখ কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত
	🫱🏿;সোঁফালে মুখ কৰা হাত: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|সোঁ|সোঁফালে মুখ কৰা|সোঁফালে মুখ কৰা হাত|সোঁফালে মুখ কৰা হাত: ক’লা ছালৰ ৰং|হাত
🫲;বাওঁফালে মুখ কৰা হাত;বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|হাত
	🫲🏻;বাওঁফালে মুখ কৰা হাত: পাতল ছালৰ ৰং;পাতল ছালৰ ৰং|বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|বাওঁফালে মুখ কৰা হাত: পাতল ছালৰ ৰং|হাত
	🫲🏼;বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|হাত
	🫲🏽;বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া ছালৰ ৰং;বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|হাত
	🫲🏾;বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|বাওঁফালে মুখ কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|হাত
	🫲🏿;বাওঁফালে মুখ কৰা হাত: ক’লা ছালৰ ৰং;ক’লা ছালৰ ৰং|বাওঁ|বাওঁফালে মুখ কৰা|বাওঁফালে মুখ কৰা হাত|বাওঁফালে মুখ কৰা হাত: ক’লা ছালৰ ৰং|হাত
🫳;হাতৰ তলুৱা তলমুৱা কৰা হাত;আঁতৰলৈ যোৱা|খাৰিজ কৰা|নমোৱা|হাতৰ তলুৱা তলমুৱা কৰা হাত
	🫳🏻;হাতৰ তলুৱা তলমুৱা কৰা হাত: পাতল ছালৰ ৰং;আঁতৰলৈ যোৱা|খাৰিজ কৰা|নমোৱা|পাতল ছালৰ ৰং|হাতৰ তলুৱা তলমুৱা কৰা হাত|হাতৰ তলুৱা তলমুৱা কৰা হাত: পাতল ছালৰ ৰং
	🫳🏼;হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;আঁতৰলৈ যোৱা|খাৰিজ কৰা|নমোৱা|মধ্যমীয়া-পাতল ছালৰ ৰং|হাতৰ তলুৱা তলমুৱা কৰা হাত|হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং
	🫳🏽;হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া ছালৰ ৰং;আঁতৰলৈ যোৱা|খাৰিজ কৰা|নমোৱা|মধ্যমীয়া ছালৰ ৰং|হাতৰ তলুৱা তলমুৱা কৰা হাত|হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া ছালৰ ৰং
	🫳🏾;হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;আঁতৰলৈ যোৱা|খাৰিজ কৰা|নমোৱা|মধ্যমীয়া-ক’লা ছালৰ ৰং|হাতৰ তলুৱা তলমুৱা কৰা হাত|হাতৰ তলুৱা তলমুৱা কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🫳🏿;হাতৰ তলুৱা তলমুৱা কৰা হাত: ক’লা ছালৰ ৰং;আঁতৰলৈ যোৱা|ক’লা ছালৰ ৰং|খাৰিজ কৰা|নমোৱা|হাতৰ তলুৱা তলমুৱা কৰা হাত|হাতৰ তলুৱা তলমুৱা কৰা হাত: ক’লা ছালৰ ৰং
🫴;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত;অফাৰ|আহা|ধৰা|বেকন|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত
	🫴🏻;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: পাতল ছালৰ ৰং;অফাৰ|আহা|ধৰা|পাতল ছালৰ ৰং|বেকন|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: পাতল ছালৰ ৰং
	🫴🏼;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;অফাৰ|আহা|ধৰা|বেকন|মধ্যমীয়া-পাতল ছালৰ ৰং|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং
	🫴🏽;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া ছালৰ ৰং;অফাৰ|আহা|ধৰা|বেকন|মধ্যমীয়া ছালৰ ৰং|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া ছালৰ ৰং
	🫴🏾;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;অফাৰ|আহা|ধৰা|বেকন|মধ্যমীয়া-ক’লা ছালৰ ৰং|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং
	🫴🏿;হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: ক’লা ছালৰ ৰং;অফাৰ|আহা|ক’লা ছালৰ ৰং|ধৰা|বেকন|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত|হাতৰ তলুৱা ওপৰমুৱা কৰা হাত: ক’লা ছালৰ ৰং
🫷;বাওঁফালে ঠেলি থকা হাত;অপেক্ষা|ঠেলা|বাওঁফালে|বাওঁফালে ঠেলি থকা হাত|মানা কৰা|ৰৈ যোৱা|হাই ফাইভ
	🫷🏻;বাওঁফালে ঠেলি থকা হাত: পাতল ছালৰ ৰং;অপেক্ষা|ঠেলা|পাতল ছালৰ ৰং|বাওঁফালে|বাওঁফালে ঠেলি থকা হাত|বাওঁফালে ঠেলি থকা হাত: পাতল ছালৰ ৰং|মানা কৰা|ৰৈ যোৱা|হাই ফাইভ
	🫷🏼;বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং;অপেক্ষা|ঠেলা|বাওঁফালে|বাওঁফালে ঠেলি থকা হাত|বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং|মধ্যমীয়া-পাতল ছালৰ ৰং|মানা কৰা|ৰৈ যোৱা|হাই ফাইভ
	🫷🏽;বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া ছালৰ ৰং;অপেক্ষা|ঠেলা|বাওঁফালে|বাওঁফালে ঠেলি থকা হাত|বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া ছালৰ ৰং|মধ্যমীয়া ছালৰ ৰং|মানা কৰা|ৰৈ যোৱা|হাই ফাইভ
	🫷🏾;বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং;অপেক্ষা|ঠেলা|বাওঁফালে|বাওঁফালে ঠেলি থকা হাত|বাওঁফালে ঠেলি থকা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং|মধ্যমীয়া-ক’লা ছালৰ ৰং|মানা কৰা|ৰৈ যোৱা|হাই ফাইভ
