# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ihu ọchị;ihu|ọchị
	🙋🏽‍♂️;nwoke na-ewelite aka: ọtanjele ahụ ndịna etiti;na-ewelite aka|nwoke|nwoke na-ewelite aka|nwoke na-ewelite aka: ọtanjele ahụ ndịna etiti|ogbugbu|ọtanjele ahụ ndịna etiti
	🙋🏾‍♂️;nwoke na-ewelite aka: ọtanjele ahụ maka òji-ndịna etiti;na-ewelite aka|nwoke|nwoke na-ewelite aka|nwoke na-ewelite aka: ọtanjele ahụ maka òji-ndịna etiti|ogbugbu|ọtanjele ahụ maka òji-ndịna etiti
	🙋🏿‍♂️;nwoke na-ewelite aka: ọtanjele ahụ maka òji;na-ewelite aka|nwoke|nwoke na-ewelite aka|nwoke na-ewelite aka: ọtanjele ahụ maka òji|ogbugbu|ọtanjele ahụ maka òji
🙋‍♀️;nwanyị na-ewelite aka;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|ogbugbu
	🙋🏻‍♀️;nwanyị na-ewelite aka: ọtanjele ahụ maka ọcha;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|nwanyị na-ewelite aka: ọtanjele ahụ maka ọcha|ogbugbu|ọtanjele ahụ maka ọcha
	🙋🏼‍♀️;nwanyị na-ewelite aka: ọtanjele ahụ maka ọcha-ndịna etiti;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|nwanyị na-ewelite aka: ọtanjele ahụ maka ọcha-ndịna etiti|ogbugbu|ọtanjele ahụ maka ọcha-ndịna etiti
	🙋🏽‍♀️;nwanyị na-ewelite aka: ọtanjele ahụ ndịna etiti;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|nwanyị na-ewelite aka: ọtanjele ahụ ndịna etiti|ogbugbu|ọtanjele ahụ ndịna etiti
	🙋🏾‍♀️;nwanyị na-ewelite aka: ọtanjele ahụ maka òji-ndịna etiti;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|nwanyị na-ewelite aka: ọtanjele ahụ maka òji-ndịna etiti|ogbugbu|ọtanjele ahụ maka òji-ndịna etiti
	🙋🏿‍♀️;nwanyị na-ewelite aka: ọtanjele ahụ maka òji;na-ewelite aka|nwanyị|nwanyị na-ewelite aka|nwanyị na-ewelite aka: ọtanjele ahụ maka òji|ogbugbu|ọtanjele ahụ maka òji
🧏;onye ntị chiri;accessibility|inu|nti|onye ntị chiri
	🧏🏻;onye ntị chiri: ọtanjele ahụ maka ọcha;accessibility|inu|nti|onye ntị chiri|onye ntị chiri: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🧏🏼;onye ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti;accessibility|inu|nti|onye ntị chiri|onye ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🧏🏽;onye ntị chiri: ọtanjele ahụ ndịna etiti;accessibility|inu|nti|onye ntị chiri|onye ntị chiri: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🧏🏾;onye ntị chiri: ọtanjele ahụ maka òji-ndịna etiti;accessibility|inu|nti|onye ntị chiri|onye ntị chiri: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🧏🏿;onye ntị chiri: ọtanjele ahụ maka òji;accessibility|inu|nti|onye ntị chiri|onye ntị chiri: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🧏‍♂️;nwoke ntị chiri;ntị chiri|nwoke|nwoke ntị chiri
	🧏🏻‍♂️;nwoke ntị chiri: ọtanjele ahụ maka ọcha;ntị chiri|nwoke|nwoke ntị chiri|nwoke ntị chiri: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🧏🏼‍♂️;nwoke ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti;ntị chiri|nwoke|nwoke ntị chiri|nwoke ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🧏🏽‍♂️;nwoke ntị chiri: ọtanjele ahụ ndịna etiti;ntị chiri|nwoke|nwoke ntị chiri|nwoke ntị chiri: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🧏🏾‍♂️;nwoke ntị chiri: ọtanjele ahụ maka òji-ndịna etiti;ntị chiri|nwoke|nwoke ntị chiri|nwoke ntị chiri: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🧏🏿‍♂️;nwoke ntị chiri: ọtanjele ahụ maka òji;ntị chiri|nwoke|nwoke ntị chiri|nwoke ntị chiri: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🧏‍♀️;nwanyị ntị chiri;ntị chiri|nwanyị|nwanyị ntị chiri
	🧏🏻‍♀️;nwanyị ntị chiri: ọtanjele ahụ maka ọcha;ntị chiri|nwanyị|nwanyị ntị chiri|nwanyị ntị chiri: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🧏🏼‍♀️;nwanyị ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti;ntị chiri|nwanyị|nwanyị ntị chiri|nwanyị ntị chiri: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🧏🏽‍♀️;nwanyị ntị chiri: ọtanjele ahụ ndịna etiti;ntị chiri|nwanyị|nwanyị ntị chiri|nwanyị ntị chiri: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🧏🏾‍♀️;nwanyị ntị chiri: ọtanjele ahụ maka òji-ndịna etiti;ntị chiri|nwanyị|nwanyị ntị chiri|nwanyị ntị chiri: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🧏🏿‍♀️;nwanyị ntị chiri: ọtanjele ahụ maka òji;ntị chiri|nwanyị|nwanyị ntị chiri|nwanyị ntị chiri: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🙇;onye na-ehulata ala;hulata|ndo|ogbugbu|onye na-ehulata ala
	🙇🏻;onye na-ehulata ala: ọtanjele ahụ maka ọcha;hulata|ndo|ogbugbu|onye na-ehulata ala|onye na-ehulata ala: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🙇🏼;onye na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti;hulata|ndo|ogbugbu|onye na-ehulata ala|onye na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🙇🏽;onye na-ehulata ala: ọtanjele ahụ ndịna etiti;hulata|ndo|ogbugbu|onye na-ehulata ala|onye na-ehulata ala: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🙇🏾;onye na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti;hulata|ndo|ogbugbu|onye na-ehulata ala|onye na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🙇🏿;onye na-ehulata ala: ọtanjele ahụ maka òji;hulata|ndo|ogbugbu|onye na-ehulata ala|onye na-ehulata ala: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🙇‍♂️;nwoke na-ehulata ala;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|ogbugbu
	🙇🏻‍♂️;nwoke na-ehulata ala: ọtanjele ahụ maka ọcha;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|nwoke na-ehulata ala: ọtanjele ahụ maka ọcha|ogbugbu|ọtanjele ahụ maka ọcha
	🙇🏼‍♂️;nwoke na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|nwoke na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti|ogbugbu|ọtanjele ahụ maka ọcha-ndịna etiti
	🙇🏽‍♂️;nwoke na-ehulata ala: ọtanjele ahụ ndịna etiti;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|nwoke na-ehulata ala: ọtanjele ahụ ndịna etiti|ogbugbu|ọtanjele ahụ ndịna etiti
	🙇🏾‍♂️;nwoke na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|nwoke na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti|ogbugbu|ọtanjele ahụ maka òji-ndịna etiti
	🙇🏿‍♂️;nwoke na-ehulata ala: ọtanjele ahụ maka òji;na-ehulata ala|ndo|ngọzi|nwoke|nwoke na-ehulata ala|nwoke na-ehulata ala: ọtanjele ahụ maka òji|ogbugbu|ọtanjele ahụ maka òji
🙇‍♀️;nwanyị na-ehulata ala;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|ogbugbu
	🙇🏻‍♀️;nwanyị na-ehulata ala: ọtanjele ahụ maka ọcha;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|nwanyị na-ehulata ala: ọtanjele ahụ maka ọcha|ogbugbu|ọtanjele ahụ maka ọcha
	🙇🏼‍♀️;nwanyị na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|nwanyị na-ehulata ala: ọtanjele ahụ maka ọcha-ndịna etiti|ogbugbu|ọtanjele ahụ maka ọcha-ndịna etiti
	🙇🏽‍♀️;nwanyị na-ehulata ala: ọtanjele ahụ ndịna etiti;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|nwanyị na-ehulata ala: ọtanjele ahụ ndịna etiti|ogbugbu|ọtanjele ahụ ndịna etiti
	🙇🏾‍♀️;nwanyị na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|nwanyị na-ehulata ala: ọtanjele ahụ maka òji-ndịna etiti|ogbugbu|ọtanjele ahụ maka òji-ndịna etiti
	🙇🏿‍♀️;nwanyị na-ehulata ala: ọtanjele ahụ maka òji;na-ehulata ala|ndo|ngọzi|nwanyị|nwanyị na-ehulata ala|nwanyị na-ehulata ala: ọtanjele ahụ maka òji|ogbugbu|ọtanjele ahụ maka òji
🤦;onye na-ezo ihu ya èzo;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo
	🤦🏻;onye na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo|onye na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤦🏼;onye na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo|onye na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤦🏽;onye na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo|onye na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤦🏾;onye na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo|onye na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤦🏿;onye na-ezo ihu ya èzo: ọtanjele ahụ maka òji;e zoro|ezo|ihu|n’ihi ihe ndakwasi|onye na-ezo ihu ya èzo|onye na-ezo ihu ya èzo: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🤦‍♂️;nwoke na-ezo ihu ya èzo;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo
	🤦🏻‍♂️;nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo|nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤦🏼‍♂️;nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo|nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤦🏽‍♂️;nwoke na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo|nwoke na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤦🏾‍♂️;nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo|nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤦🏿‍♂️;nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka òji;e zoro ezo|ekwenyeghị|ihu|nwoke|nwoke na-ezo ihu ya èzo|nwoke na-ezo ihu ya èzo: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🤦‍♀️;nwanyị na-ezo ihu ya èzo;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo
	🤦🏻‍♀️;nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo|nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤦🏼‍♀️;nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo|nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤦🏽‍♀️;nwanyị na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo|nwanyị na-ezo ihu ya èzo: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤦🏾‍♀️;nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo|nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤦🏿‍♀️;nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka òji;e zoro ezo|ekwenyeghị|ihu|nwanyị|nwanyị na-ezo ihu ya èzo|nwanyị na-ezo ihu ya èzo: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🤷;onye ngosipụta nhatanha aka;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka
	🤷🏻;onye ngosipụta nhatanha aka: ọtanjele ahụ maka ọcha;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka|onye ngosipụta nhatanha aka: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤷🏼;onye ngosipụta nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka|onye ngosipụta nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤷🏽;onye ngosipụta nhatanha aka: ọtanjele ahụ ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka|onye ngosipụta nhatanha aka: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤷🏾;onye ngosipụta nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka|onye ngosipụta nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤷🏿;onye ngosipụta nhatanha aka: ọtanjele ahụ maka òji;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|onye ngosipụta nhatanha aka|onye ngosipụta nhatanha aka: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🤷‍♂️;nwoke na-egosi nhatanha aka;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka
	🤷🏻‍♂️;nwoke na-egosi nhatanha aka: ọtanjele ahụ maka ọcha;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka|nwoke na-egosi nhatanha aka: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤷🏼‍♂️;nwoke na-egosi nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka|nwoke na-egosi nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤷🏽‍♂️;nwoke na-egosi nhatanha aka: ọtanjele ahụ ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka|nwoke na-egosi nhatanha aka: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤷🏾‍♂️;nwoke na-egosi nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka|nwoke na-egosi nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤷🏿‍♂️;nwoke na-egosi nhatanha aka: ọtanjele ahụ maka òji;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwoke|nwoke na-egosi nhatanha aka|nwoke na-egosi nhatanha aka: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🤷‍♀️;nwanyị na-egosi nhatanha aka;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka
	🤷🏻‍♀️;nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka ọcha;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka|nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka ọcha|ọtanjele ahụ maka ọcha
	🤷🏼‍♀️;nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka|nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka ọcha-ndịna etiti|ọtanjele ahụ maka ọcha-ndịna etiti
	🤷🏽‍♀️;nwanyị na-egosi nhatanha aka: ọtanjele ahụ ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka|nwanyị na-egosi nhatanha aka: ọtanjele ahụ ndịna etiti|ọtanjele ahụ ndịna etiti
	🤷🏾‍♀️;nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka|nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka òji-ndịna etiti|ọtanjele ahụ maka òji-ndịna etiti
	🤷🏿‍♀️;nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka òji;adịghị iche|amaghị|ekweghị ekwe|gosi nhà|nwanyị|nwanyị na-egosi nhatanha aka|nwanyị na-egosi nhatanha aka: ọtanjele ahụ maka òji|ọtanjele ahụ maka òji
🧑‍⚕️;onye ọrụ ahụike;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|ọrụ ahụike
	🧑🏻‍⚕️;onye ọrụ ahụike: ọtanjele ahụ maka ọcha;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|onye ọrụ ahụike: ọtanjele ahụ maka ọcha|ọrụ ahụike|ọtanjele ahụ maka ọcha
	🧑🏼‍⚕️;onye ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|onye ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti|ọrụ ahụike|ọtanjele ahụ maka ọcha-ndịna etiti
	🧑🏽‍⚕️;onye ọrụ ahụike: ọtanjele ahụ ndịna etiti;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|onye ọrụ ahụike: ọtanjele ahụ ndịna etiti|ọrụ ahụike|ọtanjele ahụ ndịna etiti
	🧑🏾‍⚕️;onye ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|onye ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti|ọrụ ahụike|ọtanjele ahụ maka òji-ndịna etiti
	🧑🏿‍⚕️;onye ọrụ ahụike: ọtanjele ahụ maka òji;ahụike|dọkịta|nọọsụ|onye dọkịta|onye ọrụ ahụike|onye ọrụ ahụike: ọtanjele ahụ maka òji|ọrụ ahụike|ọtanjele ahụ maka òji
👨‍⚕️;nwoke ọrụ ahụike;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|onye dọkịta
	👨🏻‍⚕️;nwoke ọrụ ahụike: ọtanjele ahụ maka ọcha;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|nwoke ọrụ ahụike: ọtanjele ahụ maka ọcha|onye dọkịta|ọtanjele ahụ maka ọcha
	👨🏼‍⚕️;nwoke ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|nwoke ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti|onye dọkịta|ọtanjele ahụ maka ọcha-ndịna etiti
	👨🏽‍⚕️;nwoke ọrụ ahụike: ọtanjele ahụ ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|nwoke ọrụ ahụike: ọtanjele ahụ ndịna etiti|onye dọkịta|ọtanjele ahụ ndịna etiti
	👨🏾‍⚕️;nwoke ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|nwoke ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti|onye dọkịta|ọtanjele ahụ maka òji-ndịna etiti
	👨🏿‍⚕️;nwoke ọrụ ahụike: ọtanjele ahụ maka òji;dọkịta|nletaahụike|nọọsụ|nwoke|nwoke ọrụ ahụike|nwoke ọrụ ahụike: ọtanjele ahụ maka òji|onye dọkịta|ọtanjele ahụ maka òji
👩‍⚕️;nwanyị onye ọrụ ahụike;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|onye dọkịta
	👩🏻‍⚕️;nwanyị onye ọrụ ahụike: ọtanjele ahụ maka ọcha;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|nwanyị onye ọrụ ahụike: ọtanjele ahụ maka ọcha|onye dọkịta|ọtanjele ahụ maka ọcha
	👩🏼‍⚕️;nwanyị onye ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|nwanyị onye ọrụ ahụike: ọtanjele ahụ maka ọcha-ndịna etiti|onye dọkịta|ọtanjele ahụ maka ọcha-ndịna etiti
	👩🏽‍⚕️;nwanyị onye ọrụ ahụike: ọtanjele ahụ ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|nwanyị onye ọrụ ahụike: ọtanjele ahụ ndịna etiti|onye dọkịta|ọtanjele ahụ ndịna etiti
	👩🏾‍⚕️;nwanyị onye ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|nwanyị onye ọrụ ahụike: ọtanjele ahụ maka òji-ndịna etiti|onye dọkịta|ọtanjele ahụ maka òji-ndịna etiti
	👩🏿‍⚕️;nwanyị onye ọrụ ahụike: ọtanjele ahụ maka òji;dọkịta|nletaahụike|nọọsụ|nwanyị|nwanyị onye ọrụ ahụike|nwanyị onye ọrụ ahụike: ọtanjele ahụ maka òji|onye dọkịta|ọtanjele ahụ maka òji
🧑‍🎓;nwata akwụkwọ;nwata akwụkwọ|onye gụchara akwụkwọ
	🧑🏻‍🎓;nwata akwụkwọ: ọtanjele ahụ maka ọcha;nwata akwụkwọ|nwata akwụkwọ: ọtanjele ahụ maka ọcha|onye gụchara akwụkwọ|ọtanjele ahụ maka ọcha
	🧑🏼‍🎓;nwata akwụkwọ: ọtanjele ahụ maka ọcha-ndịna etiti;nwata akwụkwọ|nwata akwụkwọ: ọtanjele ahụ maka ọcha-ndịna etiti|onye gụchara akwụkwọ|ọtanjele ahụ maka ọcha-ndịna etiti
	🧑🏽‍🎓;nwata akwụkwọ: ọtanjele ahụ ndịna etiti;nwata akwụkwọ|nwata akwụkwọ: ọtanjele ahụ ndịna etiti|onye gụchara akwụkwọ|ọtanjele ahụ ndịna etiti
	🧑🏾‍🎓;nwata akwụkwọ: ọtanjele ahụ maka òji-ndịna etiti;nwata akwụkwọ|nwata akwụkwọ: ọtanjele ahụ maka òji-ndịna etiti|onye gụchara akwụkwọ|ọtanjele ahụ maka òji-ndịna etiti
	🧑🏿‍🎓;nwata akwụkwọ: ọtanjele ahụ maka òji;nwata akwụkwọ|nwata akwụkwọ: ọtanjele ahụ maka òji|onye gụchara akwụkwọ|ọtanjele ahụ maka òji
👨‍🎓;nwoke nwata akwụkwọ;nwaakwụkwọ|nwoke|nwoke nwata akwụkwọ|onye gụchara akwụkwọ
	👨🏻‍🎓;nwoke nwata akwụkwọ: ọtanjele ahụ maka ọcha;nwaakwụkwọ|nwoke|nwoke nwata akwụkwọ|nwoke nwata akwụkwọ: ọtanjele ahụ maka ọcha|onye gụchara akwụkwọ|ọtanjele ahụ maka ọcha
