[smileys_emotion]
😀;grijnzend gezicht;gezicht|grijns|grijnzend gezicht
👮;politieagent;agent|politie|politieagent
	👮🏻;politieagent: lichte huidskleur;agent|lichte huidskleur|politie|politieagent|politieagent: lichte huidskleur
	👮🏼;politieagent: lichtgetinte huidskleur;agent|lichtgetinte huidskleur|politie|politieagent|politieagent: lichtgetinte huidskleur
	👮🏽;politieagent: getinte huidskleur;agent|getinte huidskleur|politie|politieagent|politieagent: getinte huidskleur
	👮🏾;politieagent: donkergetinte huidskleur;agent|donkergetinte huidskleur|politie|politieagent|politieagent: donkergetinte huidskleur
	👮🏿;politieagent: donkere huidskleur;agent|donkere huidskleur|politie|politieagent|politieagent: donkere huidskleur
👮‍♂️;politieman;agent|man|politie|politieman
	👮🏻‍♂️;politieman: lichte huidskleur;agent|lichte huidskleur|man|politie|politieman|politieman: lichte huidskleur
	👮🏼‍♂️;politieman: lichtgetinte huidskleur;agent|lichtgetinte huidskleur|man|politie|politieman|politieman: lichtgetinte huidskleur
	👮🏽‍♂️;politieman: getinte huidskleur;agent|getinte huidskleur|man|politie|politieman|politieman: getinte huidskleur
	👮🏾‍♂️;politieman: donkergetinte huidskleur;agent|donkergetinte huidskleur|man|politie|politieman|politieman: donkergetinte huidskleur
	👮🏿‍♂️;politieman: donkere huidskleur;agent|donkere huidskleur|man|politie|politieman|politieman: donkere huidskleur
👮‍♀️;politievrouw;agent|politie|politievrouw|vrouw
	👮🏻‍♀️;politievrouw: lichte huidskleur;agent|lichte huidskleur|politie|politievrouw|politievrouw: lichte huidskleur|vrouw
	👮🏼‍♀️;politievrouw: lichtgetinte huidskleur;agent|lichtgetinte huidskleur|politie|politievrouw|politievrouw: lichtgetinte huidskleur|vrouw
	👮🏽‍♀️;politievrouw: getinte huidskleur;agent|getinte huidskleur|politie|politievrouw|politievrouw: getinte huidskleur|vrouw
	👮🏾‍♀️;politievrouw: donkergetinte huidskleur;agent|donkergetinte huidskleur|politie|politievrouw|politievrouw: donkergetinte huidskleur|vrouw
	👮🏿‍♀️;politievrouw: donkere huidskleur;agent|donkere huidskleur|politie|politievrouw|politievrouw: donkere huidskleur|vrouw
🕵️;detective;detective|speurder|spion
	🕵🏻;detective: lichte huidskleur;detective|detective: lichte huidskleur|lichte huidskleur|speurder|spion
	🕵🏼;detective: lichtgetinte huidskleur;detective|detective: lichtgetinte huidskleur|lichtgetinte huidskleur|speurder|spion
	🕵🏽;detective: getinte huidskleur;detective|detective: getinte huidskleur|getinte huidskleur|speurder|spion
	🕵🏾;detective: donkergetinte huidskleur;detective|detective: donkergetinte huidskleur|donkergetinte huidskleur|speurder|spion
	🕵🏿;detective: donkere huidskleur;detective|detective: donkere huidskleur|donkere huidskleur|speurder|spion
🕵️‍♂️;mannelijke detective;detective|man|mannelijke detective|speurder|spion
	🕵🏻‍♂️;mannelijke detective: lichte huidskleur;detective|lichte huidskleur|man|mannelijke detective|mannelijke detective: lichte huidskleur|speurder|spion
	🕵🏼‍♂️;mannelijke detective: lichtgetinte huidskleur;detective|lichtgetinte huidskleur|man|mannelijke detective|mannelijke detective: lichtgetinte huidskleur|speurder|spion
	🕵🏽‍♂️;mannelijke detective: getinte huidskleur;detective|getinte huidskleur|man|mannelijke detective|mannelijke detective: getinte huidskleur|speurder|spion
	🕵🏾‍♂️;mannelijke detective: donkergetinte huidskleur;detective|donkergetinte huidskleur|man|mannelijke detective|mannelijke detective: donkergetinte huidskleur|speurder|spion
	🕵🏿‍♂️;mannelijke detective: donkere huidskleur;detective|donkere huidskleur|man|mannelijke detective|mannelijke detective: donkere huidskleur|speurder|spion
🕵️‍♀️;vrouwelijke detective;detective|speurder|spionne|vrouw|vrouwelijke detective
	🕵🏻‍♀️;vrouwelijke detective: lichte huidskleur;detective|lichte huidskleur|speurder|spionne|vrouw|vrouwelijke detective|vrouwelijke detective: lichte huidskleur
	🕵🏼‍♀️;vrouwelijke detective: lichtgetinte huidskleur;detective|lichtgetinte huidskleur|speurder|spionne|vrouw|vrouwelijke detective|vrouwelijke detective: lichtgetinte huidskleur
	🕵🏽‍♀️;vrouwelijke detective: getinte huidskleur;detective|getinte huidskleur|speurder|spionne|vrouw|vrouwelijke detective|vrouwelijke detective: getinte huidskleur
	🕵🏾‍♀️;vrouwelijke detective: donkergetinte huidskleur;detective|donkergetinte huidskleur|speurder|spionne|vrouw|vrouwelijke detective|vrouwelijke detective: donkergetinte huidskleur
	🕵🏿‍♀️;vrouwelijke detective: donkere huidskleur;detective|donkere huidskleur|speurder|spionne|vrouw|vrouwelijke detective|vrouwelijke detective: donkere huidskleur
💂;wachter;wachter
	💂🏻;wachter: lichte huidskleur;lichte huidskleur|wachter|wachter: lichte huidskleur
	💂🏼;wachter: lichtgetinte huidskleur;lichtgetinte huidskleur|wachter|wachter: lichtgetinte huidskleur
	💂🏽;wachter: getinte huidskleur;getinte huidskleur|wachter|wachter: getinte huidskleur
	💂🏾;wachter: donkergetinte huidskleur;donkergetinte huidskleur|wachter|wachter: donkergetinte huidskleur
	💂🏿;wachter: donkere huidskleur;donkere huidskleur|wachter|wachter: donkere huidskleur
💂‍♂️;mannelijke wachter;man|mannelijke wachter|wachter
	💂🏻‍♂️;mannelijke wachter: lichte huidskleur;lichte huidskleur|man|mannelijke wachter|mannelijke wachter: lichte huidskleur|wachter
	💂🏼‍♂️;mannelijke wachter: lichtgetinte huidskleur;lichtgetinte huidskleur|man|mannelijke wachter|mannelijke wachter: lichtgetinte huidskleur|wachter
	💂🏽‍♂️;mannelijke wachter: getinte huidskleur;getinte huidskleur|man|mannelijke wachter|mannelijke wachter: getinte huidskleur|wachter
	💂🏾‍♂️;mannelijke wachter: donkergetinte huidskleur;donkergetinte huidskleur|man|mannelijke wachter|mannelijke wachter: donkergetinte huidskleur|wachter
	💂🏿‍♂️;mannelijke wachter: donkere huidskleur;donkere huidskleur|man|mannelijke wachter|mannelijke wachter: donkere huidskleur|wachter
💂‍♀️;vrouwelijke wachter;vrouw|vrouwelijke wachter|wachter
	💂🏻‍♀️;vrouwelijke wachter: lichte huidskleur;lichte huidskleur|vrouw|vrouwelijke wachter|vrouwelijke wachter: lichte huidskleur|wachter
	💂🏼‍♀️;vrouwelijke wachter: lichtgetinte huidskleur;lichtgetinte huidskleur|vrouw|vrouwelijke wachter|vrouwelijke wachter: lichtgetinte huidskleur|wachter
	💂🏽‍♀️;vrouwelijke wachter: getinte huidskleur;getinte huidskleur|vrouw|vrouwelijke wachter|vrouwelijke wachter: getinte huidskleur|wachter
	💂🏾‍♀️;vrouwelijke wachter: donkergetinte huidskleur;donkergetinte huidskleur|vrouw|vrouwelijke wachter|vrouwelijke wachter: donkergetinte huidskleur|wachter
	💂🏿‍♀️;vrouwelijke wachter: donkere huidskleur;donkere huidskleur|vrouw|vrouwelijke wachter|vrouwelijke wachter: donkere huidskleur|wachter
🥷;ninja;geheim|krijger|ninja|verborgen
	🥷🏻;ninja: lichte huidskleur;geheim|krijger|lichte huidskleur|ninja|ninja: lichte huidskleur|verborgen
	🥷🏼;ninja: lichtgetinte huidskleur;geheim|krijger|lichtgetinte huidskleur|ninja|ninja: lichtgetinte huidskleur|verborgen
	🥷🏽;ninja: getinte huidskleur;geheim|getinte huidskleur|krijger|ninja|ninja: getinte huidskleur|verborgen
	🥷🏾;ninja: donkergetinte huidskleur;donkergetinte huidskleur|geheim|krijger|ninja|ninja: donkergetinte huidskleur|verborgen
	🥷🏿;ninja: donkere huidskleur;donkere huidskleur|geheim|krijger|ninja|ninja: donkere huidskleur|verborgen
👷;bouwvakker;bouw|bouwvakker|helm|klusser
	👷🏻;bouwvakker: lichte huidskleur;bouw|bouwvakker|bouwvakker: lichte huidskleur|helm|klusser|lichte huidskleur
	👷🏼;bouwvakker: lichtgetinte huidskleur;bouw|bouwvakker|bouwvakker: lichtgetinte huidskleur|helm|klusser|lichtgetinte huidskleur
	👷🏽;bouwvakker: getinte huidskleur;bouw|bouwvakker|bouwvakker: getinte huidskleur|getinte huidskleur|helm|klusser
	👷🏾;bouwvakker: donkergetinte huidskleur;bouw|bouwvakker|bouwvakker: donkergetinte huidskleur|donkergetinte huidskleur|helm|klusser
	👷🏿;bouwvakker: donkere huidskleur;bouw|bouwvakker|bouwvakker: donkere huidskleur|donkere huidskleur|helm|klusser
👷‍♂️;mannelijke bouwvakker;bouw|bouwvakker|man|mannelijke bouwvakker
	👷🏻‍♂️;mannelijke bouwvakker: lichte huidskleur;bouw|bouwvakker|lichte huidskleur|man|mannelijke bouwvakker|mannelijke bouwvakker: lichte huidskleur
	👷🏼‍♂️;mannelijke bouwvakker: lichtgetinte huidskleur;bouw|bouwvakker|lichtgetinte huidskleur|man|mannelijke bouwvakker|mannelijke bouwvakker: lichtgetinte huidskleur
	👷🏽‍♂️;mannelijke bouwvakker: getinte huidskleur;bouw|bouwvakker|getinte huidskleur|man|mannelijke bouwvakker|mannelijke bouwvakker: getinte huidskleur
	👷🏾‍♂️;mannelijke bouwvakker: donkergetinte huidskleur;bouw|bouwvakker|donkergetinte huidskleur|man|mannelijke bouwvakker|mannelijke bouwvakker: donkergetinte huidskleur
	👷🏿‍♂️;mannelijke bouwvakker: donkere huidskleur;bouw|bouwvakker|donkere huidskleur|man|mannelijke bouwvakker|mannelijke bouwvakker: donkere huidskleur
👷‍♀️;vrouwelijke bouwvakker;bouw|bouwvakker|vrouw|vrouwelijke bouwvakker
	👷🏻‍♀️;vrouwelijke bouwvakker: lichte huidskleur;bouw|bouwvakker|lichte huidskleur|vrouw|vrouwelijke bouwvakker|vrouwelijke bouwvakker: lichte huidskleur
	👷🏼‍♀️;vrouwelijke bouwvakker: lichtgetinte huidskleur;bouw|bouwvakker|lichtgetinte huidskleur|vrouw|vrouwelijke bouwvakker|vrouwelijke bouwvakker: lichtgetinte huidskleur
	👷🏽‍♀️;vrouwelijke bouwvakker: getinte huidskleur;bouw|bouwvakker|getinte huidskleur|vrouw|vrouwelijke bouwvakker|vrouwelijke bouwvakker: getinte huidskleur
	👷🏾‍♀️;vrouwelijke bouwvakker: donkergetinte huidskleur;bouw|bouwvakker|donkergetinte huidskleur|vrouw|vrouwelijke bouwvakker|vrouwelijke bouwvakker: donkergetinte huidskleur
	👷🏿‍♀️;vrouwelijke bouwvakker: donkere huidskleur;bouw|bouwvakker|donkere huidskleur|vrouw|vrouwelijke bouwvakker|vrouwelijke bouwvakker: donkere huidskleur
🫅;persoon met kroon;edele|heerser|iemand van koninklijken bloede|persoon met kroon|regaal
	🫅🏻;persoon met kroon: lichte huidskleur;edele|heerser|iemand van koninklijken bloede|lichte huidskleur|persoon met kroon|persoon met kroon: lichte huidskleur|regaal
	🫅🏼;persoon met kroon: lichtgetinte huidskleur;edele|heerser|iemand van koninklijken bloede|lichtgetinte huidskleur|persoon met kroon|persoon met kroon: lichtgetinte huidskleur|regaal
	🫅🏽;persoon met kroon: getinte huidskleur;edele|getinte huidskleur|heerser|iemand van koninklijken bloede|persoon met kroon|persoon met kroon: getinte huidskleur|regaal
	🫅🏾;persoon met kroon: donkergetinte huidskleur;donkergetinte huidskleur|edele|heerser|iemand van koninklijken bloede|persoon met kroon|persoon met kroon: donkergetinte huidskleur|regaal
	🫅🏿;persoon met kroon: donkere huidskleur;donkere huidskleur|edele|heerser|iemand van koninklijken bloede|persoon met kroon|persoon met kroon: donkere huidskleur|regaal
🤴;prins;prins
	🤴🏻;prins: lichte huidskleur;lichte huidskleur|prins|prins: lichte huidskleur
	🤴🏼;prins: lichtgetinte huidskleur;lichtgetinte huidskleur|prins|prins: lichtgetinte huidskleur
	🤴🏽;prins: getinte huidskleur;getinte huidskleur|prins|prins: getinte huidskleur
	🤴🏾;prins: donkergetinte huidskleur;donkergetinte huidskleur|prins|prins: donkergetinte huidskleur
	🤴🏿;prins: donkere huidskleur;donkere huidskleur|prins|prins: donkere huidskleur
👸;prinses;fantasie|prinses|sprookje
	👸🏻;prinses: lichte huidskleur;fantasie|lichte huidskleur|prinses|prinses: lichte huidskleur|sprookje
	👸🏼;prinses: lichtgetinte huidskleur;fantasie|lichtgetinte huidskleur|prinses|prinses: lichtgetinte huidskleur|sprookje
	👸🏽;prinses: getinte huidskleur;fantasie|getinte huidskleur|prinses|prinses: getinte huidskleur|sprookje
	👸🏾;prinses: donkergetinte huidskleur;donkergetinte huidskleur|fantasie|prinses|prinses: donkergetinte huidskleur|sprookje
	👸🏿;prinses: donkere huidskleur;donkere huidskleur|fantasie|prinses|prinses: donkere huidskleur|sprookje
👳;persoon met tulband;persoon met tulband|tulband
	👳🏻;persoon met tulband: lichte huidskleur;lichte huidskleur|persoon met tulband|persoon met tulband: lichte huidskleur|tulband
	👳🏼;persoon met tulband: lichtgetinte huidskleur;lichtgetinte huidskleur|persoon met tulband|persoon met tulband: lichtgetinte huidskleur|tulband
	👳🏽;persoon met tulband: getinte huidskleur;getinte huidskleur|persoon met tulband|persoon met tulband: getinte huidskleur|tulband
	👳🏾;persoon met tulband: donkergetinte huidskleur;donkergetinte huidskleur|persoon met tulband|persoon met tulband: donkergetinte huidskleur|tulband
	👳🏿;persoon met tulband: donkere huidskleur;donkere huidskleur|persoon met tulband|persoon met tulband: donkere huidskleur|tulband
👳‍♂️;man met tulband;man|man met tulband|tulband
	👳🏻‍♂️;man met tulband: lichte huidskleur;lichte huidskleur|man|man met tulband|man met tulband: lichte huidskleur|tulband
	👳🏼‍♂️;man met tulband: lichtgetinte huidskleur;lichtgetinte huidskleur|man|man met tulband|man met tulband: lichtgetinte huidskleur|tulband
	👳🏽‍♂️;man met tulband: getinte huidskleur;getinte huidskleur|man|man met tulband|man met tulband: getinte huidskleur|tulband
	👳🏾‍♂️;man met tulband: donkergetinte huidskleur;donkergetinte huidskleur|man|man met tulband|man met tulband: donkergetinte huidskleur|tulband
	👳🏿‍♂️;man met tulband: donkere huidskleur;donkere huidskleur|man|man met tulband|man met tulband: donkere huidskleur|tulband
👳‍♀️;vrouw met tulband;tulband|vrouw|vrouw met tulband
	👳🏻‍♀️;vrouw met tulband: lichte huidskleur;lichte huidskleur|tulband|vrouw|vrouw met tulband|vrouw met tulband: lichte huidskleur
	👳🏼‍♀️;vrouw met tulband: lichtgetinte huidskleur;lichtgetinte huidskleur|tulband|vrouw|vrouw met tulband|vrouw met tulband: lichtgetinte huidskleur
	👳🏽‍♀️;vrouw met tulband: getinte huidskleur;getinte huidskleur|tulband|vrouw|vrouw met tulband|vrouw met tulband: getinte huidskleur
	👳🏾‍♀️;vrouw met tulband: donkergetinte huidskleur;donkergetinte huidskleur|tulband|vrouw|vrouw met tulband|vrouw met tulband: donkergetinte huidskleur
	👳🏿‍♀️;vrouw met tulband: donkere huidskleur;donkere huidskleur|tulband|vrouw|vrouw met tulband|vrouw met tulband: donkere huidskleur
👲;man met Chinees petje;gua pi mao|hoed|man|man met Chinees petje
	👲🏻;man met Chinees petje: lichte huidskleur;gua pi mao|hoed|lichte huidskleur|man|man met Chinees petje|man met Chinees petje: lichte huidskleur
	👲🏼;man met Chinees petje: lichtgetinte huidskleur;gua pi mao|hoed|lichtgetinte huidskleur|man|man met Chinees petje|man met Chinees petje: lichtgetinte huidskleur
	👲🏽;man met Chinees petje: getinte huidskleur;getinte huidskleur|gua pi mao|hoed|man|man met Chinees petje|man met Chinees petje: getinte huidskleur
	👲🏾;man met Chinees petje: donkergetinte huidskleur;donkergetinte huidskleur|gua pi mao|hoed|man|man met Chinees petje|man met Chinees petje: donkergetinte huidskleur
	👲🏿;man met Chinees petje: donkere huidskleur;donkere huidskleur|gua pi mao|hoed|man|man met Chinees petje|man met Chinees petje: donkere huidskleur
🧕;vrouw met hoofddoek;hidjab|hoofddoek|mantilla|vrouw met hoofddoek
	🧕🏻;vrouw met hoofddoek: lichte huidskleur;hidjab|hoofddoek|lichte huidskleur|mantilla|vrouw met hoofddoek|vrouw met hoofddoek: lichte huidskleur
	🧕🏼;vrouw met hoofddoek: lichtgetinte huidskleur;hidjab|hoofddoek|lichtgetinte huidskleur|mantilla|vrouw met hoofddoek|vrouw met hoofddoek: lichtgetinte huidskleur
	🧕🏽;vrouw met hoofddoek: getinte huidskleur;getinte huidskleur|hidjab|hoofddoek|mantilla|vrouw met hoofddoek|vrouw met hoofddoek: getinte huidskleur
	🧕🏾;vrouw met hoofddoek: donkergetinte huidskleur;donkergetinte huidskleur|hidjab|hoofddoek|mantilla|vrouw met hoofddoek|vrouw met hoofddoek: donkergetinte huidskleur
	🧕🏿;vrouw met hoofddoek: donkere huidskleur;donkere huidskleur|hidjab|hoofddoek|mantilla|vrouw met hoofddoek|vrouw met hoofddoek: donkere huidskleur
🤵;persoon in smoking;bruidegom|persoon|persoon in smoking|smoking
	🤵🏻;persoon in smoking: lichte huidskleur;bruidegom|lichte huidskleur|persoon|persoon in smoking|persoon in smoking: lichte huidskleur|smoking
	🤵🏼;persoon in smoking: lichtgetinte huidskleur;bruidegom|lichtgetinte huidskleur|persoon|persoon in smoking|persoon in smoking: lichtgetinte huidskleur|smoking
	🤵🏽;persoon in smoking: getinte huidskleur;bruidegom|getinte huidskleur|persoon|persoon in smoking|persoon in smoking: getinte huidskleur|smoking
	🤵🏾;persoon in smoking: donkergetinte huidskleur;bruidegom|donkergetinte huidskleur|persoon|persoon in smoking|persoon in smoking: donkergetinte huidskleur|smoking
	🤵🏿;persoon in smoking: donkere huidskleur;bruidegom|donkere huidskleur|persoon|persoon in smoking|persoon in smoking: donkere huidskleur|smoking
🤵‍♂️;man in smoking;man|man in smoking|smoking
	🤵🏻‍♂️;man in smoking: lichte huidskleur;lichte huidskleur|man|man in smoking|man in smoking: lichte huidskleur|smoking
	🤵🏼‍♂️;man in smoking: lichtgetinte huidskleur;lichtgetinte huidskleur|man|man in smoking|man in smoking: lichtgetinte huidskleur|smoking
	🤵🏽‍♂️;man in smoking: getinte huidskleur;getinte huidskleur|man|man in smoking|man in smoking: getinte huidskleur|smoking
	🤵🏾‍♂️;man in smoking: donkergetinte huidskleur;donkergetinte huidskleur|man|man in smoking|man in smoking: donkergetinte huidskleur|smoking
	🤵🏿‍♂️;man in smoking: donkere huidskleur;donkere huidskleur|man|man in smoking|man in smoking: donkere huidskleur|smoking
🤵‍♀️;vrouw in smoking;smoking|vrouw|vrouw in smoking
	🤵🏻‍♀️;vrouw in smoking: lichte huidskleur;lichte huidskleur|smoking|vrouw|vrouw in smoking|vrouw in smoking: lichte huidskleur
	🤵🏼‍♀️;vrouw in smoking: lichtgetinte huidskleur;lichtgetinte huidskleur|smoking|vrouw|vrouw in smoking|vrouw in smoking: lichtgetinte huidskleur
